reporterCd,reporterLabel,partnerCd,partnerLabel,productCd,productLabel,Value (kUSD),Balance (kUSD),Quantity,Quantity Unit,Unit Value,Unit Value Unit,Share (%),Share Partner Country (%),,Ranking Partners,Growth Value 5Y (%),Growth Value 2Y (%),Growth Value Partners 5Y (%),Growth Quantity 5Y (%)
170,Colombia,000,Mundo,1801,"Cacao en grano, entero o partido, crudo o tostado",578,137436,56.000,Toneladas,10321.428571428571428571428571,USD/Toneladas,100.0000000000000000,,100,,21,-76,32,-14
170,Colombia,604,Perú,1801,"Cacao en grano, entero o partido, crudo o tostado",538,-538,50.000,Toneladas,10760,USD/Toneladas,93.0795847750865052,0.05503702,3.402818,7,-1,107,69,-30
170,Colombia,862,"Venezuela, República Bolivariana de",1801,"Cacao en grano, entero o partido, crudo o tostado",40,-40,6.000,Toneladas,6666.6666666666666666666666667,USD/Toneladas,6.9204152249134948,0.02861292,0.488456,17,,-87,42,
170,Colombia,032,Argentina,1801,"Cacao en grano, entero o partido, crudo o tostado",,462,,,,,,,,,,,,
170,Colombia,036,Australia,1801,"Cacao en grano, entero o partido, crudo o tostado",,19,,,,,,,0.001057636,68,,,8,
170,Colombia,056,Bélgica,1801,"Cacao en grano, entero o partido, crudo o tostado",,481,,,,,,,7.980345,5,,,39,
170,Colombia,124,Canadá,1801,"Cacao en grano, entero o partido, crudo o tostado",,328,,,,,,,0.03566935,33,,,68,
170,Colombia,152,Chile,1801,"Cacao en grano, entero o partido, crudo o tostado",,42,,,,,,,,,,,,
170,Colombia,233,Estonia,1801,"Cacao en grano, entero o partido, crudo o tostado",,1974,,,,,,,0.3868365,19,,,27,
170,Colombia,251,Francia,1801,"Cacao en grano, entero o partido, crudo o tostado",,915,,,,,,,0.02877551,36,,,44,
170,Colombia,276,Alemania,1801,"Cacao en grano, entero o partido, crudo o tostado",,541,,,,,,,0.1714984,26,,,13,
170,Colombia,288,Ghana,1801,"Cacao en grano, entero o partido, crudo o tostado",,223,,,,,,,12.36862,3,,,17,
170,Colombia,360,Indonesia,1801,"Cacao en grano, entero o partido, crudo o tostado",,1615,,,,,,,0.2485124,22,,,7,
170,Colombia,381,Italia,1801,"Cacao en grano, entero o partido, crudo o tostado",,6934,,,,,,,0.08330509,31,,,44,
170,Colombia,392,Japón,1801,"Cacao en grano, entero o partido, crudo o tostado",,2903,,,,,,,0.000005678542,106,,,,
170,Colombia,458,Malasia,1801,"Cacao en grano, entero o partido, crudo o tostado",,40298,,,,,,,2.650684,8,,,35,
170,Colombia,484,México,1801,"Cacao en grano, entero o partido, crudo o tostado",,8673,,,,,,,0.001477982,65,,,15,
170,Colombia,498,"Moldova, República de",1801,"Cacao en grano, entero o partido, crudo o tostado",,71,,,,,,,,,,,,
170,Colombia,528,Países Bajos,1801,"Cacao en grano, entero o partido, crudo o tostado",,8819,,,,,,,2.357543,9,,,23,
170,Colombia,600,Paraguay,1801,"Cacao en grano, entero o partido, crudo o tostado",,23,,,,,,,,,,,,
170,Colombia,643,"Rusia, Federación de",1801,"Cacao en grano, entero o partido, crudo o tostado",,8768,,,,,,,0.00001527517,98,,,-15,
170,Colombia,703,Eslovaquia,1801,"Cacao en grano, entero o partido, crudo o tostado",,2,,,,,,,0.000220125,81,,,73,
170,Colombia,724,España,1801,"Cacao en grano, entero o partido, crudo o tostado",,2553,,,,,,,0.01561141,42,,,52,
170,Colombia,780,Trinidad y Tobago,1801,"Cacao en grano, entero o partido, crudo o tostado",,1,,,,,,,0.003438424,61,,,6,
170,Colombia,784,Emiratos Árabes Unidos,1801,"Cacao en grano, entero o partido, crudo o tostado",,245,,,,,,,0.000008649163,103,,,-38,
170,Colombia,792,Türkiye,1801,"Cacao en grano, entero o partido, crudo o tostado",,1807,,,,,,,0.0005580309,72,,,-56,
170,Colombia,826,Reino Unido,1801,"Cacao en grano, entero o partido, crudo o tostado",,381,,,,,,,0.233605,23,,,205,
170,Colombia,842,Estados Unidos de América,1801,"Cacao en grano, entero o partido, crudo o tostado",,49936,,,,,,0.001660403,0.6312994,16,,,119,
