Area Code,Area Code (M49),Area,Item Code,Item,Element Code,Element,Unit,Y2015,Y2016,Y2017,Y2018,Y2019,Y2020,Y2021,Y2022,Y2023,Y2024
44,'170,Colombia,661,Cocoa beans,5312,Area harvested,ha,136758.0,141143.0,104146.0,105739.0,117818.0,188371.0,194428.0,190000.0,190800.0,197709.0
44,'170,Colombia,661,Cocoa beans,5412,Yield,kg/ha,400.7,402.3,857.3,926.6,867.0,336.7,355.1,327.1,313.6,342.3
44,'170,Colombia,661,Cocoa beans,5510,Production,t,54797.95,56785.0,89282.0,97978.0,102154.0,63416.0,69040.0,62158.0,59831.0,67678.0
107,'384,Côte d'Ivoire,661,Cocoa beans,5312,Area harvested,ha,3458163.0,3168749.0,3982695.0,4072832.0,4308544.0,4265886.0,4375967.0,4686392.0,3648872.0,3814984.0
107,'384,Côte d'Ivoire,661,Cocoa beans,5412,Yield,kg/ha,519.4,515.7,510.7,518.9,518.7,515.7,509.2,503.4,499.5,495.5
107,'384,Côte d'Ivoire,661,Cocoa beans,5510,Production,t,1796000.0,1634000.0,2034000.0,2113189.0,2235043.0,2200000.0,2228459.0,2358991.0,1822441.0,1890442.0
58,'218,Ecuador,661,Cocoa beans,5312,Area harvested,ha,432094.0,454257.0,467327.0,501950.0,525435.0,527347.0,543547.0,509179.0,516634.0,541588.0
58,'218,Ecuador,661,Cocoa beans,5412,Yield,kg/ha,417.0,390.9,440.7,468.5,539.9,621.8,555.8,662.1,727.2,745.4
58,'218,Ecuador,661,Cocoa beans,5510,Production,t,180192.38,177551.3,205955.0,235182.0,283679.55,327902.56,302093.9,337149.41,375719.14,403698.83
81,'288,Ghana,661,Cocoa beans,5312,Area harvested,ha,1683765.0,1683765.0,1863830.0,1726616.0,1536624.0,1486060.0,1904331.0,1218838.0,1150057.0,919824.0
81,'288,Ghana,661,Cocoa beans,5412,Yield,kg/ha,510.0,510.0,520.1,524.0,528.2,538.3,550.0,560.6,568.4,576.2
81,'288,Ghana,661,Cocoa beans,5510,Production,t,858720.0,858720.0,969300.0,904700.0,811700.0,800000.0,1047385.0,683300.0,653700.0,530000.0
170,'604,Peru,661,Cocoa beans,5312,Area harvested,ha,120374.0,125580.0,147304.0,160419.0,170017.0,177674.0,182986.0,191553.0,199277.0,189602.0
170,'604,Peru,661,Cocoa beans,5412,Yield,kg/ha,769.2,859.4,827.0,839.5,833.9,894.6,877.2,901.6,837.7,829.4
170,'604,Peru,661,Cocoa beans,5510,Production,t,92592.0,107921.51,121814.0,134675.74,141775.25,158943.58,160521.54,172705.33,166935.88,157252.5
