reporterCd,reporterLabel,partnerCd,partnerLabel,productCd,productLabel,Value (kUSD),Balance (kUSD),Quantity,Quantity Unit,Unit Value,Unit Value Unit,Share World (%),Growth Value 5Y (%),Growth Value 2Y (%),Growth Quantity 5Y (%)
000,Mundo,000,Mundo,1801,"Cacao en grano, entero o partido, crudo o tostado",30674452,-2054352,3843466.000,Toneladas,7980.934916557086754507520035,USD/Toneladas,100,34,50,-1
528,Países Bajos,000,Mundo,1801,"Cacao en grano, entero o partido, crudo o tostado",6395750,-5721019,700193.000,Toneladas,9134.267266310860005741274192,USD/Toneladas,20.85041,41,50,1
458,Malasia,000,Mundo,1801,"Cacao en grano, entero o partido, crudo o tostado",3948030,-3189402,455667.000,Toneladas,8664.28773643911013964144869,USD/Toneladas,12.87074,42,20,0
056,Bélgica,000,Mundo,1801,"Cacao en grano, entero o partido, crudo o tostado",3002425,-718442,312062.000,Toneladas,9621.245137184277483320622184,USD/Toneladas,9.788033,36,45,-1
276,Alemania,000,Mundo,1801,"Cacao en grano, entero o partido, crudo o tostado",2837687,-2788604,299311.000,Toneladas,9480.730744944221896288475866,USD/Toneladas,9.250978,27,10,-9
842,Estados Unidos de América,000,Mundo,1801,"Cacao en grano, entero o partido, crudo o tostado",2821475,-2640796,322893.000,Toneladas,8738.111386744215576057703326,USD/Toneladas,9.198126,19,149,-12
360,Indonesia,000,Mundo,1801,"Cacao en grano, entero o partido, crudo o tostado",1729340,-1658216,564728.000,Toneladas,3062.2529784250116870422575116,USD/Toneladas,5.637721,32,58,13
251,Francia,000,Mundo,1801,"Cacao en grano, entero o partido, crudo o tostado",1404439,-1396203,137892.000,Toneladas,10185.06512342993067037971746,USD/Toneladas,4.578529,30,86,-6
124,Canadá,000,Mundo,1801,"Cacao en grano, entero o partido, crudo o tostado",1201704,-1191495,140072.000,Toneladas,8579.187846250499742989319778,USD/Toneladas,3.917604,40,61,1
792,Türkiye,000,Mundo,1801,"Cacao en grano, entero o partido, crudo o tostado",1029900,-1029740,138166.000,Toneladas,7454.0769798648003126673711333,USD/Toneladas,3.357517,36,107,5
724,España,000,Mundo,1801,"Cacao en grano, entero o partido, crudo o tostado",1027394,-1022926,111005.000,Toneladas,9255.384892572406648349173461,USD/Toneladas,3.349348,42,91,3
381,Italia,000,Mundo,1801,"Cacao en grano, entero o partido, crudo o tostado",934038,-910196,102329.000,Toneladas,9127.793685074612279998827312,USD/Toneladas,3.045003,31,67,-2
702,Singapur,000,Mundo,1801,"Cacao en grano, entero o partido, crudo o tostado",778747,-777157,92575.000,Toneladas,8412.06589251957871995679179,USD/Toneladas,2.538748,37,24,0
