reporterCd,reporterLabel,partnerCd,partnerLabel,productCd,productLabel,2016 (USD Thousand),2017 (USD Thousand),2018 (USD Thousand),2019 (USD Thousand),2020 (USD Thousand),2021 (USD Thousand),2022 (USD Thousand),2023 (USD Thousand),2024 (USD Thousand),2025 (USD Thousand)
170,Colombia,000,Mundo,090111,Café sin tostar ni descafeinar,2417692,2513780,2267511,2272874,2446598,3091838,3962320,2791950,3393409,5788222
170,Colombia,842,Estados Unidos de América,090111,Café sin tostar ni descafeinar,990267,1095153,1008038,987726,984396,1269932,1682811,1113578,1319933,2261696
170,Colombia,056,Bélgica,090111,Café sin tostar ni descafeinar,153302,130484,124593,120954,190323,248580,303240,214387,292755,469294
170,Colombia,124,Canadá,090111,Café sin tostar ni descafeinar,181717,189750,180077,174700,180841,247121,306124,186558,258306,458247
170,Colombia,276,Alemania,090111,Café sin tostar ni descafeinar,218828,182842,181241,192619,207848,238832,278686,199260,245809,448944
170,Colombia,392,Japón,090111,Café sin tostar ni descafeinar,242970,252223,195139,183928,201283,216282,277647,166081,177049,295602
170,Colombia,410,"Corea, República de",090111,Café sin tostar ni descafeinar,89937,89867,83551,85622,110314,138054,169175,129078,134672,204505
170,Colombia,156,China,090111,Café sin tostar ni descafeinar,5458,8782,16275,17231,23977,47277,78520,137409,144303,161685
170,Colombia,528,Países Bajos,090111,Café sin tostar ni descafeinar,27189,22630,21273,30173,23493,39197,67426,52718,63524,139869
170,Colombia,724,España,090111,Café sin tostar ni descafeinar,61180,58899,52473,54338,61619,70020,92875,52219,72883,138466
170,Colombia,036,Australia,090111,Café sin tostar ni descafeinar,30620,38682,37249,37243,45589,54830,65333,52814,65614,113984
170,Colombia,826,Reino Unido,090111,Café sin tostar ni descafeinar,68810,75967,53046,48469,56272,77320,88305,53578,62124,105439
170,Colombia,251,Francia,090111,Café sin tostar ni descafeinar,29503,40713,23569,24047,27888,28500,30383,20039,31867,91572
170,Colombia,381,Italia,090111,Café sin tostar ni descafeinar,72799,71194,57909,58844,52190,65149,75726,60525,54591,86990
170,Colombia,682,Arabia Saudita,090111,Café sin tostar ni descafeinar,1358,883,2238,3354,8077,15135,20852,22178,45442,80179
170,Colombia,579,Noruega,090111,Café sin tostar ni descafeinar,32013,36742,28694,28136,37617,40051,63146,36764,31700,63664
170,Colombia,246,Finlandia,090111,Café sin tostar ni descafeinar,58525,54945,46551,45816,52817,52562,52361,33754,45444,60665
170,Colombia,752,Suecia,090111,Café sin tostar ni descafeinar,33067,28225,15460,14570,17490,14395,21819,16529,21727,58850
170,Colombia,458,Malasia,090111,Café sin tostar ni descafeinar,15004,15412,19726,29134,24819,38257,61445,17826,28110,49533
170,Colombia,490,Taipei Chino,090111,Café sin tostar ni descafeinar,8859,11283,12988,12231,22256,22018,32994,24607,27154,46314
170,Colombia,376,Israel,090111,Café sin tostar ni descafeinar,14917,23450,22033,16385,16632,29919,28228,32276,29610,44333
170,Colombia,484,México,090111,Café sin tostar ni descafeinar,11087,7429,5085,6510,8796,16685,16394,14733,24221,37639
170,Colombia,792,Türkiye,090111,Café sin tostar ni descafeinar,968,1885,2538,4671,5388,8083,10817,14451,17456,35710
