reporterCd,reporterLabel,partnerCd,partnerLabel,productCd,productLabel,Value (kUSD),Balance (kUSD),Quantity,Quantity Unit,Unit Value,Unit Value Unit,Share (%),Share Partner Country (%),,Ranking Partners,Growth Value 5Y (%),Growth Value 2Y (%),Growth Value Partners 5Y (%),Growth Quantity 5Y (%)
170,Colombia,000,Mundo,090111,Café sin tostar ni descafeinar,5788222,5454944,734289.000,Toneladas,7882.757333965237120534285547,USD/Toneladas,100.0000000000000000,,100,,12,71,19,2
170,Colombia,842,Estados Unidos de América,090111,Café sin tostar ni descafeinar,2261696,2261696,293212.000,Toneladas,7713.517864207467634339658677,USD/Toneladas,39.0741060035361463,26.16717,19.49116,1,10,71,13,0
170,Colombia,056,Bélgica,090111,Café sin tostar ni descafeinar,469294,469294,55219.000,Toneladas,8498.777594668501783806298557,USD/Toneladas,8.1077401661511946,4.963269,3.704694,5,13,60,11,2
170,Colombia,124,Canadá,090111,Café sin tostar ni descafeinar,458247,458247,59933.000,Toneladas,7645.9880199556171057681077203,USD/Toneladas,7.9168870855333469,31.65123,3.339643,7,11,77,17,2
170,Colombia,276,Alemania,090111,Café sin tostar ni descafeinar,448944,448944,56552.000,Toneladas,7938.605177535719337954449003,USD/Toneladas,7.7561641554176740,6.917103,15.06938,2,12,83,20,2
170,Colombia,392,Japón,090111,Café sin tostar ni descafeinar,295602,295602,36351.000,Toneladas,8131.88082858793430717174218,USD/Toneladas,5.1069568513439878,12.64482,4.72962,4,2,67,15,-8
170,Colombia,410,"Corea, República de",090111,Café sin tostar ni descafeinar,204505,204505,25516.000,Toneladas,8014.77504311020536134190312,USD/Toneladas,3.5331229520913331,18.07014,2.404682,11,6,52,17,-3
170,Colombia,156,China,090111,Café sin tostar ni descafeinar,161685,161685,19645.000,Toneladas,8230.338508526342580809366251,USD/Toneladas,2.7933448302432077,11.57599,3.105387,10,36,12,42,25
170,Colombia,528,Países Bajos,090111,Café sin tostar ni descafeinar,139869,139869,17483.000,Toneladas,8000.285992106617857347137219,USD/Toneladas,2.4164415255669185,9.139118,2.391398,12,28,120,15,17
170,Colombia,724,España,090111,Café sin tostar ni descafeinar,138466,138466,17563.000,Toneladas,7883.9605989865057222570175938,USD/Toneladas,2.3922026487581161,8.242206,3.47161,6,12,90,28,3
170,Colombia,036,Australia,090111,Café sin tostar ni descafeinar,113984,113984,14022.000,Toneladas,8128.940236770788760519184139,USD/Toneladas,1.9692402952063691,16.23335,1.547764,15,16,74,18,6
170,Colombia,826,Reino Unido,090111,Café sin tostar ni descafeinar,105439,105439,12756.000,Toneladas,8265.835685167764189401066165,USD/Toneladas,1.8216129236231782,11.41971,2.154137,13,3,70,18,-7
170,Colombia,251,Francia,090111,Café sin tostar ni descafeinar,91572,91572,11554.000,Toneladas,7925.566903236974208066470486,USD/Toneladas,1.5820402189135109,8.096074,3.146131,8,27,187,20,16
170,Colombia,381,Italia,090111,Café sin tostar ni descafeinar,86990,86990,11186.000,Toneladas,7776.685142141963168246021813,USD/Toneladas,1.5028794679955261,2.110132,8.179894,3,3,59,25,-7
170,Colombia,682,Arabia Saudita,090111,Café sin tostar ni descafeinar,80179,80179,8405.000,Toneladas,9539.440809042236763831052945,USD/Toneladas,1.3852094822900711,13.08812,1.080706,20,51,76,22,38
170,Colombia,579,Noruega,090111,Café sin tostar ni descafeinar,63664,63664,8607.000,Toneladas,7396.7700708725456024166376205,USD/Toneladas,1.0998887050289363,32.28187,0.5482764,30,2,101,13,-6
170,Colombia,246,Finlandia,090111,Café sin tostar ni descafeinar,60665,60665,7991.000,Toneladas,7591.6656238268051558002753097,USD/Toneladas,1.0480765941596573,19.20487,0.6631988,23,1,33,10,-7
170,Colombia,752,Suecia,090111,Café sin tostar ni descafeinar,58850,58850,7481.000,Toneladas,7866.595374949873011629461302,USD/Toneladas,1.0167198148239649,8.476775,1.421509,18,32,171,14,21
170,Colombia,458,Malasia,090111,Café sin tostar ni descafeinar,49533,49533,6626.000,Toneladas,7475.5508602475098098400241473,USD/Toneladas,0.8557550142340774,10.55686,1.088083,19,-3,76,23,-10
170,Colombia,490,Taipei Chino,090111,Café sin tostar ni descafeinar,46314,46314,5449.000,Toneladas,8499.54120022022389429253074,USD/Toneladas,0.8001420816271387,15.32976,0.6354688,26,14,71,18,3
170,Colombia,376,Israel,090111,Café sin tostar ni descafeinar,44333,44333,5715.000,Toneladas,7757.3053368328958880139982502,USD/Toneladas,0.7659174095257577,15.49708,0.2771447,42,9,50,17,-1
170,Colombia,484,México,090111,Café sin tostar ni descafeinar,37639,37639,5886.000,Toneladas,6394.6653075093442065919130139,USD/Toneladas,0.6502687699262399,1.363108,0.2883843,41,22,55,68,18
170,Colombia,792,Türkiye,090111,Café sin tostar ni descafeinar,35710,35710,4405.000,Toneladas,8106.696935300794551645856981,USD/Toneladas,0.6169424738719420,5.119512,1.445462,17,41,105,35,29
170,Colombia,300,Grecia,090111,Café sin tostar ni descafeinar,31290,31290,3885.000,Toneladas,8054.054054054054054054054054,USD/Toneladas,0.5405805098698702,7.036952,0.6628192,24,26,110,25,14
170,Colombia,218,Ecuador,090111,Café sin tostar ni descafeinar,27948,19622,4800.000,Toneladas,5822.5,USD/Toneladas,0.4828425723823309,30.81094,0.02413956,79,150,47,286,136
170,Colombia,620,Portugal,090111,Café sin tostar ni descafeinar,20951,20951,2701.000,Toneladas,7756.7567567567567567567567568,USD/Toneladas,0.3619591646623091,6.393883,0.6064296,28,58,103,28,43
