reporterCd,reporterLabel,partnerCd,partnerLabel,productCd,productLabel,Value (kUSD),Balance (kUSD),Quantity,Quantity Unit,Unit Value,Unit Value Unit,Share World (%),Growth Value 5Y (%),Growth Value 2Y (%),Growth Quantity 5Y (%)
000,Mundo,000,Mundo,090111,Café sin tostar ni descafeinar,49863379,-556491,7922065.000,Toneladas,6294.2400750309420586677842204,USD/Toneladas,100,20,47,2
076,Brasil,000,Mundo,090111,Café sin tostar ni descafeinar,14863169,14835986,2269875.000,Toneladas,6548.0121152045817500963709455,USD/Toneladas,29.80779,24,31,3
704,Viet Nam,000,Mundo,090111,Café sin tostar ni descafeinar,5798515,5481207,1043083.000,Toneladas,5559.0159172376503116242906844,USD/Toneladas,11.6288,27,46,-3
170,Colombia,000,Mundo,090111,Café sin tostar ni descafeinar,5788222,5454944,734289.000,Toneladas,7882.757333965237120534285547,USD/Toneladas,11.60816,12,71,2
231,Etiopía,000,Mundo,090111,Café sin tostar ni descafeinar,2800141,2800076,399568.000,Toneladas,7007.9210547391182477075241261,USD/Toneladas,5.615627,21,96,9
360,Indonesia,000,Mundo,090111,Café sin tostar ni descafeinar,2499987,2362944,505490.000,Toneladas,4945.6705374982690063107084215,USD/Toneladas,5.013673,29,54,2
800,Uganda,000,Mundo,090111,Café sin tostar ni descafeinar,2462825,2460701,744898.000,Toneladas,3306.2580380132581910543456957,USD/Toneladas,4.939145,36,59,13
340,Honduras,000,Mundo,090111,Café sin tostar ni descafeinar,2395262,2387387,293904.000,Toneladas,8149.810822581523218465893625,USD/Toneladas,4.80365,11,65,-5
604,Perú,000,Mundo,090111,Café sin tostar ni descafeinar,1796857,1796816,242107.000,Toneladas,7421.7474092033687584415155283,USD/Toneladas,3.60356,18,63,5
056,Bélgica,000,Mundo,090111,Café sin tostar ni descafeinar,1462249,-405653,210284.000,Toneladas,6953.6864430960035000285328413,USD/Toneladas,2.93251,11,65,-8
699,India,000,Mundo,090111,Café sin tostar ni descafeinar,1345974,1042266,226424.000,Toneladas,5944.4846836024449704978270855,USD/Toneladas,2.699323,21,20,-4
320,Guatemala,000,Mundo,090111,Café sin tostar ni descafeinar,1307330,1305870,170569.000,Toneladas,7664.5228617157865731756649802,USD/Toneladas,2.621824,5,43,-6
276,Alemania,000,Mundo,090111,Café sin tostar ni descafeinar,1279536,-6318428,179692.000,Toneladas,7120.7176724617679139861540859,USD/Toneladas,2.566084,15,46,-3
558,Nicaragua,000,Mundo,090111,Café sin tostar ni descafeinar,918898,918893,153224.000,Toneladas,5997.0892288414347621782488383,USD/Toneladas,1.842832,9,75,-2
484,México,000,Mundo,090111,Café sin tostar ni descafeinar,783406,638003,99498.000,Toneladas,7873.5853987014814368128002573,USD/Toneladas,1.571105,20,108,4
188,Costa Rica,000,Mundo,090111,Café sin tostar ni descafeinar,470114,445518,65919.000,Toneladas,7131.6919249381817078535778759,USD/Toneladas,0.9428032,7,36,-1
