reporterCd,reporterLabel,partnerCd,partnerLabel,productCd,productLabel,Value (kUSD),Balance (kUSD),Quantity,Quantity Unit,Unit Value,Unit Value Unit,Share (%),Share Partner Country (%),,Ranking Partners,Growth Value 5Y (%),Growth Value 2Y (%),Growth Value Partners 5Y (%),Growth Quantity 5Y (%)
276,Alemania,000,Mundo,090111,Café sin tostar ni descafeinar,7597964,-6318428,1115056.000,Toneladas,6813.9752622289822215207128611,USD/Toneladas,100.0000000000000000,,100,,20,47,20,0
276,Alemania,076,Brasil,090111,Café sin tostar ni descafeinar,2807436,-2807436,383059.000,Toneladas,7328.9910953665101198509890121,USD/Toneladas,36.9498460377016790,15.46729,29.80779,1,20,23,24,-1
276,Alemania,704,Viet Nam,090111,Café sin tostar ni descafeinar,1345508,-1333142,235616.000,Toneladas,5710.5969034360994159989134864,USD/Toneladas,17.7087967250173862,23.20436,11.6288,2,32,81,27,1
276,Alemania,340,Honduras,090111,Café sin tostar ni descafeinar,552813,-552813,66582.000,Toneladas,8302.739479138505902496170136,USD/Toneladas,7.2758044128663942,23.07944,4.80365,7,8,72,11,-7
276,Alemania,170,Colombia,090111,Café sin tostar ni descafeinar,525559,-525559,65029.000,Toneladas,8081.917298436082363253317751,USD/Toneladas,6.9171030555027636,7.756164,11.60816,3,16,87,12,5
276,Alemania,231,Etiopía,090111,Café sin tostar ni descafeinar,443644,-443644,60849.000,Toneladas,7290.9004256438068004404345182,USD/Toneladas,5.8389852860582124,15.84363,5.615627,4,16,109,21,2
276,Alemania,604,Perú,090111,Café sin tostar ni descafeinar,328697,-328697,41533.000,Toneladas,7914.1164856860809476801579467,USD/Toneladas,4.3261194709530079,16.78881,3.60356,8,13,28,18,0
276,Alemania,800,Uganda,090111,Café sin tostar ni descafeinar,328342,-328342,60562.000,Toneladas,5421.5844919256299329612628381,USD/Toneladas,4.3214471666356935,12.5728,4.939145,6,30,45,36,2
276,Alemania,360,Indonesia,090111,Café sin tostar ni descafeinar,282424,-282424,57179.000,Toneladas,4939.2958953461935325906364225,USD/Toneladas,3.7171010549668306,9.717891,5.013673,5,48,206,29,19
276,Alemania,699,India,090111,Café sin tostar ni descafeinar,179701,-179681,27022.000,Toneladas,6650.1739323514173636296351121,USD/Toneladas,2.3651204454245901,12.34972,2.699323,10,20,-8,21,-4
276,Alemania,558,Nicaragua,090111,Café sin tostar ni descafeinar,114197,-114197,14743.000,Toneladas,7745.8454859933527775893644441,USD/Toneladas,1.5029947496460894,8.823939,1.842832,13,17,172,9,3
276,Alemania,404,Kenya,090111,Café sin tostar ni descafeinar,90121,-90121,12559.000,Toneladas,7175.8101759694243172227088144,USD/Toneladas,1.1861203869878825,12.7433,0.8072711,17,24,119,10,22
276,Alemania,724,España,090111,Café sin tostar ni descafeinar,82174,-71662,16410.000,Toneladas,5007.556368068251066422912858,USD/Toneladas,1.0815265773830989,24.8768,0.4256872,21,40,95,39,28
276,Alemania,834,"Tanzanía, República Unida de",090111,Café sin tostar ni descafeinar,72212,-72212,10328.000,Toneladas,6991.8667699457784663051897754,USD/Toneladas,0.9504125052448261,11.78026,0.7245277,18,15,29,26,-10
276,Alemania,056,Bélgica,090111,Café sin tostar ni descafeinar,68801,-48142,12873.000,Toneladas,5344.5972189854734716072399596,USD/Toneladas,0.9055188995367706,13.56793,2.93251,9,10,26,11,-5
276,Alemania,320,Guatemala,090111,Café sin tostar ni descafeinar,62978,-62978,7317.000,Toneladas,8607.079404127374607079404127,USD/Toneladas,0.8288799473122010,3.493303,2.621824,11,1,43,5,-10
276,Alemania,598,Papua Nueva Guinea,090111,Café sin tostar ni descafeinar,50598,-50598,7065.000,Toneladas,7161.783439490445859872611465,USD/Toneladas,0.6659415601337411,16.76941,0.6051087,19,8,-30,13,-2
276,Alemania,188,Costa Rica,090111,Café sin tostar ni descafeinar,41892,-41892,5090.000,Toneladas,8230.255402750491159135559921,USD/Toneladas,0.5513582322843330,5.269147,0.9428032,15,8,40,7,-1
276,Alemania,156,China,090111,Café sin tostar ni descafeinar,36125,-36018,4231.000,Toneladas,8538.170645237532498227369416,USD/Toneladas,0.4754563196140440,8.107841,0.3458214,22,6,-7,12,-12
276,Alemania,484,México,090111,Café sin tostar ni descafeinar,35963,-35670,4414.000,Toneladas,8147.485274127775260534662438,USD/Toneladas,0.4733241694748751,3.169749,1.571105,14,3,5,20,-9
276,Alemania,381,Italia,090111,Café sin tostar ni descafeinar,29033,39721,4044.000,Toneladas,7179.2779426310583580613254204,USD/Toneladas,0.3821155246326516,3.498586,0.2794476,24,42,147,21,22
276,Alemania,528,Países Bajos,090111,Café sin tostar ni descafeinar,18124,12087,3516.000,Toneladas,5154.7212741751990898748577929,USD/Toneladas,0.2385375871746694,49.37339,0.8386977,16,130,18,36,117
276,Alemania,894,Zambia,090111,Café sin tostar ni descafeinar,16629,-16629,2246.000,Toneladas,7403.8290293855743544078361532,USD/Toneladas,0.2188612633595000,9.656281,0.06242982,40,70,164,12,57
276,Alemania,251,Francia,090111,Café sin tostar ni descafeinar,10758,29522,2725.000,Toneladas,3947.8899082568807339449541284,USD/Toneladas,0.1415905629455470,23.29758,0.08040045,35,12,-11,13,6
276,Alemania,222,El Salvador,090111,Café sin tostar ni descafeinar,10598,-10598,1374.000,Toneladas,7713.2459970887918486171761281,USD/Toneladas,0.1394847356476024,4.945538,0.3328851,23,-5,10,6,-17
276,Alemania,108,Burundi,090111,Café sin tostar ni descafeinar,7829,-7829,1103.000,Toneladas,7097.9147778785131459655485041,USD/Toneladas,0.1030407619725495,10.34634,0.1559392,29,-21,79,18,-32
276,Alemania,120,Camerún,090111,Café sin tostar ni descafeinar,6311,-6311,1065.000,Toneladas,5925.8215962441314553990610329,USD/Toneladas,0.0830617254833005,14.60643,0.08665127,33,9,236,8,-15
276,Alemania,418,"Lao, República Democrática Popular",090111,Café sin tostar ni descafeinar,6235,-6235,757.000,Toneladas,8236.459709379128137384412153,USD/Toneladas,0.0820614575167769,4.918279,0.2542379,27,-35,108,7,-47
276,Alemania,646,Ruanda,090111,Café sin tostar ni descafeinar,5291,-5291,738.000,Toneladas,7169.3766937669376693766937669,USD/Toneladas,0.0696370764589040,5.208406,0.2575573,26,-4,-53,10,-15
276,Alemania,180,"Congo, República Democrática del",090111,Café sin tostar ni descafeinar,4366,-4366,544.000,Toneladas,8025.735294117647058823529412,USD/Toneladas,0.0574627623926620,0.4328488,0.06718253,37,25,-21,19,1
276,Alemania,178,Congo,090111,Café sin tostar ni descafeinar,4326,-4326,602.000,Toneladas,7186.0465116279069767441860465,USD/Toneladas,0.0569363055681759,18.51091,0.04686814,45,25,188,15,3
276,Alemania,626,Timor-Leste,090111,Café sin tostar ni descafeinar,3982,-3982,455.000,Toneladas,8751.648351648351648351648352,USD/Toneladas,0.0524087768775951,13.07031,0.06109986,42,34,945,4,1
276,Alemania,262,Djibouti,090111,Café sin tostar ni descafeinar,3979,-3979,568.000,Toneladas,7005.2816901408450704225352113,USD/Toneladas,0.0523692926157586,27.40358,0.02912017,54,76,875,23,80
276,Alemania,862,"Venezuela, República Bolivariana de",090111,Café sin tostar ni descafeinar,3835,-3835,538.000,Toneladas,7128.2527881040892193308550186,USD/Toneladas,0.0504740480476085,9.091556,0.08459593,34,165,54,38,90
276,Alemania,068,"Bolivia, Estado Plurinacional de",090111,Café sin tostar ni descafeinar,2056,-2056,133.000,Toneladas,15458.646616541353383458646617,USD/Toneladas,0.0270598807785875,6.214589,0.03398038,53,19,272,10,-8
276,Alemania,218,Ecuador,090111,Café sin tostar ni descafeinar,1444,-1018,141.000,Toneladas,10241.134751773049645390070922,USD/Toneladas,0.0190050913639496,11.5172,0.04280135,47,1,36,-2,-2
276,Alemania,384,Côte d'Ivoire,090111,Café sin tostar ni descafeinar,1390,-1390,282.000,Toneladas,4929.0780141843971631205673759,USD/Toneladas,0.0182943746508933,,0.1064284,30,-55,,12,-32
276,Alemania,768,Togo,090111,Café sin tostar ni descafeinar,1374,-1374,270.000,Toneladas,5088.8888888888888888888888889,USD/Toneladas,0.0180837919210989,7.759517,0.009640709,69,,261,29,
276,Alemania,752,Suecia,090111,Café sin tostar ni descafeinar,1089,73106,169.000,Toneladas,6443.7869822485207100591715976,USD/Toneladas,0.0143327870466351,42.07991,0.06329094,39,13,855,55,-3
276,Alemania,192,Cuba,090111,Café sin tostar ni descafeinar,1001,-1001,127.000,Toneladas,7881.8897637795275590551181102,USD/Toneladas,0.0131745820327656,18.33333,0.01094947,66,-7,275,-4,-18
276,Alemania,616,Polonia,090111,Café sin tostar ni descafeinar,893,616965,73.000,Toneladas,12232.876712328767123287671233,USD/Toneladas,0.0117531486066530,4.315615,0.05576437,43,171,860,36,122
276,Alemania,591,Panamá,090111,Café sin tostar ni descafeinar,865,-865,88.000,Toneladas,9829.545454545454545454545455,USD/Toneladas,0.0113846288295127,1.636584,0.07622126,36,-17,-31,173,-13
276,Alemania,300,Grecia,090111,Café sin tostar ni descafeinar,739,4272,86.000,Toneladas,8593.023255813953488372093023,USD/Toneladas,0.0097262898323814,10.05141,0.02340374,56,8,67,43,-2
276,Alemania,702,Singapur,090111,Café sin tostar ni descafeinar,655,148,77.000,Toneladas,8506.493506493506493506493506,USD/Toneladas,0.0086207305009605,4.197813,0.06143847,41,,-37,9,
276,Alemania,214,República Dominicana,090111,Café sin tostar ni descafeinar,517,-517,58.000,Toneladas,8913.793103448275862068965517,USD/Toneladas,0.0068044544564833,13.21907,0.01018077,68,-4,19,6,-10
276,Alemania,826,Reino Unido,090111,Café sin tostar ni descafeinar,508,4172,83.000,Toneladas,6120.4819277108433734939759036,USD/Toneladas,0.0066860016709740,21.65257,0.2744819,25,96,-24,30,75
276,Alemania,694,Sierra Leona,090111,Café sin tostar ni descafeinar,463,-463,86.000,Toneladas,5383.7209302325581395348837209,USD/Toneladas,0.0060937377434271,7.823589,0.01186867,62,80,-11,26,-21
276,Alemania,887,Yemen,090111,Café sin tostar ni descafeinar,439,-439,31.000,Toneladas,14161.290322580645161290322581,USD/Toneladas,0.0057778636487354,6.003829,0.01466437,59,0,-26,-11,0
276,Alemania,388,Jamaica,090111,Café sin tostar ni descafeinar,422,-422,7.000,Toneladas,60285.714285714285714285714286,USD/Toneladas,0.0055541194983288,0.3236956,0.03655388,48,0,-46,-1,-5
276,Alemania,579,Noruega,090111,Café sin tostar ni descafeinar,394,15623,31.000,Toneladas,12709.677419354838709677419355,USD/Toneladas,0.0051855997211885,76.5201,0.01167643,63,,,107,
276,Alemania,842,Estados Unidos de América,090111,Café sin tostar ni descafeinar,334,33162,52.000,Toneladas,6423.0769230769230769230769231,USD/Toneladas,0.0043959144844593,0.2187005,0.5025154,20,-62,48,6,-70
276,Alemania,620,Portugal,090111,Café sin tostar ni descafeinar,324,1113,83.000,Toneladas,3903.6144578313253012048192771,USD/Toneladas,0.0042643002783377,0.9559389,0.03650374,49,42,,30,113
276,Alemania,040,Austria,090111,Café sin tostar ni descafeinar,317,59132,40.000,Toneladas,7925,USD/Toneladas,0.0041721703340526,40.36145,0.01065258,67,89,114,-7,77
276,Alemania,524,Nepal,090111,Café sin tostar ni descafeinar,310,-310,21.000,Toneladas,14761.904761904761904761904762,USD/Toneladas,0.0040800403897676,36.47059,0.001704469,91,9,-37,1,4
276,Alemania,450,Madagascar,090111,Café sin tostar ni descafeinar,267,-267,60.000,Toneladas,4450,USD/Toneladas,0.0035140993034450,1.217619,0.04908239,44,,,394,
276,Alemania,764,Tailandia,090111,Café sin tostar ni descafeinar,250,-250,32.000,Toneladas,7812.5,USD/Toneladas,0.0032903551530384,1.134458,0.03588584,50,-1,85,59,-8
276,Alemania,024,Angola,090111,Café sin tostar ni descafeinar,246,-246,58.000,Toneladas,4241.3793103448275862068965517,USD/Toneladas,0.0032377094705898,0.5341102,0.008260583,73,55,290,90,34
276,Alemania,899,Zona Nep,090111,Café sin tostar ni descafeinar,212,-212,47.000,Toneladas,4510.6382978723404255319148936,USD/Toneladas,0.0027902211697765,,,,,,,
276,Alemania,454,Malawi,090111,Café sin tostar ni descafeinar,167,-167,23.000,Toneladas,7260.869565217391304347826087,USD/Toneladas,0.0021979572422296,8.328376,0.00337187,85,-32,-71,15,-34
276,Alemania,470,Malta,090111,Café sin tostar ni descafeinar,114,-65,31.000,Toneladas,3677.4193548387096774193548387,USD/Toneladas,0.0015004019497855,,0.000008649552,133,,-32,-45,1
276,Alemania,144,Sri Lanka,090111,Café sin tostar ni descafeinar,104,-104,3.000,Toneladas,34666.666666666666666666666667,USD/Toneladas,0.0013687877436640,136.8421,0.0001524165,113,,82,-8,5
276,Alemania,710,Sudáfrica,090111,Café sin tostar ni descafeinar,77,261,30.000,Toneladas,2566.6666666666666666666666667,USD/Toneladas,0.0010134293871358,4.809118,0.0216441,57,,305,21,
276,Alemania,246,Finlandia,090111,Café sin tostar ni descafeinar,75,3067,19.000,Toneladas,3947.3684210526315789473684211,USD/Toneladas,0.0009871065459115,24.96632,0.004466204,81,,,-47,
276,Alemania,716,Zimbabwe,090111,Café sin tostar ni descafeinar,62,-62,9.000,Toneladas,6888.8888888888888888888888889,USD/Toneladas,0.0008160080779535,,0.00199604,89,5,-50,6,5
276,Alemania,792,Türkiye,090111,Café sin tostar ni descafeinar,49,8834,3.000,Toneladas,16333.333333333333333333333333,USD/Toneladas,0.0006449096099955,0.4791027,0.09083389,32,,-65,36,18
276,Alemania,705,Eslovenia,090111,Café sin tostar ni descafeinar,42,1092,12.000,Toneladas,3500,USD/Toneladas,0.0005527796657104,0.09785334,0.0655832,38,-38,2000,13,-12
276,Alemania,703,Eslovaquia,090111,Café sin tostar ni descafeinar,39,9974,12.000,Toneladas,3250,USD/Toneladas,0.0005132954038740,,0.006058555,76,,680,-37,
276,Alemania,324,Guinea,090111,Café sin tostar ni descafeinar,33,-33,6.000,Toneladas,5500,USD/Toneladas,0.0004343268802011,0.7535967,0.008781816,72,,-72,11,
276,Alemania,070,Bosnia y Herzegovina,090111,Café sin tostar ni descafeinar,32,98,7.000,Toneladas,4571.4285714285714285714285714,USD/Toneladas,0.0004211654595889,,0.0002257094,108,,,-38,
276,Alemania,100,Bulgaria,090111,Café sin tostar ni descafeinar,32,7307,7.000,Toneladas,4571.4285714285714285714285714,USD/Toneladas,0.0004211654595889,68.76078,0.008140055,74,-66,,61,-54
276,Alemania,208,Dinamarca,090111,Café sin tostar ni descafeinar,27,21800,9.000,Toneladas,3000,USD/Toneladas,0.0003553583565281,0.03221131,0.02490405,55,,-60,22,
276,Alemania,203,República Checa,090111,Café sin tostar ni descafeinar,26,91499,6.000,Toneladas,4333.3333333333333333333333333,USD/Toneladas,0.0003421969359160,0.8028098,0.003996921,82,34,,-21,
276,Alemania,288,Ghana,090111,Café sin tostar ni descafeinar,21,-21,5.000,Toneladas,4200,USD/Toneladas,0.0002763898328552,1.851852,0.002274399,88,,-96,105,
276,Alemania,757,Suiza,090111,Café sin tostar ni descafeinar,18,36676,3.000,Toneladas,6000,USD/Toneladas,0.0002369055710188,18.46231,0.04413391,46,83,-51,25,-14
276,Alemania,104,Myanmar,090111,Café sin tostar ni descafeinar,13,-13,1.000,Toneladas,13000,USD/Toneladas,0.0001710984679580,0.226205,0.01152457,64,-28,86,12,-41
276,Alemania,036,Australia,090111,Café sin tostar ni descafeinar,12,16805,0.000,Toneladas,,,0.0001579370473458,0.04349717,0.009220345,70,6,-96,-3,
276,Alemania,458,Malasia,090111,Café sin tostar ni descafeinar,11,139,1.000,Toneladas,11000,USD/Toneladas,0.0001447756267337,4.263901,0.03480609,52,,,17,
276,Alemania,688,Serbia,090111,Café sin tostar ni descafeinar,11,528,2.000,Toneladas,5500,USD/Toneladas,0.0001447756267337,2.597403,0.0003093613,106,,,-16,
276,Alemania,422,Líbano,090111,Café sin tostar ni descafeinar,6,-6,2.000,Toneladas,3000,USD/Toneladas,0.0000789685236729,1.648352,0.0007308667,100,,,-9,
276,Alemania,442,Luxemburgo,090111,Café sin tostar ni descafeinar,1,756,0.000,Toneladas,,,0.0000131614206122,12.15316,0.003613875,84,,,16,
276,Alemania,642,Rumania,090111,Café sin tostar ni descafeinar,1,9195,1.000,Toneladas,1000,USD/Toneladas,0.0000131614206122,15.27041,0.001891167,90,,,30,
276,Alemania,682,Arabia Saudita,090111,Café sin tostar ni descafeinar,1,-1,0.000,Toneladas,,,0.0000131614206122,,0.09639707,31,-13,,47,
276,Alemania,008,Albania,090111,Café sin tostar ni descafeinar,,118,,,,,,,0.0001760421,111,,,93,
276,Alemania,031,Azerbaiyán,090111,Café sin tostar ni descafeinar,,811,,,,,,,,,,,,
276,Alemania,051,Armenia,090111,Café sin tostar ni descafeinar,,345,,,,,,,0.01250818,61,,,64,
276,Alemania,112,Belarús,090111,Café sin tostar ni descafeinar,,177,,,,,,,,,,,,
276,Alemania,132,Cabo Verde,090111,Café sin tostar ni descafeinar,,268,,,,,,,,,,,,
276,Alemania,191,Croacia,090111,Café sin tostar ni descafeinar,,3732,,,,,,0.8573655,0.002573031,87,,,25,
276,Alemania,196,Chipre,090111,Café sin tostar ni descafeinar,,429,,,,,,,0.0007039234,101,,,-19,
276,Alemania,233,Estonia,090111,Café sin tostar ni descafeinar,,489,,,,,,0.1416832,0.03538669,51,,,232,
276,Alemania,234,Islas Feroe,090111,Café sin tostar ni descafeinar,,35,,,,,,,,,,,,
276,Alemania,268,Georgia,090111,Café sin tostar ni descafeinar,,1777,,,,,,,0.004937949,80,,,72,
276,Alemania,344,"Hong Kong, China",090111,Café sin tostar ni descafeinar,,8,,,,,,,0.01115491,65,,,27,
276,Alemania,348,Hungría,090111,Café sin tostar ni descafeinar,,16927,,,,,,26.21723,0.0005354631,104,,,-39,
276,Alemania,352,Islandia,090111,Café sin tostar ni descafeinar,,2988,,,,,,,0.000007669217,134,,,-49,
276,Alemania,372,Irlanda,090111,Café sin tostar ni descafeinar,,1490,,,,,,2.840737,0.006636132,75,,,40,
276,Alemania,376,Israel,090111,Café sin tostar ni descafeinar,,891,,,,,,,,,,,,
276,Alemania,392,Japón,090111,Café sin tostar ni descafeinar,,2633,,,,,,,0.0006130328,102,,,43,
276,Alemania,398,Kazajstán,090111,Café sin tostar ni descafeinar,,1454,,,,,,,0.003979028,83,,,181,
276,Alemania,400,Jordania,090111,Café sin tostar ni descafeinar,,381,,,,,,,0.0007369126,99,,,0,
276,Alemania,410,"Corea, República de",090111,Café sin tostar ni descafeinar,,220,,,,,,3.157517,0.005589854,77,,,23,
276,Alemania,417,Kirguistán,090111,Café sin tostar ni descafeinar,,177,,,,,,,,,,,,
276,Alemania,428,Letonia,090111,Café sin tostar ni descafeinar,,1535,,,,,,,0.0005053809,105,,,-28,
276,Alemania,440,Lituania,090111,Café sin tostar ni descafeinar,,6060,,,,,,0.5569773,0.0133224,60,,,7,
276,Alemania,490,Taipei Chino,090111,Café sin tostar ni descafeinar,,21,,,,,,,0.01519125,58,,,7,
276,Alemania,496,Mongolia,090111,Café sin tostar ni descafeinar,,298,,,,,,,,,,,,
276,Alemania,498,"Moldova, República de",090111,Café sin tostar ni descafeinar,,222,,,,,,,,,,,,
276,Alemania,499,Montenegro,090111,Café sin tostar ni descafeinar,,32,,,,,,,,,,,,
276,Alemania,504,Marruecos,090111,Café sin tostar ni descafeinar,,7722,,,,,,,0.00003803058,124,,,-2,
276,Alemania,586,Pakistán,090111,Café sin tostar ni descafeinar,,260,,,,,,,,,,,,
276,Alemania,643,"Rusia, Federación de",090111,Café sin tostar ni descafeinar,,12422,,,,,,,0.005127192,79,,,-7,
276,Alemania,784,Emiratos Árabes Unidos,090111,Café sin tostar ni descafeinar,,225,,,,,,,0.003083031,86,,,-47,
276,Alemania,804,Ucrania,090111,Café sin tostar ni descafeinar,,9068,,,,,,,0.00002257798,128,,,38,
276,Alemania,807,Macedonia del Norte,090111,Café sin tostar ni descafeinar,,33,,,,,,,0.00003413293,125,,,,
276,Alemania,837,Rancho de naves y aeronaves,090111,Café sin tostar ni descafeinar,,1,,,,,,,,,,,,
276,Alemania,858,Uruguay,090111,Café sin tostar ni descafeinar,,1041,,,,,,,,,,,,
276,Alemania,860,Uzbekistán,090111,Café sin tostar ni descafeinar,,139,,,,,,,,,,,,
