reporterCd,reporterLabel,partnerCd,partnerLabel,productCd,productLabel,Value (kUSD),Balance (kUSD),Quantity,Quantity Unit,Unit Value,Unit Value Unit,Share (%),Share Partner Country (%),,Ranking Partners,Growth Value 5Y (%),Growth Value 2Y (%),Growth Value Partners 5Y (%),Growth Quantity 5Y (%)
392,Japón,000,Mundo,090111,Café sin tostar ni descafeinar,2384668,-2384362,354953.000,Toneladas,6718.2641082058751440331536851,USD/Toneladas,100.0000000000000000,,100,,15,50,20,-3
392,Japón,076,Brasil,090111,Café sin tostar ni descafeinar,953397,-953397,145686.000,Toneladas,6544.1909311807586178493472262,USD/Toneladas,39.9802823705438241,6.953692,29.80779,1,21,81,24,2
392,Japón,704,Viet Nam,090111,Café sin tostar ni descafeinar,479676,-479676,88150.000,Toneladas,5441.5882019285309132161089053,USD/Toneladas,20.1150013335189636,8.272394,11.6288,2,28,36,27,-3
392,Japón,170,Colombia,090111,Café sin tostar ni descafeinar,301537,-301537,37531.000,Toneladas,8034.344941515014254882630359,USD/Toneladas,12.6448209981431377,5.106957,11.60816,3,3,63,12,-7
392,Japón,320,Guatemala,090111,Café sin tostar ni descafeinar,162425,-162425,19624.000,Toneladas,8276.854871585813289849164289,USD/Toneladas,6.8112206814533512,11.42129,2.621824,11,10,52,5,-1
392,Japón,231,Etiopía,090111,Café sin tostar ni descafeinar,104392,-104392,14756.000,Toneladas,7074.5459474112225535375440499,USD/Toneladas,4.3776324419164429,3.728098,5.615627,4,6,0,21,-8
392,Japón,834,"Tanzanía, República Unida de",090111,Café sin tostar ni descafeinar,88261,-88261,11623.000,Toneladas,7593.6505205196592962230061086,USD/Toneladas,3.7011860770555901,16.11879,0.7245277,18,8,56,26,-6
392,Japón,360,Indonesia,090111,Café sin tostar ni descafeinar,66343,-66343,9875.000,Toneladas,6718.2784810126582278481012658,USD/Toneladas,2.7820644215463117,2.450093,5.013673,5,5,-29,29,-18
392,Japón,340,Honduras,090111,Café sin tostar ni descafeinar,56957,-56957,7187.000,Toneladas,7925.003478502852372338945318,USD/Toneladas,2.3884666544776883,2.377903,4.80365,7,-1,72,11,-14
392,Japón,604,Perú,090111,Café sin tostar ni descafeinar,35571,-35571,4748.000,Toneladas,7491.7860151642796967144060657,USD/Toneladas,1.4916541841463885,1.737367,3.60356,8,26,28,18,12
392,Japón,800,Uganda,090111,Café sin tostar ni descafeinar,26646,-26646,4236.000,Toneladas,6290.3682719546742209631728045,USD/Toneladas,1.1173882485947729,0.741019,4.939145,6,59,43,36,34
392,Japón,598,Papua Nueva Guinea,090111,Café sin tostar ni descafeinar,13975,-13975,1925.000,Toneladas,7259.7402597402597402597402597,USD/Toneladas,0.5860354565079919,4.631655,0.6051087,19,34,98,13,22
392,Japón,188,Costa Rica,090111,Café sin tostar ni descafeinar,13568,-13568,1557.000,Toneladas,8714.193962748876043673731535,USD/Toneladas,0.5689680911556661,1.916344,0.9428032,15,13,25,7,7
392,Japón,404,Kenya,090111,Café sin tostar ni descafeinar,11536,-11536,1268.000,Toneladas,9097.791798107255520504731861,USD/Toneladas,0.4837570680698529,2.588359,0.8072711,17,-4,80,10,-7
392,Japón,388,Jamaica,090111,Café sin tostar ni descafeinar,10546,-10546,288.000,Toneladas,36618.055555555555555555555556,USD/Toneladas,0.4422418550506821,44.75778,0.03655388,48,19,-30,-1,8
392,Japón,418,"Lao, República Democrática Popular",090111,Café sin tostar ni descafeinar,8666,-8666,1240.000,Toneladas,6988.7096774193548387096774194,USD/Toneladas,0.3634048848728628,6.835895,0.2542379,27,-14,4,7,-26
392,Japón,558,Nicaragua,090111,Café sin tostar ni descafeinar,8101,-8101,943.000,Toneladas,8590.668080593849416755037116,USD/Toneladas,0.3397118592609118,0.8241394,1.842832,13,-2,-5,9,-14
392,Japón,222,El Salvador,090111,Café sin tostar ni descafeinar,7752,-7752,1002.000,Toneladas,7736.5269461077844311377245509,USD/Toneladas,0.3250766983076890,4.117165,0.3328851,23,-12,19,6,-24
392,Japón,484,México,090111,Café sin tostar ni descafeinar,7584,-7584,814.000,Toneladas,9316.953316953316953316953317,USD/Toneladas,0.3180316924620115,0.7122744,1.571105,14,6,73,20,-9
392,Japón,591,Panamá,090111,Café sin tostar ni descafeinar,4651,-4651,120.000,Toneladas,38758.333333333333333333333333,USD/Toneladas,0.1950376320728923,12.0902,0.07622126,36,8,37,173,-3
392,Japón,646,Ruanda,090111,Café sin tostar ni descafeinar,2795,-2795,300.000,Toneladas,9316.666666666666666666666667,USD/Toneladas,0.1172070913015984,2.821058,0.2575573,26,5,-18,10,-2
392,Japón,842,Estados Unidos de América,090111,Café sin tostar ni descafeinar,2731,-2731,47.000,Toneladas,58106.382978723404255319148936,USD/Toneladas,0.1145232795508641,1.62868,0.5025154,20,-19,-2,6,-22
392,Japón,108,Burundi,090111,Café sin tostar ni descafeinar,2668,-2668,368.000,Toneladas,7250,USD/Toneladas,0.1118814023587351,0.9645434,0.1559392,29,14,141,18,10
392,Japón,626,Timor-Leste,090111,Café sin tostar ni descafeinar,2217,-2217,293.000,Toneladas,7566.5529010238907849829351536,USD/Toneladas,0.0929689164277795,7.276965,0.06109986,42,23,37,4,10
392,Japón,699,India,090111,Café sin tostar ni descafeinar,2069,-2069,275.000,Toneladas,7523.6363636363636363636363636,USD/Toneladas,0.0867626017542065,0.1265255,2.699323,10,-2,18,21,-14
