reporterCd,reporterLabel,partnerCd,partnerLabel,productCd,productLabel,Value (kUSD),Balance (kUSD),Quantity,Quantity Unit,Unit Value,Unit Value Unit,Share (%),Share Partner Country (%),,Ranking Partners,Growth Value 5Y (%),Growth Value 2Y (%),Growth Value Partners 5Y (%),Growth Quantity 5Y (%)
410,"Corea, República de",000,Mundo,090111,Café sin tostar ni descafeinar,1212437,-1209650,167421.000,Toneladas,7241.8454076848185114173251862,USD/Toneladas,100.0000000000000000,,100,,17,48,20,0
410,"Corea, República de",076,Brasil,090111,Café sin tostar ni descafeinar,420862,-420862,56191.000,Toneladas,7489.8471285437169653503230055,USD/Toneladas,34.7120716375366308,2.408847,29.80779,1,32,62,24,10
410,"Corea, República de",170,Colombia,090111,Café sin tostar ni descafeinar,219089,-219089,27020.000,Toneladas,8108.401184307920059215396003,USD/Toneladas,18.0701347781369259,3.533123,11.60816,3,9,52,12,-2
410,"Corea, República de",231,Etiopía,090111,Café sin tostar ni descafeinar,163756,-163756,21927.000,Toneladas,7468.2355087335248780042869522,USD/Toneladas,13.5063512578385516,5.848134,5.615627,4,17,41,21,6
410,"Corea, República de",704,Viet Nam,090111,Café sin tostar ni descafeinar,145514,-145500,27189.000,Toneladas,5351.943800801794843502887197,USD/Toneladas,12.0017782367248773,2.509505,11.6288,2,27,34,27,-4
410,"Corea, República de",320,Guatemala,090111,Café sin tostar ni descafeinar,59110,-59110,6875.000,Toneladas,8597.818181818181818181818182,USD/Toneladas,4.8753048612010356,3.864824,2.621824,11,3,25,5,-8
410,"Corea, República de",340,Honduras,090111,Café sin tostar ni descafeinar,39204,-39204,5426.000,Toneladas,7225.2119424990785108735716919,USD/Toneladas,3.2334875956441448,1.636731,4.80365,7,1,54,11,-13
410,"Corea, República de",699,India,090111,Café sin tostar ni descafeinar,35945,-35945,5959.000,Toneladas,6032.0523577781506964255747609,USD/Toneladas,2.9646901241054174,2.80414,2.699323,10,34,59,21,8
410,"Corea, República de",404,Kenya,090111,Café sin tostar ni descafeinar,22891,-22891,2817.000,Toneladas,8126.020589279375221867234647,USD/Toneladas,1.8880156247293674,4.63639,0.8072711,17,-7,38,10,-10
410,"Corea, República de",604,Perú,090111,Café sin tostar ni descafeinar,19477,-19477,3096.000,Toneladas,6291.0206718346253229974160207,USD/Toneladas,1.6064339837863741,1.025179,3.60356,8,-6,-22,18,-19
