reporterCd,reporterLabel,partnerCd,partnerLabel,productCd,productLabel,Value (kUSD),Balance (kUSD),Share (%),Share Partner Country (%),,Ranking Partners,Growth Value 5Y (%),Growth Value 2Y (%),Growth Value Partners 5Y (%)
170,Colombia,000,Mundo,71,"Perlas finas (naturales) o cultivadas, piedras preciosas o semipreciosas, metales preciosos, chapados de metal precioso (plaqué) y manufacturas de estas materias; bisutería; monedas",4854861,4727086,100.0000000000000000,,100,,11,12,12
170,Colombia,842,Estados Unidos de América,71,"Perlas finas (naturales) o cultivadas, piedras preciosas o semipreciosas, metales preciosos, chapados de metal precioso (plaqué) y manufacturas de estas materias; bisutería; monedas",1502344,1496524,30.9451496139642309,1.262992,11.21528,4,7,-7,9
170,Colombia,124,Canadá,71,"Perlas finas (naturales) o cultivadas, piedras preciosas o semipreciosas, metales preciosos, chapados de metal precioso (plaqué) y manufacturas de estas materias; bisutería; monedas",781230,780486,16.0917068480436412,3.013167,1.900628,12,1,650841,7
170,Colombia,784,Emiratos Árabes Unidos,71,"Perlas finas (naturales) o cultivadas, piedras preciosas o semipreciosas, metales preciosos, chapados de metal precioso (plaqué) y manufacturas de estas materias; bisutería; monedas",765701,765697,15.7718418714768559,0.9575035,5.818736,7,65,77,24
170,Colombia,838,Zona franca,71,"Perlas finas (naturales) o cultivadas, piedras preciosas o semipreciosas, metales preciosos, chapados de metal precioso (plaqué) y manufacturas de estas materias; bisutería; monedas",432908,428289,8.9170009192848158,99.36558,0.03170077,64,-2,-25,-2
170,Colombia,699,India,71,"Perlas finas (naturales) o cultivadas, piedras preciosas o semipreciosas, metales preciosos, chapados de metal precioso (plaqué) y manufacturas de estas materias; bisutería; monedas",398706,394511,8.2125111305967359,0.6965694,6.864609,6,29,-32,3
170,Colombia,381,Italia,71,"Perlas finas (naturales) o cultivadas, piedras preciosas o semipreciosas, metales preciosos, chapados de metal precioso (plaqué) y manufacturas de estas materias; bisutería; monedas",380116,320693,7.8295959451774211,2.64229,1.675945,13,-5,-20,5
170,Colombia,757,Suiza,71,"Perlas finas (naturales) o cultivadas, piedras preciosas o semipreciosas, metales preciosos, chapados de metal precioso (plaqué) y manufacturas de estas materias; bisutería; monedas",317765,316416,6.5452955295733493,0.1710779,17.33443,1,26,88,17
170,Colombia,344,"Hong Kong, China",71,"Perlas finas (naturales) o cultivadas, piedras preciosas o semipreciosas, metales preciosos, chapados de metal precioso (plaqué) y manufacturas de estas materias; bisutería; monedas",136008,135410,2.8014808250946835,0.05175159,11.23368,3,-9,-66,18
170,Colombia,036,Australia,71,"Perlas finas (naturales) o cultivadas, piedras preciosas o semipreciosas, metales preciosos, chapados de metal precioso (plaqué) y manufacturas de estas materias; bisutería; monedas",58944,58944,1.2141233291746149,0.0008906355,1.168277,15,-71,1684014,17
170,Colombia,764,Tailandia,71,"Perlas finas (naturales) o cultivadas, piedras preciosas o semipreciosas, metales preciosos, chapados de metal precioso (plaqué) y manufacturas de estas materias; bisutería; monedas",17716,7063,0.3649126102683475,0.3418756,2.153628,9,41,98,22
170,Colombia,604,Perú,71,"Perlas finas (naturales) o cultivadas, piedras preciosas o semipreciosas, metales preciosos, chapados de metal precioso (plaqué) y manufacturas de estas materias; bisutería; monedas",16188,15955,0.3334390006222629,27.19304,0.004581999,98,9,-2,12
170,Colombia,251,Francia,71,"Perlas finas (naturales) o cultivadas, piedras preciosas o semipreciosas, metales preciosos, chapados de metal precioso (plaqué) y manufacturas de estas materias; bisutería; monedas",13479,12693,0.2776392568190933,0.4046526,0.9175094,17,92,129,12
170,Colombia,392,Japón,71,"Perlas finas (naturales) o cultivadas, piedras preciosas o semipreciosas, metales preciosos, chapados de metal precioso (plaqué) y manufacturas de estas materias; bisutería; monedas",7714,7711,0.1588922937237544,0.118264,1.176497,14,3,16,-10
170,Colombia,218,Ecuador,71,"Perlas finas (naturales) o cultivadas, piedras preciosas o semipreciosas, metales preciosos, chapados de metal precioso (plaqué) y manufacturas de estas materias; bisutería; monedas",6514,6487,0.1341747992373005,29.34598,0.00205599,114,11,14,11
170,Colombia,792,Türkiye,71,"Perlas finas (naturales) o cultivadas, piedras preciosas o semipreciosas, metales preciosos, chapados de metal precioso (plaqué) y manufacturas de estas materias; bisutería; monedas",6457,5797,0.1330007182491940,0.004912762,2.045398,11,25,207,33
