reporterCd,reporterLabel,partnerCd,partnerLabel,productCd,productLabel,Value (kUSD),Balance (kUSD),Quantity,Quantity Unit,Unit Value,Unit Value Unit,Share (%),Share Partner Country (%),,Ranking Partners,Growth Value 5Y (%),Growth Value 2Y (%),Growth Value Partners 5Y (%),Growth Quantity 5Y (%)
076,Brasil,000,Mundo,710391,"Rubíes, zafiros y esmeraldas, trabajados, incl. clasificados, pero sin ensartar, montar ni engarzar; rubíes, zafiros y esmeraldas, sin clasificar, ensartados temporalmente para facilitar el transporte (exc. simplemente aserrados o desbastados, así como imitaciones de piedras preciosas o semipreciosas)",17097,15541,0.000,Toneladas,,,100.0000000000000000,,100,,16,-27,7,
076,Brasil,842,Estados Unidos de América,710391,"Rubíes, zafiros y esmeraldas, trabajados, incl. clasificados, pero sin ensartar, montar ni engarzar; rubíes, zafiros y esmeraldas, sin clasificar, ensartados temporalmente para facilitar el transporte (exc. simplemente aserrados o desbastados, así como imitaciones de piedras preciosas o semipreciosas)",8710,8141,0.000,Toneladas,,,50.9446101655261157,1.314131,13.94056,3,13,-22,1,
076,Brasil,344,"Hong Kong, China",710391,"Rubíes, zafiros y esmeraldas, trabajados, incl. clasificados, pero sin ensartar, montar ni engarzar; rubíes, zafiros y esmeraldas, sin clasificar, ensartados temporalmente para facilitar el transporte (exc. simplemente aserrados o desbastados, así como imitaciones de piedras preciosas o semipreciosas)",4215,4183,0.000,Toneladas,,,24.6534479733286541,0.01607521,26.52333,1,68,-43,7,
076,Brasil,757,Suiza,710391,"Rubíes, zafiros y esmeraldas, trabajados, incl. clasificados, pero sin ensartar, montar ni engarzar; rubíes, zafiros y esmeraldas, sin clasificar, ensartados temporalmente para facilitar el transporte (exc. simplemente aserrados o desbastados, así como imitaciones de piedras preciosas o semipreciosas)",1323,1323,0.000,No medida,,,7.7381996841551149,0.05640285,14.86877,2,62,1548,12,
076,Brasil,276,Alemania,710391,"Rubíes, zafiros y esmeraldas, trabajados, incl. clasificados, pero sin ensartar, montar ni engarzar; rubíes, zafiros y esmeraldas, sin clasificar, ensartados temporalmente para facilitar el transporte (exc. simplemente aserrados o desbastados, así como imitaciones de piedras preciosas o semipreciosas)",891,856,0.000,No medida,,,5.2114406036146692,2.101808,0.7192229,13,-6,40,2,
076,Brasil,764,Tailandia,710391,"Rubíes, zafiros y esmeraldas, trabajados, incl. clasificados, pero sin ensartar, montar ni engarzar; rubíes, zafiros y esmeraldas, sin clasificar, ensartados temporalmente para facilitar el transporte (exc. simplemente aserrados o desbastados, así como imitaciones de piedras preciosas o semipreciosas)",571,563,0.000,No medida,,,3.3397672106217465,0.3108467,13.37059,4,147,-32,31,
076,Brasil,056,Bélgica,710391,"Rubíes, zafiros y esmeraldas, trabajados, incl. clasificados, pero sin ensartar, montar ni engarzar; rubíes, zafiros y esmeraldas, sin clasificar, ensartados temporalmente para facilitar el transporte (exc. simplemente aserrados o desbastados, así como imitaciones de piedras preciosas o semipreciosas)",234,234,0.000,No medida,,,1.3686611686260747,0.01171234,0.3008481,14,-9,-49,-9,
076,Brasil,251,Francia,710391,"Rubíes, zafiros y esmeraldas, trabajados, incl. clasificados, pero sin ensartar, montar ni engarzar; rubíes, zafiros y esmeraldas, sin clasificar, ensartados temporalmente para facilitar el transporte (exc. simplemente aserrados o desbastados, así como imitaciones de piedras preciosas o semipreciosas)",227,227,0.000,No medida,,,1.3277183131543546,0.3763412,6.633718,5,-8,379,13,
076,Brasil,826,Reino Unido,710391,"Rubíes, zafiros y esmeraldas, trabajados, incl. clasificados, pero sin ensartar, montar ni engarzar; rubíes, zafiros y esmeraldas, sin clasificar, ensartados temporalmente para facilitar el transporte (exc. simplemente aserrados o desbastados, así como imitaciones de piedras preciosas o semipreciosas)",227,227,0.000,No medida,,,1.3277183131543546,0.1431044,3.34877,9,-24,-29,4,
076,Brasil,156,China,710391,"Rubíes, zafiros y esmeraldas, trabajados, incl. clasificados, pero sin ensartar, montar ni engarzar; rubíes, zafiros y esmeraldas, sin clasificar, ensartados temporalmente para facilitar el transporte (exc. simplemente aserrados o desbastados, así como imitaciones de piedras preciosas o semipreciosas)",226,226,0.000,No medida,,,1.3218693338012517,3.268042,1.35102,11,76,-81,-22,
