reporterCd,reporterLabel,partnerCd,partnerLabel,productCd,productLabel,Value (kUSD),Balance (kUSD),Quantity,Quantity Unit,Unit Value,Unit Value Unit,Share World (%),Growth Value 5Y (%),Growth Value 2Y (%),Growth Quantity 5Y (%)
000,Mundo,000,Mundo,710391,"Rubíes, zafiros y esmeraldas, trabajados, incl. clasificados, pero sin ensartar, montar ni engarzar; rubíes, zafiros y esmeraldas, sin clasificar, ensartados temporalmente para facilitar el transporte (exc. simplemente aserrados o desbastados, así como imitaciones de piedras preciosas o semipreciosas)",7889069,2213221,0.000,No medida,,,100,5,-1,
842,Estados Unidos de América,000,Mundo,710391,"Rubíes, zafiros y esmeraldas, trabajados, incl. clasificados, pero sin ensartar, montar ni engarzar; rubíes, zafiros y esmeraldas, sin clasificar, ensartados temporalmente para facilitar el transporte (exc. simplemente aserrados o desbastados, así como imitaciones de piedras preciosas o semipreciosas)",2677633,1886388,11270304.000,Carats,237.58303236540913182111148022,USD/Carats,33.94105,18,-6,18
764,Tailandia,000,Mundo,710391,"Rubíes, zafiros y esmeraldas, trabajados, incl. clasificados, pero sin ensartar, montar ni engarzar; rubíes, zafiros y esmeraldas, sin clasificar, ensartados temporalmente para facilitar el transporte (exc. simplemente aserrados o desbastados, así como imitaciones de piedras preciosas o semipreciosas)",1510433,751538,9.000,Toneladas,167825888.88888888888888888889,USD/Toneladas,19.1459,34,9,50
344,"Hong Kong, China",000,Mundo,710391,"Rubíes, zafiros y esmeraldas, trabajados, incl. clasificados, pero sin ensartar, montar ni engarzar; rubíes, zafiros y esmeraldas, sin clasificar, ensartados temporalmente para facilitar el transporte (exc. simplemente aserrados o desbastados, así como imitaciones de piedras preciosas o semipreciosas)",1219813,-285611,0.000,No medida,,,15.46207,-18,-13,
757,Suiza,000,Mundo,710391,"Rubíes, zafiros y esmeraldas, trabajados, incl. clasificados, pero sin ensartar, montar ni engarzar; rubíes, zafiros y esmeraldas, sin clasificar, ensartados temporalmente para facilitar el transporte (exc. simplemente aserrados o desbastados, así como imitaciones de piedras preciosas o semipreciosas)",792021,-51908,0.000,Toneladas,,,10.03947,12,1,
699,India,000,Mundo,710391,"Rubíes, zafiros y esmeraldas, trabajados, incl. clasificados, pero sin ensartar, montar ni engarzar; rubíes, zafiros y esmeraldas, sin clasificar, ensartados temporalmente para facilitar el transporte (exc. simplemente aserrados o desbastados, así como imitaciones de piedras preciosas o semipreciosas)",272474,51598,28435018.000,Carats,9.582339634882594412284177207,USD/Carats,3.453815,7,6,
251,Francia,000,Mundo,710391,"Rubíes, zafiros y esmeraldas, trabajados, incl. clasificados, pero sin ensartar, montar ni engarzar; rubíes, zafiros y esmeraldas, sin clasificar, ensartados temporalmente para facilitar el transporte (exc. simplemente aserrados o desbastados, así como imitaciones de piedras preciosas o semipreciosas)",195736,-180784,1.000,Toneladas,195736000,USD/Toneladas,2.481105,20,-16,-29
826,Reino Unido,000,Mundo,710391,"Rubíes, zafiros y esmeraldas, trabajados, incl. clasificados, pero sin ensartar, montar ni engarzar; rubíes, zafiros y esmeraldas, sin clasificar, ensartados temporalmente para facilitar el transporte (exc. simplemente aserrados o desbastados, así como imitaciones de piedras preciosas o semipreciosas)",183226,-6845,1.000,Toneladas,183226000,USD/Toneladas,2.322535,17,-2,0
144,Sri Lanka,000,Mundo,710391,"Rubíes, zafiros y esmeraldas, trabajados, incl. clasificados, pero sin ensartar, montar ni engarzar; rubíes, zafiros y esmeraldas, sin clasificar, ensartados temporalmente para facilitar el transporte (exc. simplemente aserrados o desbastados, así como imitaciones de piedras preciosas o semipreciosas)",171091,161200,0.000,Toneladas,,,2.16871,-4,73,
381,Italia,000,Mundo,710391,"Rubíes, zafiros y esmeraldas, trabajados, incl. clasificados, pero sin ensartar, montar ni engarzar; rubíes, zafiros y esmeraldas, sin clasificar, ensartados temporalmente para facilitar el transporte (exc. simplemente aserrados o desbastados, así como imitaciones de piedras preciosas o semipreciosas)",150323,-127341,1.000,Toneladas,150323000,USD/Toneladas,1.905459,-6,-7,
104,Myanmar,000,Mundo,710391,"Rubíes, zafiros y esmeraldas, trabajados, incl. clasificados, pero sin ensartar, montar ni engarzar; rubíes, zafiros y esmeraldas, sin clasificar, ensartados temporalmente para facilitar el transporte (exc. simplemente aserrados o desbastados, así como imitaciones de piedras preciosas o semipreciosas)",122760,122474,0.000,No medida,,,1.556079,6,36,
170,Colombia,000,Mundo,710391,"Rubíes, zafiros y esmeraldas, trabajados, incl. clasificados, pero sin ensartar, montar ni engarzar; rubíes, zafiros y esmeraldas, sin clasificar, ensartados temporalmente para facilitar el transporte (exc. simplemente aserrados o desbastados, así como imitaciones de piedras preciosas o semipreciosas)",121111,120979,0.000,Toneladas,,,1.535177,6,-5,
