reporterCd,reporterLabel,partnerCd,partnerLabel,productCd,productLabel,Value (kUSD),Balance (kUSD),Share (%),Share Partner Country (%),,Ranking Partners,Growth Value 5Y (%),Growth Value 2Y (%),Growth Value Partners 5Y (%)
170,Colombia,000,Mundo,71,"Perlas finas (naturales) o cultivadas, piedras preciosas o semipreciosas, metales preciosos, chapados de metal precioso (plaqué) y manufacturas de estas materias; bisutería; monedas",127775,4727086,100.0000000000000000,,100,,15,-6,12
170,Colombia,381,Italia,71,"Perlas finas (naturales) o cultivadas, piedras preciosas o semipreciosas, metales preciosos, chapados de metal precioso (plaqué) y manufacturas de estas materias; bisutería; monedas",59423,320693,46.5059675210330659,0.2048843,2.313514,10,29,31,11
170,Colombia,156,China,71,"Perlas finas (naturales) o cultivadas, piedras preciosas o semipreciosas, metales preciosos, chapados de metal precioso (plaqué) y manufacturas de estas materias; bisutería; monedas",21428,-21428,16.7701036979064762,0.03070393,3.733543,6,8,16,14
170,Colombia,764,Tailandia,71,"Perlas finas (naturales) o cultivadas, piedras preciosas o semipreciosas, metales preciosos, chapados de metal precioso (plaqué) y manufacturas de estas materias; bisutería; monedas",10653,7063,8.3373116806887106,0.01063409,1.936746,13,13,79,24
170,Colombia,842,Estados Unidos de América,71,"Perlas finas (naturales) o cultivadas, piedras preciosas o semipreciosas, metales preciosos, chapados de metal precioso (plaqué) y manufacturas de estas materias; bisutería; monedas",5820,1496524,4.5548816278614752,0.05033634,10.85266,2,-9,4,10
170,Colombia,838,Zona franca,71,"Perlas finas (naturales) o cultivadas, piedras preciosas o semipreciosas, metales preciosos, chapados de metal precioso (plaqué) y manufacturas de estas materias; bisutería; monedas",4619,428289,3.6149481510467619,75.59738,0.0004440567,148,17,25,13
170,Colombia,699,India,71,"Perlas finas (naturales) o cultivadas, piedras preciosas o semipreciosas, metales preciosos, chapados de metal precioso (plaqué) y manufacturas de estas materias; bisutería; monedas",4195,394511,3.2831148503228331,0.005027889,2.160871,12,16,68,-7
170,Colombia,724,España,71,"Perlas finas (naturales) o cultivadas, piedras preciosas o semipreciosas, metales preciosos, chapados de metal precioso (plaqué) y manufacturas de estas materias; bisutería; monedas",3269,-2594,2.5584034435531207,0.1261432,0.4663654,29,15,21,15
170,Colombia,076,Brasil,71,"Perlas finas (naturales) o cultivadas, piedras preciosas o semipreciosas, metales preciosos, chapados de metal precioso (plaqué) y manufacturas de estas materias; bisutería; monedas",2832,-2821,2.2163960086088828,0.04490435,0.5233893,28,17,42,0
170,Colombia,703,Eslovaquia,71,"Perlas finas (naturales) o cultivadas, piedras preciosas o semipreciosas, metales preciosos, chapados de metal precioso (plaqué) y manufacturas de estas materias; bisutería; monedas",2546,-2543,1.9925650557620818,1.099283,0.02237806,90,18,,19
170,Colombia,276,Alemania,71,"Perlas finas (naturales) o cultivadas, piedras preciosas o semipreciosas, metales preciosos, chapados de metal precioso (plaqué) y manufacturas de estas materias; bisutería; monedas",2489,-1070,1.9479553903345725,0.01614594,2.499411,9,-19,-60,8
170,Colombia,528,Países Bajos,71,"Perlas finas (naturales) o cultivadas, piedras preciosas o semipreciosas, metales preciosos, chapados de metal precioso (plaqué) y manufacturas de estas materias; bisutería; monedas",2414,-2389,1.8892584621404813,0.002468981,0.2295885,42,,314,26
170,Colombia,757,Suiza,71,"Perlas finas (naturales) o cultivadas, piedras preciosas o semipreciosas, metales preciosos, chapados de metal precioso (plaqué) y manufacturas de estas materias; bisutería; monedas",1349,316416,1.0557620817843866,0.00219749,16.132,1,15,-26,17
