reporterCd,reporterLabel,partnerCd,partnerLabel,productCd,productLabel,2016 (USD Thousand),2017 (USD Thousand),2018 (USD Thousand),2019 (USD Thousand),2020 (USD Thousand),2021 (USD Thousand),2022 (USD Thousand),2023 (USD Thousand),2024 (USD Thousand),2025 (USD Thousand)
170,Colombia,000,Mundo,710391,"Rubíes, zafiros y esmeraldas, trabajados, incl. clasificados, pero sin ensartar, montar ni engarzar; rubíes, zafiros y esmeraldas, sin clasificar, ensartados temporalmente para facilitar el transporte (exc. simplemente aserrados o desbastados, así como imitaciones de piedras preciosas o semipreciosas)",137853,122897,121732,123199,33332,109020,84849,144574,127536,121111
170,Colombia,344,"Hong Kong, China",710391,"Rubíes, zafiros y esmeraldas, trabajados, incl. clasificados, pero sin ensartar, montar ni engarzar; rubíes, zafiros y esmeraldas, sin clasificar, ensartados temporalmente para facilitar el transporte (exc. simplemente aserrados o desbastados, así como imitaciones de piedras preciosas o semipreciosas)",35183,38874,48802,37509,8272,28342,13839,55270,43154,67404
170,Colombia,764,Tailandia,710391,"Rubíes, zafiros y esmeraldas, trabajados, incl. clasificados, pero sin ensartar, montar ni engarzar; rubíes, zafiros y esmeraldas, sin clasificar, ensartados temporalmente para facilitar el transporte (exc. simplemente aserrados o desbastados, así como imitaciones de piedras preciosas o semipreciosas)",16296,11974,10357,10415,1141,3348,8243,9277,8866,17714
170,Colombia,842,Estados Unidos de América,710391,"Rubíes, zafiros y esmeraldas, trabajados, incl. clasificados, pero sin ensartar, montar ni engarzar; rubíes, zafiros y esmeraldas, sin clasificar, ensartados temporalmente para facilitar el transporte (exc. simplemente aserrados o desbastados, así como imitaciones de piedras preciosas o semipreciosas)",64700,55333,43402,49691,20278,62101,45351,60454,62461,16083
170,Colombia,251,Francia,710391,"Rubíes, zafiros y esmeraldas, trabajados, incl. clasificados, pero sin ensartar, montar ni engarzar; rubíes, zafiros y esmeraldas, sin clasificar, ensartados temporalmente para facilitar el transporte (exc. simplemente aserrados o desbastados, así como imitaciones de piedras preciosas o semipreciosas)",44,9,60,10,7,45,340,25,44,7649
170,Colombia,392,Japón,710391,"Rubíes, zafiros y esmeraldas, trabajados, incl. clasificados, pero sin ensartar, montar ni engarzar; rubíes, zafiros y esmeraldas, sin clasificar, ensartados temporalmente para facilitar el transporte (exc. simplemente aserrados o desbastados, así como imitaciones de piedras preciosas o semipreciosas)",5059,4584,5986,4828,2084,6912,5712,11243,6625,7500
170,Colombia,838,Zona franca,710391,"Rubíes, zafiros y esmeraldas, trabajados, incl. clasificados, pero sin ensartar, montar ni engarzar; rubíes, zafiros y esmeraldas, sin clasificar, ensartados temporalmente para facilitar el transporte (exc. simplemente aserrados o desbastados, así como imitaciones de piedras preciosas o semipreciosas)",0,0,0,0,0,0,0,0,0,1235
170,Colombia,381,Italia,710391,"Rubíes, zafiros y esmeraldas, trabajados, incl. clasificados, pero sin ensartar, montar ni engarzar; rubíes, zafiros y esmeraldas, sin clasificar, ensartados temporalmente para facilitar el transporte (exc. simplemente aserrados o desbastados, así como imitaciones de piedras preciosas o semipreciosas)",1425,1473,884,755,449,2888,1301,1823,357,1083
170,Colombia,276,Alemania,710391,"Rubíes, zafiros y esmeraldas, trabajados, incl. clasificados, pero sin ensartar, montar ni engarzar; rubíes, zafiros y esmeraldas, sin clasificar, ensartados temporalmente para facilitar el transporte (exc. simplemente aserrados o desbastados, así como imitaciones de piedras preciosas o semipreciosas)",1864,2771,1322,753,361,1103,605,455,318,700
170,Colombia,784,Emiratos Árabes Unidos,710391,"Rubíes, zafiros y esmeraldas, trabajados, incl. clasificados, pero sin ensartar, montar ni engarzar; rubíes, zafiros y esmeraldas, sin clasificar, ensartados temporalmente para facilitar el transporte (exc. simplemente aserrados o desbastados, así como imitaciones de piedras preciosas o semipreciosas)",508,753,695,7,127,135,1075,110,425,386
170,Colombia,699,India,710391,"Rubíes, zafiros y esmeraldas, trabajados, incl. clasificados, pero sin ensartar, montar ni engarzar; rubíes, zafiros y esmeraldas, sin clasificar, ensartados temporalmente para facilitar el transporte (exc. simplemente aserrados o desbastados, así como imitaciones de piedras preciosas o semipreciosas)",2297,974,1093,578,203,1581,2232,233,1427,363
170,Colombia,702,Singapur,710391,"Rubíes, zafiros y esmeraldas, trabajados, incl. clasificados, pero sin ensartar, montar ni engarzar; rubíes, zafiros y esmeraldas, sin clasificar, ensartados temporalmente para facilitar el transporte (exc. simplemente aserrados o desbastados, así como imitaciones de piedras preciosas o semipreciosas)",953,213,946,1055,51,13,1510,0,0,327
170,Colombia,757,Suiza,710391,"Rubíes, zafiros y esmeraldas, trabajados, incl. clasificados, pero sin ensartar, montar ni engarzar; rubíes, zafiros y esmeraldas, sin clasificar, ensartados temporalmente para facilitar el transporte (exc. simplemente aserrados o desbastados, así como imitaciones de piedras preciosas o semipreciosas)",4676,1249,4055,12931,45,318,744,174,516,247
170,Colombia,124,Canadá,710391,"Rubíes, zafiros y esmeraldas, trabajados, incl. clasificados, pero sin ensartar, montar ni engarzar; rubíes, zafiros y esmeraldas, sin clasificar, ensartados temporalmente para facilitar el transporte (exc. simplemente aserrados o desbastados, así como imitaciones de piedras preciosas o semipreciosas)",47,10,0,15,10,124,364,31,114,131
170,Colombia,724,España,710391,"Rubíes, zafiros y esmeraldas, trabajados, incl. clasificados, pero sin ensartar, montar ni engarzar; rubíes, zafiros y esmeraldas, sin clasificar, ensartados temporalmente para facilitar el transporte (exc. simplemente aserrados o desbastados, así como imitaciones de piedras preciosas o semipreciosas)",38,30,11,2,0,17,85,2,23,59
170,Colombia,040,Austria,710391,"Rubíes, zafiros y esmeraldas, trabajados, incl. clasificados, pero sin ensartar, montar ni engarzar; rubíes, zafiros y esmeraldas, sin clasificar, ensartados temporalmente para facilitar el transporte (exc. simplemente aserrados o desbastados, así como imitaciones de piedras preciosas o semipreciosas)",0,0,28,0,0,183,276,162,177,55
170,Colombia,036,Australia,710391,"Rubíes, zafiros y esmeraldas, trabajados, incl. clasificados, pero sin ensartar, montar ni engarzar; rubíes, zafiros y esmeraldas, sin clasificar, ensartados temporalmente para facilitar el transporte (exc. simplemente aserrados o desbastados, así como imitaciones de piedras preciosas o semipreciosas)",124,24,7,19,40,126,92,19,4,43
170,Colombia,554,Nueva Zelandia,710391,"Rubíes, zafiros y esmeraldas, trabajados, incl. clasificados, pero sin ensartar, montar ni engarzar; rubíes, zafiros y esmeraldas, sin clasificar, ensartados temporalmente para facilitar el transporte (exc. simplemente aserrados o desbastados, así como imitaciones de piedras preciosas o semipreciosas)",49,33,36,20,0,0,34,40,0,34
170,Colombia,268,Georgia,710391,"Rubíes, zafiros y esmeraldas, trabajados, incl. clasificados, pero sin ensartar, montar ni engarzar; rubíes, zafiros y esmeraldas, sin clasificar, ensartados temporalmente para facilitar el transporte (exc. simplemente aserrados o desbastados, así como imitaciones de piedras preciosas o semipreciosas)",0,0,0,0,0,0,0,0,0,33
170,Colombia,604,Perú,710391,"Rubíes, zafiros y esmeraldas, trabajados, incl. clasificados, pero sin ensartar, montar ni engarzar; rubíes, zafiros y esmeraldas, sin clasificar, ensartados temporalmente para facilitar el transporte (exc. simplemente aserrados o desbastados, así como imitaciones de piedras preciosas o semipreciosas)",0,0,0,3,0,0,0,18,0,21
170,Colombia,208,Dinamarca,710391,"Rubíes, zafiros y esmeraldas, trabajados, incl. clasificados, pero sin ensartar, montar ni engarzar; rubíes, zafiros y esmeraldas, sin clasificar, ensartados temporalmente para facilitar el transporte (exc. simplemente aserrados o desbastados, así como imitaciones de piedras preciosas o semipreciosas)",0,0,0,0,0,0,0,5,0,19
