codigo_tm,pais,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
764,Tailandia,415410.0,709184.0,640477.0,785921.0,630149.0,838617.0,604264.0,572381.0,654781.0,656331.0
528,Países Bajos,219321.0,236407.0,286543.0,293639.0,338683.0,329102.0,293367.0,319501.0,330538.0,391278.0
218,Ecuador,10228.0,16345.0,38202.0,69241.0,92677.0,99707.0,121742.0,186888.0,233457.0,341984.0
156,China,167986.0,126473.0,160001.0,244836.0,250775.0,251668.0,202245.0,220894.0,252459.0,251468.0
792,Türkiye,104253.0,97302.0,115029.0,98166.0,126075.0,134518.0,119186.0,136615.0,163954.0,168183.0
818,Egipto,127819.0,97836.0,76887.0,73090.0,67571.0,71915.0,131793.0,146553.0,171520.0,167976.0
724,España,89324.0,118685.0,91875.0,96146.0,87874.0,100576.0,87613.0,93897.0,117239.0,141318.0
604,Perú,41180.0,59914.0,71178.0,68209.0,63788.0,83514.0,83381.0,88774.0,88624.0,121763.0
699,India,81263.0,109477.0,98482.0,114529.0,89878.0,95807.0,78086.0,79090.0,94792.0,119164.0
170,Colombia,57044.0,62041.0,74863.0,80197.0,76931.0,94058.0,98775.0,98897.0,106407.0,116451.0
842,Estados Unidos de América,62342.0,63730.0,68048.0,69765.0,77878.0,73101.0,61150.0,62302.0,73698.0,75124.0
056,Bélgica,53198.0,33972.0,65153.0,146417.0,46588.0,44289.0,51073.0,43616.0,56568.0,58600.0
484,México,21989.0,27966.0,25752.0,28535.0,43669.0,59356.0,58976.0,64032.0,60906.0,55196.0
251,Francia,15286.0,26152.0,18560.0,24754.0,22102.0,34881.0,25424.0,34790.0,35367.0,45961.0
710,Sudáfrica,51916.0,53015.0,33547.0,33349.0,33437.0,34642.0,41064.0,28202.0,35347.0,44424.0
031,Azerbaiyán,11814.0,13843.0,17841.0,26830.0,36736.0,37192.0,39137.0,38830.0,34581.0,43813.0
040,Austria,5525.0,4892.0,4514.0,4110.0,18489.0,34873.0,32833.0,35385.0,43728.0,42422.0
116,Camboya,0.0,106.0,1232.0,1404.0,587.0,223.0,3711.0,23243.0,32204.0,39983.0
300,Grecia,14397.0,14221.0,13778.0,16669.0,18565.0,17171.0,19638.0,26568.0,28620.0,36447.0
276,Alemania,13956.0,12880.0,15649.0,16514.0,20639.0,20133.0,19488.0,19580.0,24856.0,31681.0
381,Italia,11902.0,11785.0,12566.0,11528.0,16550.0,15601.0,15161.0,17469.0,22700.0,31159.0
152,Chile,10296.0,11665.0,13880.0,11056.0,12513.0,9723.0,10653.0,12965.0,11893.0,20113.0
458,Malasia,18689.0,16383.0,19358.0,18874.0,15708.0,18682.0,14614.0,19596.0,18798.0,18324.0
344,"Hong Kong, China",89457.0,123789.0,82966.0,121181.0,105764.0,233954.0,87274.0,18714.0,20778.0,17140.0
