codigo_tm,pais,anio,exportaciones_usd_miles
704,Viet Nam,2016,1144740.0
764,Tailandia,2016,415410.0
528,Países Bajos,2016,219321.0
156,China,2016,167986.0
818,Egipto,2016,127819.0
792,Türkiye,2016,104253.0
344,"Hong Kong, China",2016,89457.0
724,España,2016,89324.0
699,India,2016,81263.0
842,Estados Unidos de América,2016,62342.0
170,Colombia,2016,57044.0
056,Bélgica,2016,53198.0
710,Sudáfrica,2016,51916.0
604,Perú,2016,41180.0
490,Taipei Chino,2016,36355.0
376,Israel,2016,31109.0
784,Emiratos Árabes Unidos,2016,24181.0
484,México,2016,21989.0
458,Malasia,2016,18689.0
251,Francia,2016,15286.0
300,Grecia,2016,14397.0
276,Alemania,2016,13956.0
381,Italia,2016,11902.0
364,"Irán, República Islámica del",2016,11854.0
031,Azerbaiyán,2016,11814.0
152,Chile,2016,10296.0
682,Arabia Saudita,2016,10252.0
218,Ecuador,2016,10228.0
418,"Lao, República Democrática Popular",2016,7290.0
320,Guatemala,2016,7033.0
586,Pakistán,2016,6947.0
512,Omán,2016,6854.0
360,Indonesia,2016,6739.0
504,Marruecos,2016,6223.0
144,Sri Lanka,2016,6102.0
414,Kuwait,2016,5958.0
040,Austria,2016,5525.0
104,Myanmar,2016,5449.0
348,Hungría,2016,4789.0
554,Nueva Zelandia,2016,4480.0
702,Singapur,2016,3722.0
752,Suecia,2016,3417.0
788,Túnez,2016,3095.0
340,Honduras,2016,3023.0
620,Portugal,2016,2876.0
203,República Checa,2016,2441.0
422,Líbano,2016,2421.0
826,Reino Unido,2016,2343.0
036,Australia,2016,2151.0
051,Armenia,2016,2113.0
308,Granada,2016,2015.0
388,Jamaica,2016,1981.0
191,Croacia,2016,1813.0
076,Brasil,2016,1763.0
440,Lituania,2016,1720.0
404,Kenya,2016,1612.0
214,República Dominicana,2016,1607.0
480,Mauricio,2016,1576.0
558,Nicaragua,2016,1390.0
208,Dinamarca,2016,1216.0
616,Polonia,2016,1115.0
032,Argentina,2016,856.0
428,Letonia,2016,759.0
124,Canadá,2016,710.0
188,Costa Rica,2016,674.0
400,Jordania,2016,604.0
268,Georgia,2016,591.0
112,Belarús,2016,566.0
100,Bulgaria,2016,562.0
417,Kirguistán,2016,502.0
643,"Rusia, Federación de",2016,496.0
662,Santa Lucía,2016,496.0
705,Eslovenia,2016,483.0
246,Finlandia,2016,426.0
780,Trinidad y Tobago,2016,388.0
096,Brunei Darussalam,2016,367.0
212,Dominica,2016,334.0
762,Tayikistán,2016,308.0
384,Côte d'Ivoire,2016,285.0
450,Madagascar,2016,280.0
392,Japón,2016,263.0
398,Kazajstán,2016,245.0
328,Guyana,2016,223.0
642,Rumania,2016,207.0
508,Mozambique,2016,192.0
048,Bahrein,2016,191.0
372,Irlanda,2016,164.0
196,Chipre,2016,158.0
442,Luxemburgo,2016,151.0
052,Barbados,2016,126.0
410,"Corea, República de",2016,121.0
288,Ghana,2016,94.0
800,Uganda,2016,92.0
608,Filipinas,2016,75.0
716,Zimbabwe,2016,73.0
108,Burundi,2016,72.0
242,Fiji,2016,63.0
050,Bangladesh,2016,63.0
120,Camerún,2016,59.0
686,Senegal,2016,52.0
670,San Vicente y las Granadinas,2016,47.0
740,Suriname,2016,38.0
757,Suiza,2016,35.0
703,Eslovaquia,2016,32.0
498,"Moldova, República de",2016,29.0
807,Macedonia del Norte,2016,26.0
231,Etiopía,2016,26.0
275,"Palestina, Estado de",2016,26.0
688,Serbia,2016,24.0
499,Montenegro,2016,24.0
834,"Tanzanía, República Unida de",2016,17.0
233,Estonia,2016,17.0
012,Argelia,2016,15.0
222,El Salvador,2016,11.0
562,Níger,2016,10.0
804,Ucrania,2016,7.0
524,Nepal,2016,6.0
426,Lesoto,2016,6.0
579,Noruega,2016,5.0
533,Aruba,2016,5.0
646,Ruanda,2016,3.0
516,Namibia,2016,3.0
882,Samoa,2016,3.0
352,Islandia,2016,2.0
084,Belice,2016,2.0
072,Botsuana,2016,2.0
894,Zambia,2016,1.0
070,Bosnia y Herzegovina,2016,1.0
858,Uruguay,2016,1.0
854,Burkina Faso,2016,1.0
332,Haití,2016,1.0
116,Camboya,2016,0.0
591,Panamá,2016,0.0
