codigo_tm,pais,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
764,Tailandia,13.491,18.505,16.19,17.693,15.75,18.78,17.108,15.553,16.77,20.45
528,Países Bajos,7.123,6.169,7.243,6.611,8.465,7.37,8.306,8.682,8.466,12.191
218,Ecuador,0.332,0.426,0.966,1.559,2.316,2.233,3.447,5.078,5.979,10.656
156,China,5.456,3.3,4.045,5.512,6.268,5.636,5.726,6.002,6.466,7.835
792,Türkiye,3.386,2.539,2.908,2.21,3.151,3.012,3.374,3.712,4.199,5.24
818,Egipto,4.151,2.553,1.944,1.645,1.689,1.61,3.731,3.982,4.393,5.234
724,España,2.901,3.097,2.322,2.165,2.196,2.252,2.481,2.551,3.003,4.403
604,Perú,1.337,1.563,1.799,1.536,1.594,1.87,2.361,2.412,2.27,3.794
699,India,2.639,2.857,2.489,2.578,2.246,2.145,2.211,2.149,2.428,3.713
170,Colombia,1.853,1.619,1.892,1.805,1.923,2.106,2.797,2.687,2.725,3.628
842,Estados Unidos de América,2.025,1.663,1.72,1.571,1.947,1.637,1.731,1.693,1.888,2.341
056,Bélgica,1.728,0.886,1.647,3.296,1.164,0.992,1.446,1.185,1.449,1.826
484,México,0.714,0.73,0.651,0.642,1.091,1.329,1.67,1.74,1.56,1.72
251,Francia,0.496,0.682,0.469,0.557,0.552,0.781,0.72,0.945,0.906,1.432
710,Sudáfrica,1.686,1.383,0.848,0.751,0.836,0.776,1.163,0.766,0.905,1.384
031,Azerbaiyán,0.384,0.361,0.451,0.604,0.918,0.833,1.108,1.055,0.886,1.365
040,Austria,0.179,0.128,0.114,0.093,0.462,0.781,0.93,0.962,1.12,1.322
116,Camboya,0.0,0.003,0.031,0.032,0.015,0.005,0.105,0.632,0.825,1.246
300,Grecia,0.468,0.371,0.348,0.375,0.464,0.385,0.556,0.722,0.733,1.136
276,Alemania,0.453,0.336,0.396,0.372,0.516,0.451,0.552,0.532,0.637,0.987
381,Italia,0.387,0.308,0.318,0.26,0.414,0.349,0.429,0.475,0.581,0.971
152,Chile,0.334,0.304,0.351,0.249,0.313,0.218,0.302,0.352,0.305,0.627
458,Malasia,0.607,0.427,0.489,0.425,0.393,0.418,0.414,0.532,0.481,0.571
344,"Hong Kong, China",2.905,3.23,2.097,2.728,2.644,5.239,2.471,0.509,0.532,0.534
144,Sri Lanka,0.198,0.215,,0.246,0.159,0.228,0.319,0.297,0.288,0.467
