anio,economias_con_dato,exportaciones_mundiales_usd_miles,HHI_oferta_mundial,HHI_escala_10000,numero_equivalente_exportadores,cuota_mayor_exportador_pct,cuota_top5_pct
2016,154,3079157.0,0.1718,1718.3,5.82,37.18,67.4
2017,158,3832377.0,0.1938,1938.4,5.16,38.6,69.8
2018,155,3955960.0,0.1942,1942.2,5.15,39.52,69.9
2019,152,4441897.0,0.1661,1661.0,6.02,34.88,67.99
2020,151,4000859.0,0.154,1540.1,6.49,33.52,67.15
2021,151,4465542.0,0.1355,1354.9,7.38,28.94,65.96
2022,149,3531990.0,0.1056,1056.2,9.47,23.86,58.73
2023,148,3680125.0,0.1092,1091.9,9.16,25.23,60.55
2024,139,3904393.0,0.0991,990.9,10.09,21.77,59.45
2025,109,3209449.0,0.0884,883.8,11.31,20.45,56.37
