pais,exportaciones_2016_usd_miles,exportaciones_2024_usd_miles,exportaciones_2025_usd_miles,cagr_2016_2025_pct,cagr_2016_2024_pct,variacion_total_2016_2025_pct,cuota_final_pct,puesto_final
Colombia,57044.0,106407.0,116451.0,8.25,8.1,104.1,3.63,10
Ecuador,10228.0,233457.0,341984.0,47.69,47.84,3243.6,10.66,3
Perú,41180.0,88624.0,121763.0,12.8,10.05,195.7,3.79,8
Países Bajos,219321.0,330538.0,391278.0,6.64,5.26,78.4,12.19,2
Tailandia,415410.0,654781.0,656331.0,5.21,5.85,58.0,20.45,1
China,167986.0,252459.0,251468.0,4.58,5.22,49.7,7.84,4
España,89324.0,117239.0,141318.0,5.23,3.46,58.2,4.4,7
Türkiye,104253.0,163954.0,168183.0,5.46,5.82,61.3,5.24,5
Egipto,127819.0,171520.0,167976.0,3.08,3.74,31.4,5.23,6
India,81263.0,94792.0,119164.0,4.35,1.94,46.6,3.71,9
