anio,Colombia_usd_miles,Colombia_cuota_pct,Ecuador_usd_miles,Ecuador_cuota_pct,Perú_usd_miles,Perú_cuota_pct,razon_ecuador_colombia,razon_peru_colombia
2016,57044.0,1.85,10228.0,0.33,41180.0,1.34,0.18,0.72
2017,62041.0,1.62,16345.0,0.43,59914.0,1.56,0.26,0.97
2018,74863.0,1.89,38202.0,0.97,71178.0,1.8,0.51,0.95
2019,80197.0,1.81,69241.0,1.56,68209.0,1.54,0.86,0.85
2020,76931.0,1.92,92677.0,2.32,63788.0,1.59,1.2,0.83
2021,94058.0,2.11,99707.0,2.23,83514.0,1.87,1.06,0.89
2022,98775.0,2.8,121742.0,3.45,83381.0,2.36,1.23,0.84
2023,98897.0,2.69,186888.0,5.08,88774.0,2.41,1.89,0.9
2024,106407.0,2.73,233457.0,5.98,88624.0,2.27,2.19,0.83
2025,116451.0,3.63,341984.0,10.66,121763.0,3.79,2.94,1.05
