autores,anio,titulo,fuente,doi_o_url
"Baena-Rojas, J. J., & Cano, L.",2026,International market selection for exports of goods (IMSFEOG),"Global Business Review (citado en Serie de recursos, 2026b)",
"Balassa, B.",1965,Trade liberalisation and 'revealed' comparative advantage,"The Manchester School, 33(2), 99-123",https://doi.org/10.1111/j.1467-9957.1965.tb00050.x
Cambio Colombia,2023,"Uchuva, curuba, chirimoya y otras frutas colombianas que deleitan paladares exoticos",,https://cambiocolombia.com/economia/uchuva-curuba-chirimoya-y-otras-frutas-colombianas-que-deleitan-paladares-exoticos
Centro de Comercio Internacional,2024,Trade Map: Estadisticas del comercio para el desarrollo de las empresas [Base de datos],Organizacion Mundial del Comercio; UNCTAD,https://www.trademap.org/
Instituto Colombiano Agropecuario [ICA],1996,"Resolucion 431 de 1996, certificado fitosanitario de exportacion",,https://www.ica.gov.co/archivo-tramites/glosario/c/certificado-fitosanitario-(exportacion)
Instituto Colombiano Agropecuario [ICA],2022,"Resolucion 824 de 2022, registro ICA de predios, exportadores y empacadoras",,https://www.ica.gov.co/importacion-y-exportacion/planes-trabajo-exportacion-vegetales/documentos-relacionados/resolucion_ica_824_2022.aspx
"Laursen, K.",2015,Revealed comparative advantage and the alternatives as measures of international specialization,"Eurasian Business Review, 5(1), 99-115",https://doi.org/10.1007/s40821-015-0017-1
Legiscomex,2024,Sistema de inteligencia comercial y analisis de comercio exterior colombiano [Base de datos],Legis S.A.,https://www.legiscomex.com/
"McKinney, W.",2022,"Python for data analysis: Data wrangling with pandas, NumPy, and Jupyter (3a ed.)",O'Reilly Media,
Ministerio de Agricultura y Desarrollo Rural de Colombia,2024,Agronet: Red de informacion y comunicacion del sector agroalimentario [Base de datos],Sistema de Informacion del Sector Agropecuario,https://www.agronet.gov.co/
Portal Fruticola,2023,"Curuba colombiana, una pasiflora que promete conquistar mercados",,https://www.portalfruticola.com/noticias/2023/07/10/curuba-colombiana-una-pasiflora-que-promete-conquistar-mercados/
Presidencia de la Republica de Colombia,2016,"Decreto 2153 de 2016, Arancel de Aduanas",,https://normograma.dian.gov.co/dian/compilacion/docs/decreto_2153_2016.htm
Serie de recursos,2026a,Metricas de comercio exterior e inteligencia de negocios globales. Documento 1 de 3 - Nivel basico,Universidad EAN,
Serie de recursos,2026b,Metricas de comercio exterior e inteligencia de negocios globales. Documento 2 de 3 - Nivel intermedio,Universidad EAN,
"Sosa-Simbaqueva, D. N., & Deaquiz-Oyola, Y. A.",2024,Evaluation of 1-methylcyclopropene (1-MCP) and temperature in postharvest of banana passion fruit,"Agronomia Colombiana, 42(1), e113648",https://doi.org/10.15446/agron.colomb.v42n1.113648
The World Bank,2024,World Development Indicators: Macroeconomic indicators for Colombia [Base de datos],World Bank Group,https://databank.worldbank.org/source/world-development-indicators
