reporterCd,reporterLabel,partnerCd,partnerLabel,productCd,productLabel,2016 (USD Thousand),2017 (USD Thousand),2018 (USD Thousand),2019 (USD Thousand),2020 (USD Thousand),2021 (USD Thousand),2022 (USD Thousand),2023 (USD Thousand),2024 (USD Thousand),2025 (USD Thousand)
170,Colombia,000,Mundo,060311,"Rosas ""flores y capullos"", cortadas para ramos o adornos, frescas",304267,309408,333787,330289,321794,367315,392742,375663,425094,429509
170,Colombia,842,Estados Unidos de América,060311,"Rosas ""flores y capullos"", cortadas para ramos o adornos, frescas",228932,229158,250067,252838,257068,285360,306306,294578,333191,333643
170,Colombia,724,España,060311,"Rosas ""flores y capullos"", cortadas para ramos o adornos, frescas",7082,7578,8064,8094,6121,9364,11549,13126,19097,22287
170,Colombia,826,Reino Unido,060311,"Rosas ""flores y capullos"", cortadas para ramos o adornos, frescas",7822,7283,7404,6424,5676,9397,11549,10934,11067,12759
170,Colombia,124,Canadá,060311,"Rosas ""flores y capullos"", cortadas para ramos o adornos, frescas",11295,10490,11735,10502,8987,11792,13040,11552,11307,12121
170,Colombia,616,Polonia,060311,"Rosas ""flores y capullos"", cortadas para ramos o adornos, frescas",769,1029,2234,2939,3705,5179,5775,5458,6957,7319
170,Colombia,528,Países Bajos,060311,"Rosas ""flores y capullos"", cortadas para ramos o adornos, frescas",5843,7007,9201,8480,7543,9320,9049,7939,7838,6474
170,Colombia,410,"Corea, República de",060311,"Rosas ""flores y capullos"", cortadas para ramos o adornos, frescas",310,286,446,730,1166,1912,2566,3040,4098,4496
170,Colombia,076,Brasil,060311,"Rosas ""flores y capullos"", cortadas para ramos o adornos, frescas",3426,4121,3686,3157,1171,993,995,1265,1852,3321
170,Colombia,398,Kazajstán,060311,"Rosas ""flores y capullos"", cortadas para ramos o adornos, frescas",660,1285,1600,1785,1476,1795,3144,4389,4210,2930
170,Colombia,642,Rumania,060311,"Rosas ""flores y capullos"", cortadas para ramos o adornos, frescas",603,933,1258,1563,1343,2597,2463,1921,2595,2555
170,Colombia,591,Panamá,060311,"Rosas ""flores y capullos"", cortadas para ramos o adornos, frescas",3031,2450,2394,1706,1368,1685,1868,2211,2125,2358
170,Colombia,381,Italia,060311,"Rosas ""flores y capullos"", cortadas para ramos o adornos, frescas",1797,1677,1654,1858,1884,2713,2608,2145,2284,2113
170,Colombia,203,República Checa,060311,"Rosas ""flores y capullos"", cortadas para ramos o adornos, frescas",1290,1554,1639,1675,1446,1810,2154,2058,2243,1539
170,Colombia,036,Australia,060311,"Rosas ""flores y capullos"", cortadas para ramos o adornos, frescas",2603,2979,2662,2232,1691,1736,1222,1168,1794,1507
170,Colombia,348,Hungría,060311,"Rosas ""flores y capullos"", cortadas para ramos o adornos, frescas",231,279,244,196,189,250,360,350,765,1252
170,Colombia,643,"Rusia, Federación de",060311,"Rosas ""flores y capullos"", cortadas para ramos o adornos, frescas",16494,16107,12893,12122,9002,8294,5244,2161,1502,1064
170,Colombia,376,Israel,060311,"Rosas ""flores y capullos"", cortadas para ramos o adornos, frescas",2,93,373,660,1279,1890,2119,1768,1268,944
170,Colombia,784,Emiratos Árabes Unidos,060311,"Rosas ""flores y capullos"", cortadas para ramos o adornos, frescas",305,191,837,956,679,1597,1367,564,757,896
170,Colombia,392,Japón,060311,"Rosas ""flores y capullos"", cortadas para ramos o adornos, frescas",1977,2220,1991,1418,1087,1139,965,874,822,854
170,Colombia,554,Nueva Zelandia,060311,"Rosas ""flores y capullos"", cortadas para ramos o adornos, frescas",597,684,802,727,437,414,415,529,646,796
170,Colombia,251,Francia,060311,"Rosas ""flores y capullos"", cortadas para ramos o adornos, frescas",650,645,509,454,298,507,589,717,534,592
170,Colombia,804,Ucrania,060311,"Rosas ""flores y capullos"", cortadas para ramos o adornos, frescas",1286,1859,1640,1000,1117,1491,1111,707,853,589
170,Colombia,112,Belarús,060311,"Rosas ""flores y capullos"", cortadas para ramos o adornos, frescas",245,558,1100,1216,1150,912,953,1125,633,526
170,Colombia,214,República Dominicana,060311,"Rosas ""flores y capullos"", cortadas para ramos o adornos, frescas",443,433,526,493,300,489,583,413,436,514
170,Colombia,032,Argentina,060311,"Rosas ""flores y capullos"", cortadas para ramos o adornos, frescas",541,941,1500,900,336,256,301,233,337,475
170,Colombia,620,Portugal,060311,"Rosas ""flores y capullos"", cortadas para ramos o adornos, frescas",355,400,394,346,132,60,109,150,449,468
170,Colombia,218,Ecuador,060311,"Rosas ""flores y capullos"", cortadas para ramos o adornos, frescas",221,319,166,98,110,177,180,448,962,418
170,Colombia,499,Montenegro,060311,"Rosas ""flores y capullos"", cortadas para ramos o adornos, frescas",0,0,0,51,121,146,254,326,366,385
170,Colombia,040,Austria,060311,"Rosas ""flores y capullos"", cortadas para ramos o adornos, frescas",0,0,0,0,0,0,0,4,151,353
170,Colombia,048,Bahrein,060311,"Rosas ""flores y capullos"", cortadas para ramos o adornos, frescas",129,172,304,182,171,286,316,253,329,309
170,Colombia,414,Kuwait,060311,"Rosas ""flores y capullos"", cortadas para ramos o adornos, frescas",724,835,628,429,403,601,467,328,386,300
170,Colombia,533,Aruba,060311,"Rosas ""flores y capullos"", cortadas para ramos o adornos, frescas",154,147,152,171,122,165,276,358,345,283
170,Colombia,428,Letonia,060311,"Rosas ""flores y capullos"", cortadas para ramos o adornos, frescas",442,1336,428,2,126,188,149,116,262,252
170,Colombia,705,Eslovenia,060311,"Rosas ""flores y capullos"", cortadas para ramos o adornos, frescas",1,24,22,32,71,142,191,238,271,235
170,Colombia,440,Lituania,060311,"Rosas ""flores y capullos"", cortadas para ramos o adornos, frescas",11,12,16,11,483,12,0,5,0,225
170,Colombia,152,Chile,060311,"Rosas ""flores y capullos"", cortadas para ramos o adornos, frescas",601,963,1000,874,500,546,605,367,212,220
170,Colombia,188,Costa Rica,060311,"Rosas ""flores y capullos"", cortadas para ramos o adornos, frescas",0,1,0,18,108,177,210,148,118,204
170,Colombia,531,Curaçao,060311,"Rosas ""flores y capullos"", cortadas para ramos o adornos, frescas",173,167,218,233,164,194,274,358,297,183
