reporterCd,reporterLabel,partnerCd,partnerLabel,productCd,productLabel,Value (kUSD),Balance (kUSD),Quantity,Quantity Unit,Unit Value,Unit Value Unit,Share (%),Share Partner Country (%),,Ranking Partners,Growth Value 5Y (%),Growth Value 2Y (%),Growth Value Partners 5Y (%),Growth Quantity 5Y (%)
170,Colombia,000,Mundo,060311,"Rosas ""flores y capullos"", cortadas para ramos o adornos, frescas",429509,429244,61015.000,Toneladas,7039.400147504711956076374662,USD/Toneladas,100.0000000000000000,,100,,4,1,4,-1
170,Colombia,842,Estados Unidos de América,060311,"Rosas ""flores y capullos"", cortadas para ramos o adornos, frescas",333643,333643,47359.000,Toneladas,7044.9756118161278743216706434,USD/Toneladas,77.6800951784479487,56.21474,29.4337,1,4,0,8,-1
170,Colombia,724,España,060311,"Rosas ""flores y capullos"", cortadas para ramos o adornos, frescas",22287,22287,3503.000,Toneladas,6362.2609192121039109334855838,USD/Toneladas,5.1889483107455257,37.56067,1.871494,9,25,17,12,20
170,Colombia,826,Reino Unido,060311,"Rosas ""flores y capullos"", cortadas para ramos o adornos, frescas",12759,12759,2103.000,Toneladas,6067.0470756062767475035663338,USD/Toneladas,2.9706013145242591,6.94668,6.947742,4,6,15,4,10
170,Colombia,124,Canadá,060311,"Rosas ""flores y capullos"", cortadas para ramos o adornos, frescas",12121,12121,1613.000,Toneladas,7514.569125852448853068815871,USD/Toneladas,2.8220596075984438,53.02396,1.719932,10,-1,7,3,-5
170,Colombia,616,Polonia,060311,"Rosas ""flores y capullos"", cortadas para ramos o adornos, frescas",7319,7319,868.000,Toneladas,8432.027649769585253456221198,USD/Toneladas,1.7040387977900347,3.106058,2.502788,7,9,5,8,0
170,Colombia,528,Países Bajos,060311,"Rosas ""flores y capullos"", cortadas para ramos o adornos, frescas",6474,6474,722.000,Toneladas,8966.759002770083102493074792,USD/Toneladas,1.5073025245105458,1.570183,17.14857,2,-8,-17,3,-11
170,Colombia,410,"Corea, República de",060311,"Rosas ""flores y capullos"", cortadas para ramos o adornos, frescas",4496,4496,716.000,Toneladas,6279.3296089385474860335195531,USD/Toneladas,1.0467766682421090,62.59066,0.2992422,34,24,10,22,21
170,Colombia,076,Brasil,060311,"Rosas ""flores y capullos"", cortadas para ramos o adornos, frescas",3321,3321,388.000,Toneladas,8559.278350515463917525773196,USD/Toneladas,0.7732084775871984,62.9948,0.1317254,51,35,79,35,26
170,Colombia,398,Kazajstán,060311,"Rosas ""flores y capullos"", cortadas para ramos o adornos, frescas",2930,2930,369.000,Toneladas,7940.379403794037940379403794,USD/Toneladas,0.6821742966969260,3.943179,1.15594,14,14,-30,19,8
170,Colombia,642,Rumania,060311,"Rosas ""flores y capullos"", cortadas para ramos o adornos, frescas",2555,2555,436.000,Toneladas,5860.0917431192660550458715596,USD/Toneladas,0.5948652996794014,,1.019961,15,0,-2,14,-1
170,Colombia,591,Panamá,060311,"Rosas ""flores y capullos"", cortadas para ramos o adornos, frescas",2358,2358,289.000,Toneladas,8159.16955017301038062283737,USD/Toneladas,0.5489989732461951,59.13279,0.08705587,60,8,11,9,-1
170,Colombia,381,Italia,060311,"Rosas ""flores y capullos"", cortadas para ramos o adornos, frescas",2113,2113,225.000,Toneladas,9391.111111111111111111111111,USD/Toneladas,0.4919570951947456,0.3674464,2.895749,6,-6,-7,12,-15
170,Colombia,203,República Checa,060311,"Rosas ""flores y capullos"", cortadas para ramos o adornos, frescas",1539,1539,166.000,Toneladas,9271.084337349397590361445783,USD/Toneladas,0.3583161237599212,2.947888,1.013214,16,-3,-31,7,-18
