reporterCd,reporterLabel,partnerCd,partnerLabel,productCd,productLabel,Value (kUSD),Balance (kUSD),Share (%),Share Partner Country (%),,Ranking Partners,Growth Value 5Y (%),Growth Value 2Y (%),Growth Value Partners 5Y (%)
170,Colombia,000,Mundo,TOTAL,Todos los productos,50172751,-20329317,100.0000000000000000,,100,,3,1,3
170,Colombia,842,Estados Unidos de América,TOTAL,Todos los productos,15398935,-958963,30.6918291165656832,0.5299924,13.59729,1,6,3,4
170,Colombia,591,Panamá,TOTAL,Todos los productos,3681560,3650061,7.3377678652701344,1.753596,0.10016,75,5,-14,4
170,Colombia,699,India,TOTAL,Todos los productos,2174394,427789,4.3338145839362087,0.3649601,2.918316,8,8,-19,5
170,Colombia,076,Brasil,TOTAL,Todos los productos,1896398,-1619238,3.7797369333007074,0.6972636,1.087349,26,-3,-2,5
170,Colombia,528,Países Bajos,TOTAL,Todos los productos,1881677,1433331,3.7503963057556880,0.2510306,2.550216,11,8,22,0
170,Colombia,218,Ecuador,TOTAL,Todos los productos,1846681,988769,3.6806452968863517,6.003131,0.1265966,69,1,-4,4
170,Colombia,156,China,TOTAL,Todos los productos,1645086,-17730820,3.2788435300268865,0.1915296,10.00147,2,-14,-31,-1
170,Colombia,124,Canadá,TOTAL,Todos los productos,1640206,640513,3.2691171349165207,0.3457913,2.186447,13,12,147,2
170,Colombia,484,México,TOTAL,Todos los productos,1592668,-1942659,3.1743684933680435,0.2768053,2.573237,10,7,-19,6
170,Colombia,604,Perú,TOTAL,Todos los productos,1563723,456863,3.1166778158128104,3.382478,0.2363685,55,8,34,3
170,Colombia,862,"Venezuela, República Bolivariana de",TOTAL,Todos los productos,1071725,967946,2.1360698359952397,7.631947,0.05445251,101,32,7,16
170,Colombia,152,Chile,TOTAL,Todos los productos,1024439,146503,2.0418234591122978,1.278672,0.3387398,46,-5,-1,-5
170,Colombia,056,Bélgica,TOTAL,Todos los productos,930335,269590,1.8542634825824081,0.09353962,2.081575,14,11,42,-2
170,Colombia,838,Zona franca,TOTAL,Todos los productos,903478,-720620,1.8007344265416102,24.29902,0.01441779,152,13,12,14
170,Colombia,276,Alemania,TOTAL,Todos los productos,869252,-1451654,1.7325181152614095,0.1205888,5.965418,3,1,43,0
170,Colombia,784,Emiratos Árabes Unidos,TOTAL,Todos los productos,864338,793557,1.7227239542834715,0.2283282,1.467891,21,50,68,14
