reporterCd,reporterLabel,partnerCd,partnerLabel,productCd,productLabel,Value (kUSD),Balance (kUSD),Quantity,Quantity Unit,Unit Value,Unit Value Unit,Share (%),Share Partner Country (%),,Ranking Partners,Growth Value 5Y (%),Growth Value 2Y (%),Growth Value Partners 5Y (%),Growth Quantity 5Y (%)
170,Colombia,000,Mundo,060311,"Rosas ""flores y capullos"", cortadas para ramos o adornos, frescas",265,429244,33.000,Toneladas,8030.30303030303030303030303,USD/Toneladas,100.0000000000000000,,100,,39,-26,2,54
170,Colombia,218,Ecuador,060311,"Rosas ""flores y capullos"", cortadas para ramos o adornos, frescas",265,153,33.000,Toneladas,8030.30303030303030303030303,USD/Toneladas,100.0000000000000000,0.07444285,20.65292,2,39,-26,4,54
170,Colombia,031,Azerbaiyán,060311,"Rosas ""flores y capullos"", cortadas para ramos o adornos, frescas",,3,,,,,,,,,,,,
170,Colombia,032,Argentina,060311,"Rosas ""flores y capullos"", cortadas para ramos o adornos, frescas",,475,,,,,,,,,,,,
170,Colombia,036,Australia,060311,"Rosas ""flores y capullos"", cortadas para ramos o adornos, frescas",,1507,,,,,,,0.00003584009,78,,,-38,
170,Colombia,040,Austria,060311,"Rosas ""flores y capullos"", cortadas para ramos o adornos, frescas",,353,,,,,,,0.01676041,29,,,-27,
170,Colombia,044,Bahamas,060311,"Rosas ""flores y capullos"", cortadas para ramos o adornos, frescas",,7,,,,,,,,,,,,
170,Colombia,048,Bahrein,060311,"Rosas ""flores y capullos"", cortadas para ramos o adornos, frescas",,309,,,,,,,,,,,,
170,Colombia,051,Armenia,060311,"Rosas ""flores y capullos"", cortadas para ramos o adornos, frescas",,13,,,,,,,0.7238074,8,,,44,
170,Colombia,056,Bélgica,060311,"Rosas ""flores y capullos"", cortadas para ramos o adornos, frescas",,39,,,,,,,0.4797944,11,,,-25,
170,Colombia,070,Bosnia y Herzegovina,060311,"Rosas ""flores y capullos"", cortadas para ramos o adornos, frescas",,160,,,,,,,,,,,,
170,Colombia,076,Brasil,060311,"Rosas ""flores y capullos"", cortadas para ramos o adornos, frescas",,3321,,,,,,,0.00001461763,83,,,-7,
170,Colombia,112,Belarús,060311,"Rosas ""flores y capullos"", cortadas para ramos o adornos, frescas",,526,,,,,,,,,,,,
170,Colombia,124,Canadá,060311,"Rosas ""flores y capullos"", cortadas para ramos o adornos, frescas",,12121,,,,,,,0.001387598,55,,,-4,
170,Colombia,152,Chile,060311,"Rosas ""flores y capullos"", cortadas para ramos o adornos, frescas",,220,,,,,,,0.00006805549,72,,,-5,
170,Colombia,156,China,060311,"Rosas ""flores y capullos"", cortadas para ramos o adornos, frescas",,40,,,,,,,1.67942,6,,,41,
170,Colombia,188,Costa Rica,060311,"Rosas ""flores y capullos"", cortadas para ramos o adornos, frescas",,204,,,,,,,,,,,,
170,Colombia,191,Croacia,060311,"Rosas ""flores y capullos"", cortadas para ramos o adornos, frescas",,157,,,,,,,0.0004437494,61,,,-40,
170,Colombia,203,República Checa,060311,"Rosas ""flores y capullos"", cortadas para ramos o adornos, frescas",,1539,,,,,,,0.105012,17,,,18,
170,Colombia,214,República Dominicana,060311,"Rosas ""flores y capullos"", cortadas para ramos o adornos, frescas",,514,,,,,,,,,,,,
170,Colombia,233,Estonia,060311,"Rosas ""flores y capullos"", cortadas para ramos o adornos, frescas",,6,,,,,,,,,,,,
170,Colombia,246,Finlandia,060311,"Rosas ""flores y capullos"", cortadas para ramos o adornos, frescas",,72,,,,,,,0.005168375,43,,,25,
170,Colombia,251,Francia,060311,"Rosas ""flores y capullos"", cortadas para ramos o adornos, frescas",,592,,,,,,,0.04467301,24,,,9,
170,Colombia,268,Georgia,060311,"Rosas ""flores y capullos"", cortadas para ramos o adornos, frescas",,79,,,,,,,0.00009397046,69,,,,
170,Colombia,276,Alemania,060311,"Rosas ""flores y capullos"", cortadas para ramos o adornos, frescas",,1,,,,,,,0.5245379,10,,,-3,
170,Colombia,300,Grecia,060311,"Rosas ""flores y capullos"", cortadas para ramos o adornos, frescas",,30,,,,,,,0.004487135,44,,,0,
170,Colombia,320,Guatemala,060311,"Rosas ""flores y capullos"", cortadas para ramos o adornos, frescas",,134,,,,,,,0.6471589,9,,,10,
170,Colombia,328,Guyana,060311,"Rosas ""flores y capullos"", cortadas para ramos o adornos, frescas",,1,,,,,,,,,,,,
170,Colombia,344,"Hong Kong, China",060311,"Rosas ""flores y capullos"", cortadas para ramos o adornos, frescas",,43,,,,,,,0.00008705438,70,,,37,
170,Colombia,348,Hungría,060311,"Rosas ""flores y capullos"", cortadas para ramos o adornos, frescas",,1252,,,,,,,0.01208564,33,,,6,
170,Colombia,360,Indonesia,060311,"Rosas ""flores y capullos"", cortadas para ramos o adornos, frescas",,2,,,,,,,0.003617775,46,,,180,
170,Colombia,372,Irlanda,060311,"Rosas ""flores y capullos"", cortadas para ramos o adornos, frescas",,49,,,,,,,0.06995578,20,,,,
170,Colombia,376,Israel,060311,"Rosas ""flores y capullos"", cortadas para ramos o adornos, frescas",,944,,,,,,,,,,,,
170,Colombia,381,Italia,060311,"Rosas ""flores y capullos"", cortadas para ramos o adornos, frescas",,2113,,,,,,,0.2467246,12,,,42,
170,Colombia,384,Côte d'Ivoire,060311,"Rosas ""flores y capullos"", cortadas para ramos o adornos, frescas",,7,,,,,,,0.00004264647,77,,,-71,
170,Colombia,388,Jamaica,060311,"Rosas ""flores y capullos"", cortadas para ramos o adornos, frescas",,128,,,,,,,,,,,,
170,Colombia,392,Japón,060311,"Rosas ""flores y capullos"", cortadas para ramos o adornos, frescas",,854,,,,,,,0.001770225,54,,,30,
170,Colombia,398,Kazajstán,060311,"Rosas ""flores y capullos"", cortadas para ramos o adornos, frescas",,2930,,,,,,,0.003577189,47,,,-37,
170,Colombia,408,"Corea, República Popular Democrática de",060311,"Rosas ""flores y capullos"", cortadas para ramos o adornos, frescas",,15,,,,,,,,,,,,
170,Colombia,410,"Corea, República de",060311,"Rosas ""flores y capullos"", cortadas para ramos o adornos, frescas",,4496,,,,,,,0.01441165,31,,,-18,
170,Colombia,414,Kuwait,060311,"Rosas ""flores y capullos"", cortadas para ramos o adornos, frescas",,300,,,,,,,,,,,,
170,Colombia,428,Letonia,060311,"Rosas ""flores y capullos"", cortadas para ramos o adornos, frescas",,252,,,,,,,0.04685471,23,,,-12,
170,Colombia,440,Lituania,060311,"Rosas ""flores y capullos"", cortadas para ramos o adornos, frescas",,225,,,,,,,0.006238594,41,,,-49,
170,Colombia,490,Taipei Chino,060311,"Rosas ""flores y capullos"", cortadas para ramos o adornos, frescas",,52,,,,,,,0.0009158454,58,,,75,
170,Colombia,498,"Moldova, República de",060311,"Rosas ""flores y capullos"", cortadas para ramos o adornos, frescas",,96,,,,,,,,,,,,
170,Colombia,499,Montenegro,060311,"Rosas ""flores y capullos"", cortadas para ramos o adornos, frescas",,385,,,,,,,,,,,,
170,Colombia,504,Marruecos,060311,"Rosas ""flores y capullos"", cortadas para ramos o adornos, frescas",,13,,,,,,,0.001857519,52,,,59,
170,Colombia,528,Países Bajos,060311,"Rosas ""flores y capullos"", cortadas para ramos o adornos, frescas",,6474,,,,,,,40.05417,1,,,0,
170,Colombia,531,Curaçao,060311,"Rosas ""flores y capullos"", cortadas para ramos o adornos, frescas",,183,,,,,,,0.0006525726,60,,,133,
170,Colombia,533,Aruba,060311,"Rosas ""flores y capullos"", cortadas para ramos o adornos, frescas",,283,,,,,,,0.00003222842,79,,,,
170,Colombia,554,Nueva Zelandia,060311,"Rosas ""flores y capullos"", cortadas para ramos o adornos, frescas",,796,,,,,,,0.0002474841,64,,,-10,
170,Colombia,558,Nicaragua,060311,"Rosas ""flores y capullos"", cortadas para ramos o adornos, frescas",,1,,,,,,,,,,,,
170,Colombia,579,Noruega,060311,"Rosas ""flores y capullos"", cortadas para ramos o adornos, frescas",,19,,,,,,,0.00002662171,82,,,,
170,Colombia,591,Panamá,060311,"Rosas ""flores y capullos"", cortadas para ramos o adornos, frescas",,2358,,,,,,,,,,,,
170,Colombia,604,Perú,060311,"Rosas ""flores y capullos"", cortadas para ramos o adornos, frescas",,1,,,,,,,0.001016617,57,,,-6,
170,Colombia,616,Polonia,060311,"Rosas ""flores y capullos"", cortadas para ramos o adornos, frescas",,7319,,,,,,,0.1775258,14,,,-1,
170,Colombia,620,Portugal,060311,"Rosas ""flores y capullos"", cortadas para ramos o adornos, frescas",,468,,,,,,,0.1355002,16,,,6,
170,Colombia,634,Qatar,060311,"Rosas ""flores y capullos"", cortadas para ramos o adornos, frescas",,93,,,,,,,,,,,,
170,Colombia,642,Rumania,060311,"Rosas ""flores y capullos"", cortadas para ramos o adornos, frescas",,2555,,,,,,,0.0143827,32,,,120,
170,Colombia,643,"Rusia, Federación de",060311,"Rosas ""flores y capullos"", cortadas para ramos o adornos, frescas",,1064,,,,,,,0.006513344,39,,,12,
170,Colombia,682,Arabia Saudita,060311,"Rosas ""flores y capullos"", cortadas para ramos o adornos, frescas",,32,,,,,,,0.009483566,35,,,268,
170,Colombia,688,Serbia,060311,"Rosas ""flores y capullos"", cortadas para ramos o adornos, frescas",,24,,,,,,,,,,,,
170,Colombia,702,Singapur,060311,"Rosas ""flores y capullos"", cortadas para ramos o adornos, frescas",,11,,,,,,,0.000286524,63,,,-6,
170,Colombia,703,Eslovaquia,060311,"Rosas ""flores y capullos"", cortadas para ramos o adornos, frescas",,1,,,,,,,0.06880725,21,,,69,
170,Colombia,705,Eslovenia,060311,"Rosas ""flores y capullos"", cortadas para ramos o adornos, frescas",,235,,,,,,,,,,,,
170,Colombia,724,España,060311,"Rosas ""flores y capullos"", cortadas para ramos o adornos, frescas",,22287,,,,,,,0.9319519,7,,,34,
