reporterCd,reporterLabel,partnerCd,partnerLabel,productCd,productLabel,Value (kUSD),Balance (kUSD),Share (%),Share Partner Country (%),,Ranking Partners,Growth Value 5Y (%),Growth Value 2Y (%),Growth Value Partners 5Y (%)
170,Colombia,000,Mundo,TOTAL,Todos los productos,70502068,-20329317,100.0000000000000000,,100,,1,10,3
170,Colombia,156,China,TOTAL,Todos los productos,19375906,-17730820,27.4827484493078983,0.4787508,14.74633,1,4,22,2
170,Colombia,842,Estados Unidos de América,TOTAL,Todos los productos,16357898,-958963,23.2020116062411105,0.890272,8.506748,2,2,-2,4
170,Colombia,484,México,TOTAL,Todos los productos,3535327,-1942659,5.0145011349170637,0.4712124,2.600396,10,-4,9,7
170,Colombia,076,Brasil,TOTAL,Todos los productos,3515636,-1619238,4.9865714577336937,0.9847541,1.361542,24,-5,5,5
170,Colombia,276,Alemania,TOTAL,Todos los productos,2320906,-1451654,3.2919686838122252,0.1266933,6.895493,3,1,7,2
170,Colombia,699,India,TOTAL,Todos los productos,1746605,427789,2.4773812308597813,0.3897842,1.743733,18,4,14,2
170,Colombia,392,Japón,TOTAL,Todos los productos,1682540,-1127447,2.3865115559447136,0.1753782,2.884398,5,6,16,-1
170,Colombia,838,Zona franca,TOTAL,Todos los productos,1624098,-720620,2.3036175336019931,30.37252,0.02088044,122,15,47,7
170,Colombia,410,"Corea, República de",TOTAL,Todos los productos,1393201,-573140,1.9761136652048278,0.1953545,2.768248,8,7,41,2
170,Colombia,724,España,TOTAL,Todos los productos,1269458,-460776,1.8005968278831197,0.3041017,1.692126,19,-3,13,2
170,Colombia,704,Viet Nam,TOTAL,Todos los productos,1239899,-1203421,1.7586703981505904,0.1899611,2.548766,11,6,23,11
170,Colombia,381,Italia,TOTAL,Todos los productos,1168720,-451930,1.6577102390812139,0.1442834,2.837884,7,4,7,4
170,Colombia,604,Perú,TOTAL,Todos los productos,1106860,456863,1.5699681319986245,1.253143,0.3517589,42,4,27,12
170,Colombia,124,Canadá,TOTAL,Todos los productos,999693,640513,1.4179626617477377,0.1398221,2.175403,15,-1,-4,2
170,Colombia,032,Argentina,TOTAL,Todos los productos,967838,-665548,1.3727795899547230,1.049793,0.3400255,44,-11,3,1
170,Colombia,251,Francia,TOTAL,Todos los productos,963840,-658329,1.3671088343110730,0.1404506,2.618319,9,-15,-19,3
170,Colombia,152,Chile,TOTAL,Todos los productos,877936,146503,1.2452627630724251,1.067421,0.4348618,39,2,4,4
170,Colombia,218,Ecuador,TOTAL,Todos los productos,857912,988769,1.2168607593184359,2.384917,0.1450743,65,-1,7,7
170,Colombia,056,Bélgica,TOTAL,Todos los productos,660745,269590,0.9371994591704743,0.1771986,2.216953,13,7,24,-1
170,Colombia,757,Suiza,TOTAL,Todos los productos,573474,-214687,0.8134144377155008,0.1260819,2.170068,17,8,23,9
170,Colombia,826,Reino Unido,TOTAL,Todos los productos,555367,58388,0.7877315031383193,0.1433645,2.175165,16,-3,0,3
170,Colombia,780,Trinidad y Tobago,TOTAL,Todos los productos,553867,-499760,0.7856039059733680,3.415662,0.03053761,113,15,124,-6
170,Colombia,764,Tailandia,TOTAL,Todos los productos,522650,-482030,0.7413257721745127,0.09377136,1.319434,26,6,23,5
170,Colombia,528,Países Bajos,TOTAL,Todos los productos,448346,1433331,0.6359331190114877,0.1532296,2.88032,6,-3,-5,0
170,Colombia,372,Irlanda,TOTAL,Todos los productos,440452,-422825,0.6247362843314043,0.04717911,1.137363,28,19,36,9
170,Colombia,068,"Bolivia, Estado Plurinacional de",TOTAL,Todos los productos,408986,-321014,0.5801049694031670,5.94775,0.03788226,107,-7,-8,-6
170,Colombia,360,Indonesia,TOTAL,Todos los productos,388274,-370038,0.5507271077495202,0.1003948,1.104727,29,0,13,3
