reporterCd,reporterLabel,partnerCd,partnerLabel,productCd,productLabel,Value (kUSD),Balance (kUSD),Quantity,Quantity Unit,Unit Value,Unit Value Unit,Share World (%),Growth Value 5Y (%),Growth Value 2Y (%),Growth Quantity 5Y (%)
000,Mundo,000,Mundo,060311,"Rosas ""flores y capullos"", cortadas para ramos o adornos, frescas",3830991,-407602,0.000,No medida,,,100,2,9,
528,Países Bajos,000,Mundo,060311,"Rosas ""flores y capullos"", cortadas para ramos o adornos, frescas",1534472,807614,422364.000,Toneladas,3633.0558475627657660217253364,USD/Toneladas,40.05417,0,13,19
218,Ecuador,000,Mundo,060311,"Rosas ""flores y capullos"", cortadas para ramos o adornos, frescas",791211,791211,145227.000,Toneladas,5448.0984940816790266272800512,USD/Toneladas,20.65292,4,3,3
404,Kenya,000,Mundo,060311,"Rosas ""flores y capullos"", cortadas para ramos o adornos, frescas",552168,552166,126990.000,Toneladas,4348.1218993621545003543586109,USD/Toneladas,14.41319,1,8,-2
170,Colombia,000,Mundo,060311,"Rosas ""flores y capullos"", cortadas para ramos o adornos, frescas",429509,429244,61015.000,Toneladas,7039.400147504711956076374662,USD/Toneladas,11.21143,4,1,-1
231,Etiopía,000,Mundo,060311,"Rosas ""flores y capullos"", cortadas para ramos o adornos, frescas",265016,265003,0.000,No medida,,,6.917695,2,5,
156,China,000,Mundo,060311,"Rosas ""flores y capullos"", cortadas para ramos o adornos, frescas",64338,60891,18258.000,Toneladas,3523.8251725271114032205060795,USD/Toneladas,1.67942,41,148,53
724,España,000,Mundo,060311,"Rosas ""flores y capullos"", cortadas para ramos o adornos, frescas",35703,-43622,3501.000,Toneladas,10197.943444730077120822622108,USD/Toneladas,0.9319519,34,130,-4
051,Armenia,000,Mundo,060311,"Rosas ""flores y capullos"", cortadas para ramos o adornos, frescas",27729,27352,6473.000,Toneladas,4283.7942221535609454657809362,USD/Toneladas,0.7238074,44,6,39
320,Guatemala,000,Mundo,060311,"Rosas ""flores y capullos"", cortadas para ramos o adornos, frescas",24793,24686,10438.000,Toneladas,2375.2634604330331481126652615,USD/Toneladas,0.6471589,10,14,3
276,Alemania,000,Mundo,060311,"Rosas ""flores y capullos"", cortadas para ramos o adornos, frescas",20095,-390990,2049.000,Toneladas,9807.223035627135187896534895,USD/Toneladas,0.5245379,-3,9,-5
056,Bélgica,000,Mundo,060311,"Rosas ""flores y capullos"", cortadas para ramos o adornos, frescas",18381,-12258,2160.000,Toneladas,8509.722222222222222222222222,USD/Toneladas,0.4797944,-25,24,-35
381,Italia,000,Mundo,060311,"Rosas ""flores y capullos"", cortadas para ramos o adornos, frescas",9452,-113287,251.000,Toneladas,37657.370517928286852589641434,USD/Toneladas,0.2467246,42,18,18
842,Estados Unidos de América,000,Mundo,060311,"Rosas ""flores y capullos"", cortadas para ramos o adornos, frescas",8205,-1239370,15388395.000,Unidad,0.5331940075621921584414748907,USD/Unidad,0.2141789,-1,-2,-5
616,Polonia,000,Mundo,060311,"Rosas ""flores y capullos"", cortadas para ramos o adornos, frescas",6801,-99282,730.000,Toneladas,9316.438356164383561643835616,USD/Toneladas,0.1775258,-1,13,-7
699,India,000,Mundo,060311,"Rosas ""flores y capullos"", cortadas para ramos o adornos, frescas",6060,6050,1215.000,Toneladas,4987.654320987654320987654321,USD/Toneladas,0.1581949,7,3,3
620,Portugal,000,Mundo,060311,"Rosas ""flores y capullos"", cortadas para ramos o adornos, frescas",5191,-16345,513.000,Toneladas,10118.908382066276803118908382,USD/Toneladas,0.1355002,6,3,8
203,República Checa,000,Mundo,060311,"Rosas ""flores y capullos"", cortadas para ramos o adornos, frescas",4023,-38923,1076.000,Toneladas,3738.8475836431226765799256506,USD/Toneladas,0.105012,18,-22,32
800,Uganda,000,Mundo,060311,"Rosas ""flores y capullos"", cortadas para ramos o adornos, frescas",3859,3821,532.000,Toneladas,7253.7593984962406015037593985,USD/Toneladas,0.1007294,-2,2,-7
208,Dinamarca,000,Mundo,060311,"Rosas ""flores y capullos"", cortadas para ramos o adornos, frescas",2692,-19073,134.000,Toneladas,20089.552238805970149253731343,USD/Toneladas,0.07026902,108,462,62
372,Irlanda,000,Mundo,060311,"Rosas ""flores y capullos"", cortadas para ramos o adornos, frescas",2680,-20924,109.000,Toneladas,24587.155963302752293577981651,USD/Toneladas,0.06995578,,-7,102
703,Eslovaquia,000,Mundo,060311,"Rosas ""flores y capullos"", cortadas para ramos o adornos, frescas",2636,-15894,361.000,Toneladas,7301.9390581717451523545706371,USD/Toneladas,0.06880725,69,273,45
710,Sudáfrica,000,Mundo,060311,"Rosas ""flores y capullos"", cortadas para ramos o adornos, frescas",2241,-1490,294.000,Toneladas,7622.448979591836734693877551,USD/Toneladas,0.05849259,1,-33,-6
428,Letonia,000,Mundo,060311,"Rosas ""flores y capullos"", cortadas para ramos o adornos, frescas",1795,-10225,230.000,Toneladas,7804.3478260869565217391304348,USD/Toneladas,0.04685471,-12,23,-11
251,Francia,000,Mundo,060311,"Rosas ""flores y capullos"", cortadas para ramos o adornos, frescas",1711,-128519,160.000,Toneladas,10693.75,USD/Toneladas,0.04467301,9,-5,11
894,Zambia,000,Mundo,060311,"Rosas ""flores y capullos"", cortadas para ramos o adornos, frescas",870,853,132.000,Toneladas,6590.9090909090909090909090909,USD/Toneladas,0.02271643,-54,280,-59
364,"Irán, República Islámica del",000,Mundo,060311,"Rosas ""flores y capullos"", cortadas para ramos o adornos, frescas",791,752,0.000,No medida,,,0.02064267,192,342,
704,Viet Nam,000,Mundo,060311,"Rosas ""flores y capullos"", cortadas para ramos o adornos, frescas",706,-6939,116.000,Toneladas,6086.2068965517241379310344828,USD/Toneladas,0.01843309,33,27,64
764,Tailandia,000,Mundo,060311,"Rosas ""flores y capullos"", cortadas para ramos o adornos, frescas",671,-4090,384.000,Toneladas,1747.3958333333333333333333333,USD/Toneladas,0.01752196,40,-30,1
040,Austria,000,Mundo,060311,"Rosas ""flores y capullos"", cortadas para ramos o adornos, frescas",642,-33828,17.000,Toneladas,37764.705882352941176470588235,USD/Toneladas,0.01676041,-27,-26,-22
586,Pakistán,000,Mundo,060311,"Rosas ""flores y capullos"", cortadas para ramos o adornos, frescas",593,-39,380.000,Toneladas,1560.5263157894736842105263158,USD/Toneladas,0.01547799,73,14,58
