"Data Source","World Development Indicators",

"Last Updated Date","2026-07-13",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024","2025",
"Aruba","ABW","Exports of goods and services (current US$)","NE.EXP.GNFS.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1121229050.27933","1195530726.25698","1264245810.05587","1326256983.24022","1377094972.06704","1393586592.17877","1346423463.68715","1266650837.98883","1282296089.38547","1458098882.68156","1606588826.81564","1595335195.53073","1742107262.56983","1863013966.48045","1606810055.86592","1477511731.84358","1839933519.55307","1911810055.86592","2007054189.94413","2105825139.6648","2083567039.10615","2057715083.79888","2153472067.03911","2241202793.29609","2232926815.64246","1324110614.52514","1945182681.56425","2686048044.69274","2991972067.03911","3582826085.68774","",
"Africa Eastern and Southern","AFE","Exports of goods and services (current US$)","NE.EXP.GNFS.CD","","","","","","","","","","","","","","","","","","","","","49797909790.7115","42108201748.6408","36514213141.2386","37304413318.5506","35236710564.7038","32854613108.4808","37443577989.7979","46789132614.4797","49121864639.5712","48590052934.6195","52052144655.7193","51061622853.6077","51759755158.469","54341243380.6136","57544301256.6211","66415070458.8984","69456112811.1728","70578269082.2962","66671926680.677","65626456893.6072","73327374545.5193","70971013586.3296","74276552196.1671","90759572969.5345","113757831653.023","143006090600.152","171735352363.715","213106295980.485","253790789054.302","195633638534.811","250610209478.39","297305727419.69","285619929358.998","282692821534.404","277071072356.844","217545102289.599","197213708107.097","233010739617.521","258933955173.15","244123356176.254","208274988470.384","286371016984.617","331550256662.314","308463685063.397","319674188232.428","347371312400.777",
"Afghanistan","AFG","Exports of goods and services (current US$)","NE.EXP.GNFS.CD","22222233.3333333","24444455.5555556","26666680","68888922.2222222","71111144.4444444","113333340","120000000","113333340","122222228.888889","142222222.222222","171111104.444444","199999988.888889","235555544.444444","224444437.777778","302222222.222222","300000006.666667","337777777.777778","344444451.111111","357777771.111111","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2079570874.83738","2045190335.08092","2664599570.76697","2784713052.31082","2791715131.02282","",
"Africa Western and Central","AFW","Exports of goods and services (current US$)","NE.EXP.GNFS.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Angola","AGO","Exports of goods and services (current US$)","NE.EXP.GNFS.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","8568772528.46512","9675623585.7344","13780895593.001","24309456975.8385","33346563890.4464","44706822241.0818","64243944323.747","41587432936.6516","51492639142.5909","67949213242.1708","71825305615.9001","67326138852.6585","56798432760.2421","26813916785.7297","14765476550.511","21480034960.3071","32444713522.9617","30001180996.3226","18583150428.118","31385829560.7359","46181518625.9944","34643370052.2038","31830777324.7249","28073040732.7773",
"Albania","ALB","Exports of goods and services (current US$)","NE.EXP.GNFS.CD","","","","","","","","","","","","","","","","","","","","","378073684.210526","430536142.191142","373589755.244755","354685314.685315","335069930.06993","319090897.435897","327312512.5","333550012.5","348287487.5","418924987.5","312500000","82300000","81519209.6758071","189399541.45744","225407402.421557","356444754.173521","371808882.957132","230303548.05726","291949980.81503","540977918.899348","700083432.864841","836717868.578588","910729673.560494","1169850275.75683","1596261949.37986","1853023798.25729","2242665599.57462","3016116393.24477","3259293797.96584","3040047669.92651","3337086751.10777","3769456501.7368","3565050489.31975","3694413300.33386","3732057495.25976","3104897798.78826","3437126544.898","4110301305.54485","4785182304.44356","4821429218.47484","3435540416.01473","5613909458.07573","7073859741.47037","9025058562.27334","9810511991.66164","11304181754.173",
"Andorra","AND","Exports of goods and services (current US$)","NE.EXP.GNFS.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Arab World","ARB","Exports of goods and services (current US$)","NE.EXP.GNFS.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","282332720509.055","292705414731.765","352718656308.86","467937024707.092","629721696156.938","771864229751.533","897619672778.6","1197963287025.82","841128338441.663","1046150699664.28","1355742922334.62","1523362862851.28","1506817475634.91","1421045140984.56","1035509272286.29","948507106263.179","1086646434836.1","1293680754339","1245142173332.7","929568573752.049","1278077127514.27","1788243825591.22","1694145367306.17","","",
"United Arab Emirates","ARE","Exports of goods and services (current US$)","NE.EXP.GNFS.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","50787202178.3526","54362695711.3683","69538461538.4615","93968596324.03","122070878148.4","152433690946.222","186690265486.726","248808168822.328","201958883594.282","238328114363.513","315867937372.362","375513955071.477","392244520081.688","402728114363.513","358529611980.939","360626276378.489","382137508509.19","400217835262.083","404863172226.004","350277467665.078","425155888359.428","521897345132.743","558401633764.466","","",
"Argentina","ARG","Exports of goods and services (current US$)","NE.EXP.GNFS.CD","1206418458.20125","1206915940.34785","860375634.171457","1441753549.59206","1424603255.4971","1764705803.20912","1904761830.17968","1818181857.73576","1714285705.23432","2000000041.3448","1769210602.71535","2000000003.29714","2500000047.48951","4000000136.32269","4999999839.57003","3054054017.48759","4695000304.43367","5459999880.58299","7665724159.60188","4508960596.80231","3895791554.63367","5445263189.73462","7663966255.62989","9515669466.75192","8873730058.64697","10345475059.3627","8641279278.3558","8566904947.15056","12094686105.3258","10006623327.0204","14643479947.2507","14561091033.0362","15095261860.4905","16357317317.3173","19385100000","24978532000","28381400000","30928400000","31137200000","27862300000","31223690400","31112418400","27736610298.2555","33084505277.8061","39266996605.7973","46198180131.0044","53550250227.3909","65162321195.025","79762958392.3012","65133480388.4946","80208867995.7171","97809980730.5834","88655850853.7721","80690471898.442","75818867911.0825","63671789068.8987","69842604407.3878","72860557902.7631","75766598613.0197","80259482469.139","64053810078.3073","87906118244.6601","103224756800.251","83276004574.7551","97349127043.1651","106260393150.75",
