"Data Source","World Development Indicators",

"Last Updated Date","2026-07-13",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024","2025",
"Aruba","ABW","Imports of goods and services (current US$)","NE.IMP.GNFS.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1141899441.34078","1224022346.36872","1321229050.27933","1392737430.1676","1458100558.65922","1324284916.20112","1316033519.55307","1347128491.62011","1432167597.76536","1527994413.40782","1816622905.02793","1888111173.18436","2005849162.01117","2091921787.7095","1906100558.65922","1846245251.39665","2233917877.09497","2184788268.15642","2241077262.56983","2261604972.06704","2079109510.00342","2026504541.77338","2136239440.44522","2306963885.12904","2384139106.14525","1708907262.56983","2085712849.16201","2655193575.41899","2767229050.27933","3257796508.27775","",
"Africa Eastern and Southern","AFE","Imports of goods and services (current US$)","NE.IMP.GNFS.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","50359937757.4035","53902938195.8616","50783690013.6723","50872112250.7823","58513000459.0534","70730905893.9296","72233716907.8412","75119059664.6336","73072512456.6717","68145486758.6223","74169932140.1703","69254113027.6454","73961970666.3029","93151797787.1797","119125838358.687","145029081965.555","170560518499.638","211207595357.584","256592964082.078","223095543749.305","254631243703.927","303936623323.326","316228757269.92","330746015057.737","329341291571.119","279473018282.117","238807872282.256","268371072162.541","290268625051.025","277427589479.377","227997296965.388","292603019781.952","361468323132.864","347882201063.04","354547513395.276","377518564540.551",
"Afghanistan","AFG","Imports of goods and services (current US$)","NE.IMP.GNFS.CD","37777780","44444446.6666667","51111111.1111111","126666717.777778","144444451.111111","215555548.888889","259999993.333333","237777784.444444","208888900","211111117.777778","208888900","295555548.888889","288888877.777778","255555562.222222","320000000","337777777.777778","380000006.666667","437777795.555556","457777788.888889","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","7241822542.17594","5286118076.13403","7901784705.74946","8707211782.63078","12100101718.794","",
"Africa Western and Central","AFW","Imports of goods and services (current US$)","NE.IMP.GNFS.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Angola","AGO","Imports of goods and services (current US$)","NE.IMP.GNFS.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","7110406405.83216","8770763872.87985","10621507094.6353","15158700248.5637","16288863668.3981","26304660776.6473","43121902047.7213","41966880322.5971","35449385342.9362","43838125871.4161","45817586149.1953","47805328237.6991","49972198759.1853","29563627046.5622","13386621550.1005","17050137820.6159","20293074053.6883","19016585500.4001","13399763093.6897","17564145355.4807","26319489922.7719","22202765694.5583","19553789239.4508","14256453828.8266",
"Albania","ALB","Imports of goods and services (current US$)","NE.IMP.GNFS.CD","","","","","","","","","","","","","","","","","","","","","371431589.473684","403041958.041958","460407913.752914","405606072.261072","372867132.867133","362610722.610723","336224987.5","335624987.5","408575012.5","483800000","487500000","314316659.722222","627952433.94529","764996711.818738","773426124.188629","809621698.535559","1064684091.41503","795639002.04499","933614569.330511","1097558438.08834","1508343757.29126","1771127114.7153","2068787029.4532","2591005999.50156","3220867773.24765","3853672281.63853","4364190390.71407","5867639979.53994","6717539640.57092","6004538202.0617","5792187320.18798","6700234560.7276","5860879317.95047","5999382665.71175","6243003573.18923","5070977325.18894","5436220772.90211","6070375896.83265","6856194783.87124","6926959712.72243","5636282433.50207","8016544325.73416","9033376424.81865","10320565554.1756","11672014788.1734","12985289569.4685",
"Andorra","AND","Imports of goods and services (current US$)","NE.IMP.GNFS.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Arab World","ARB","Imports of goods and services (current US$)","NE.IMP.GNFS.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","174243917721.011","178388998709.782","177029637853.102","177446592004.69","164366687952.812","177635560949.068","182986004514.765","195984785093.946","200232429779.888","208438270310.896","228407774707.227","229165596826.174","236532605920.212","270242761542.746","346716588582.452","424793413550.005","503966738159.106","659361431633.493","851641682396.629","764643910715.411","793732839359.778","906006399703.857","1009651249619.94","1066746366647.97","1123348330521.86","1045511815538.91","966827291376.332","1012917656584.09","1063191916830.36","1104492809524.84","961100187997.725","1102853728401.97","1349476383879.31","1464033937292.22","1600377657965.63","",
"United Arab Emirates","ARE","Imports of goods and services (current US$)","NE.IMP.GNFS.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","42053369639.2104","47845064669.8434","57668073519.401","78428046289.9932","93862491490.8101","112930428863.172","166134240980.259","219714363512.594","187139823008.85","178610755616.065","215973042886.317","239748672566.372","252509462219.197","275110959836.624","268999319264.806","270714771953.71","285336963921.035","281535738597.685","306004084411.164","297228046289.993","347528931245.745","427991831177.672","481851599727.706","","",
"Argentina","ARG","Imports of goods and services (current US$)","NE.IMP.GNFS.CD","1206418120.40417","1206915602.41147","1720750786.53268","1441753153.10994","1424602863.7313","1176470539.39431","1428571371.44429","1212121237.48041","1428571474.83812","2000000041.3448","1495789482.224","2199999958.62685","2374999979.49003","3000000101.96424","4555555489.85516","3135135020.645","3030000057.09425","4159999872.68227","5089538171.53895","4383512570.52097","4989980079.95196","5800000170.81341","5497685333.13496","6068376037.18012","5561048222.66032","5529993735.55397","6695427336.30366","8243255952.41335","7882225528.11663","5041767786.39482","6546497152.31476","11531201153.6445","18606116033.8447","22049649649.6497","27299960000","26038017000","30148400000","37413700000","38667300000","32762700000","33070146000","27603881800","13065823829.1753","18772898618.6064","27736672323.6712","34392237786.5721","40480743015.8524","52567536062.3157","66316154417.0834","48268743529.5373","67937933972.3653","88838309449.3132","78013690406.706","81240190816.9153","73691675720.0984","70064879911.7042","75639254067.6608","89910495566.9384","85681309473.2328","65845624691.108","52454091268.1886","73042905138.0607","96991607940.8038","89980573297.99","80944817978.281","101159779350.506",
"Armenia","ARM","Imports of goods and services (current US$)","NE.IMP.GNFS.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1045666606.85448","1244415584.41558","779688141.15716","729847643.457212","961398392.548806","913101627.206","894135832.286736","955405625.76437","1000634291.3776","919091316.86166","957156466.972861","968529888.660685","1096735501.87495","1391414378.76877","1605180991.65807","2098701566.40541","2482540336.16978","3570727480.48145","4697073302.10145","3684309605.1493","4157364605.55245","4757906586.64803","5139736819.01236","5471934333.89364","5481836306.66345","4427830382.31678","4464568367.68073","5646879065.80608","6612701455.26012","7570200592.04305","5062331396.33162","6048430236.02041","10207068193.8164","15094573226.6612","19840049652.433","15676547634.4281",
"American Samoa","ASM","Imports of goods and services (current US$)","NE.IMP.GNFS.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","562000000","574000000","570000000","618000000","638000000","625000000","758000000","559000000","541000000","563000000","646000000","651000000","695000000","665000000","639000000","626000000","662000000","614000000","686000000","694000000","677000000","","","",
"Antigua and Barbuda","ATG","Imports of goods and services (current US$)","NE.IMP.GNFS.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","924222222.222222","853392592.592592","923581481.481481","970770370.37037","1132907407.40741","1180425925.92593","739748148.148148","866970370.37037","1175559259.25926","","","",
