"Go to...","",""
"Sub-products Exporting economies","Importer","Value exported (k$)","Trade balance (k$)","Quantity exported","Unit value","Share in Colombia's exports (%)","Share of Colombia in partners' imports (%)","Share of importer in world's imports (%)","Ranking of importer in world's imports","Annual growth in export (2021-2025) (%)","Annual growth in export (2024-2025) (%)","Annual growth of partner’s total imports (2021-2025) (%)","Annual growth in quantity (2021-2025)","Average distance of each partner's imports (km)","Each partner's import market concentration"
"","World","337,430","337,357","53,065Tons","6,358.81$ / Tons","100","n/a","100","n/a","7","4","3","2","n/a","n/a"
"","United States of America","137,682","137,682","22,818Tons","6,033.92$ / Tons","40.8","98.59","26.44","1","8","3","8","1","4,108","0.97"
"","Japan","43,038","43,038","6,702Tons","6,421.67$ / Tons","12.75","70.14","12.37","3","-1","3","-2","-4","11,598","0.54"
"","Netherlands","41,415","41,415","6,135Tons","6,750.61$ / Tons","12.27","47.94","14.88","2","11","6","-1","3","6,046","0.32"
"","Spain","22,736","22,736","3,544Tons","6,415.35$ / Tons","6.74","95.77","4.01","7","18","28","17","14","7,876","0.92"
"","Poland","20,277","20,277","3,286Tons","6,170.72$ / Tons","6.01","49.18","8.08","4","9","11","15","4","5,443","0.43"
"","Canada","12,426","12,426","1,982Tons","6,269.42$ / Tons","3.68","97.88","2.47","9","2","-1","4","-2","4,733","0.96"
"","Korea, Republic of","10,413","10,413","1,576Tons","6,607.23$ / Tons","3.09","86.65","2.5","8","21","1","15","17","12,912","0.77"
"","United Kingdom","9,607","9,607","1,387Tons","6,926.46$ / Tons","2.85","25","6.66","5","3","-5","-4","-3","4,861","0.27"
"","Kazakhstan","8,026","8,026","1,118Tons","7,178.89$ / Tons","2.38","26.32","0.21","29","122","-10","18","111","8,135","0.33"
"","United Arab Emirates","5,592","5,592","825Tons","6,778.18$ / Tons","1.66","80.05","0.9","15","55","18","48","48","12,053","0.66"
"","Russian Federation","3,320","3,320","461Tons","7,201.74$ / Tons","0.98","26.82","1.6","11","-26","-23","-13","-29","5,712","0.25"
"","Italy","2,385","2,385","313Tons","7,619.81$ / Tons","0.71","1.57","0.82","16","14","8","5","5","1,221","0.97"
"","Czech Republic","1,901","1,901","309Tons","6,152.1$ / Tons","0.56","25.26","0.72","18","1","-13","-7","-3","3,857","0.43"
"","Finland","1,617","1,617","195Tons","8,292.31$ / Tons","0.48","12.18","1.08","13","9","-8","-1","-4","3,926","0.4"
"","Israel","1,551","1,551","144Tons","10,770.83$ / Tons","0.46","n/a","n/a","n/a","26","-5","n/a","5","n/a","n/a"
"","Hungary","1,520","1,520","214Tons","7,102.8$ / Tons","0.45","n/a","0.19","33","12","22","11","3","1,269","0.55"
"","Panama","1,355","1,355","190Tons","7,131.58$ / Tons","0.4","97.67","0.11","44","24","21","18","18","713","0.95"
"","Germany","1,250","1,250","200Tons","6,250$ / Tons","0.37","9.29","5.34","6","-3","-9","-3","-7","1,496","0.57"
"","Chinese Taipei","1,103","1,103","174Tons","6,339.08$ / Tons","0.33","67.69","0.15","39","13","3","17","8","11,764","0.52"
"","China","1,046","1,046","160Tons","6,537.5$ / Tons","0.31","50","0","98","49","76","-62","47","12,056","0.34"
"","Australia","838","838","113Tons","7,415.93$ / Tons","0.25","36.36","0.34","24","-2","-5","-20","-9","12,325","0.28"
"","Estonia","724","724","120Tons","6,033.33$ / Tons","0.21","45.71","0.17","37","96","43","25","94","7,710","0.34"
"","France","709","709","127Tons","5,582.68$ / Tons","0.21","12.39","1.84","10","5","32","2","4","2,092","0.38"
"","Moldova, Republic of","708","708","100Tons","7,080$ / Tons","0.21","39.62","0.14","41","320","9","26","181","8,264","0.3"
"","Ecuador","570","505","61Tons","9,344.26$ / Tons","0.17","n/a","n/a","n/a","2","-33","n/a","-9","n/a","n/a"
"","Ukraine","570","570","115Tons","4,956.52$ / Tons","0.17","27.94","0.26","28","-21","-13","-6","-22","6,965","0.23"
"","Austria","460","460","71Tons","6,478.87$ / Tons","0.14","n/a","0.34","23","2","1","6","-2","834","0.87"
"","Belarus","381","381","41Tons","9,292.68$ / Tons","0.11","43.79","0.11","43","-19","25","-32","-19","7,237","0.27"
"","Hong Kong, China","353","353","33Tons","10,696.97$ / Tons","0.1","29.27","0.01","81","80","34","-16","65","11,056","0.52"
"","Sweden","341","341","39Tons","8,743.59$ / Tons","0.1","9.04","0.49","19","0","-15","-4","-11","1,040","0.88"
"","Kuwait","309","309","28Tons","11,035.71$ / Tons","0.09","72.37","0.06","50","9","50","9","2","11,270","0.55"
"","Uzbekistan","274","274","39Tons","7,025.64$ / Tons","0.08","90.73","0.04","57","n/a","8,217","67","144","13,227","0.83"
"","Norway","254","254","38Tons","6,684.21$ / Tons","0.08","39.64","0.98","14","-18","-63","8","-12","6,518","0.27"
"","Bulgaria","244","244","56Tons","4,357.14$ / Tons","0.07","n/a","0.15","38","61","181","-11","12","621","0.83"
"","Switzerland","212","212","39Tons","5,435.9$ / Tons","0.06","1.96","0.75","17","1","-17","4","-5","1,132","0.61"
"","Dominican Republic","210","210","33Tons","6,363.64$ / Tons","0.06","n/a","n/a","n/a","12","19","n/a","16","n/a","n/a"
"","Latvia","166","166","13Tons","12,769.23$ / Tons","0.05","n/a","0.11","45","11","27","-5","-10","866","0.5"
"","Türkiye","157","157","20Tons","7,850$ / Tons","0.05","n/a","0","95","n/a","-74","37","10","1,037","0.72"
"","Kyrgyzstan","139","139","17Tons","8,176.47$ / Tons","0.04","7.54","0.1","46","133","-49","157","92","8,752","0.4"
"","Argentina","119","119","12Tons","9,916.67$ / Tons","0.04","81.19","0.01","70","50","2,043","29","86","4,458","0.69"
"","Portugal","114","114","22Tons","5,181.82$ / Tons","0.03","n/a","0.3","26","n/a","211","32","n/a","661","0.86"
"","Ireland","105","105","25Tons","4,200$ / Tons","0.03","2.56","0.31","25","-23","68","-14","-15","1,015","0.63"
"","Mauritius","105","105","16Tons","6,562.5$ / Tons","0.03","n/a","0.04","61","n/a","n/a","61","n/a","3,044","1"
"","Curaçao","104","104","15Tons","6,933.33$ / Tons","0.03","100","0.01","68","6","4","6","1","n/a","1"
"","Trinidad and Tobago","98","98","13Tons","7,538.46$ / Tons","0.03","86.67","0.01","76","10","31","0","8","1,840","0.76"
"","Jamaica","95","95","15Tons","6,333.33$ / Tons","0.03","43.07","0.02","65","6","-8","7","2","2,256","0.32"
"","Serbia","94","94","10Tons","9,400$ / Tons","0.03","23.12","0.05","51","n/a","794","6","n/a","3,243","0.24"
"","Singapore","85","85","10Tons","8,500$ / Tons","0.03","37.69","0.04","54","-8","-33","2","-21","9,222","0.29"
"","Chile","76","76","12Tons","6,333.33$ / Tons","0.02","11.5","0.21","30","-38","23","13","-38","3,647","0.8"
"","Viet Nam","60","60","9Tons","6,666.67$ / Tons","0.02","2.04","0.38","22","25","-30","56","18","2,683","0.96"
"","Romania","53","53","9Tons","5,888.89$ / Tons","0.02","n/a","0.44","20","-3","21","4","-7","1,234","0.44"
"","Azerbaijan","41","41","7Tons","5,857.14$ / Tons","0.01","6.77","0.02","64","n/a","-65","-6","n/a","3,046","0.6"
"","Armenia","40","40","4Tons","10,000$ / Tons","0.01","2.04","0.01","80","n/a","-58","17","25","1,188","0.38"
"","Saudi Arabia","40","40","4Tons","10,000$ / Tons","0.01","n/a","0.04","55","136","1,045","34","n/a","6,194","0.5"
"","Belgium","39","39","3Tons","13,000$ / Tons","0.01","n/a","0.27","27","n/a","158","-2","n/a","168","0.87"
"","Aruba","39","39","4Tons","9,750$ / Tons","0.01","100","0.01","83","0","2","0","-6","861","1"
"","Slovakia","38","38","6Tons","6,333.33$ / Tons","0.01","13.4","0.18","36","25","21","-2","5","2,385","0.22"
"","Brazil","32","32","7Tons","4,571.43$ / Tons","0.01","100","0.01","79","137","30","157","n/a","4,158","1"
"","Indonesia","25","25","4Tons","6,250$ / Tons","0.01","n/a","0","88","12","-33","21","8","4,562","1"
"","Croatia","24","24","4Tons","6,000$ / Tons","0.01","n/a","0.18","35","-5","53","29","-7","1,102","0.98"
"","Georgia","21","21","2Tons","10,500$ / Tons","0.01","n/a","0.09","47","n/a","-82","54","-57","2,483","0.67"
"","Bahrain","18","18","3Tons","6,000$ / Tons","0.01","52.94","0","84","-10","-19","-2","-16","8,676","0.43"
"","Qatar","17","17","2Tons","8,500$ / Tons","0.01","4.68","0.05","52","59","-23","26","3","6,990","0.29"
"","Bosnia and Herzegovina","15","15","2Tons","7,500$ / Tons","0","14.64","0.07","48","62","-22","26","7","2,788","0.31"
"","Slovenia","14","14","3Tons","4,666.67$ / Tons","0","18.04","0.18","34","108","-32","4","52","3,172","0.51"
"","Andorra","11","11","2Tons","5,500$ / Tons","0","100","0","96","n/a","36","n/a","n/a","8,452","1"
"","Costa Rica","11","11","2Tons","5,500$ / Tons","0","100","0","102","-47","-25","n/a","-47","1,143","1"
"","Oman","4","4","1Tons","4,000$ / Tons","0","1.35","0.04","59","n/a","n/a","57","n/a","4,064","0.49"
"","Suriname","4","4","0Tons","n/a","0","100","0","106","n/a","128","-62","n/a","2,192","1"
"","United States Minor Outlying Islands","4","4","0Tons","n/a","0","23.53","0","91","-24","-14","5","n/a","n/a","0.64"
"","British Virgin Islands","3","3","0Tons","n/a","0","100","0","115","-53","-31","-52","n/a","1,760","1"
"","Kenya","1","1","0Tons","n/a","0","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a"
"","Malaysia","1","1","0Tons","n/a","0","n/a","0.2","31","-25","n/a","42","n/a","2,813","0.54"
"","New Zealand","1","1","0Tons","n/a","0","n/a","0","100","n/a","n/a","23","n/a","9,107","0.76"
"","Uruguay","1","1","0Tons","n/a","0","0.33","0.04","58","-64","n/a","15","n/a","4,358","0.99"
"","Colombia","n/a","-8","n/a","n/a","n/a","10.96","0.01","73","n/a","n/a","53","n/a","878","0.8"
