anio,pais_destino,valor_fob_usd,peso_neto_kg,registros,ue,precio_usd_kg,part_pct_anio
2020,ESTADOS UNIDOS,83904492.75,19851701.95,12334,False,4.2266,41.0677
2020,JAPÓN,41318703.85,7267866.96,3478,False,5.6851,20.2238
2020,PAÍSES BAJOS,20594272.97,4081730.72,2483,True,5.0455,10.08
2020,ESPAÑA,9103198.92,1581565.9,1772,True,5.7558,4.4556
2020,POLONIA,9000121.25,1850563.59,1151,True,4.8634,4.4052
2020,RUSIA,7577942.86,1447935.04,2871,False,5.2336,3.7091
2020,CANADÁ,7413453.72,1456849.61,2695,False,5.0887,3.6286
2020,REINO UNIDO,7280078.12,1256778.87,1516,True,5.7926,3.5633
2020,COREA DEL SUR,3360447.69,621262.99,549,False,5.4091,1.6448
2020,REPÚBLICA CHECA,1540884.85,286604.89,352,True,5.3763,0.7542
2020,ALEMANIA,1216225.24,229649.93,436,True,5.296,0.5953
2020,UCRANIA,1193905.18,292031.0,128,False,4.0883,0.5844
2020,AUSTRALIA,1026324.91,191769.25,348,False,5.3519,0.5023
2020,FINLANDIA,1015994.9,97439.5,47,True,10.4269,0.4973
2020,ITALIA,960505.38,142774.7,190,True,6.7274,0.4701
2020,PANAMÁ,849502.24,163691.4,324,False,5.1897,0.4158
2020,NORUEGA,762311.93,76579.0,63,False,9.9546,0.3731
2020,LITUANIA,660318.42,133508.0,203,True,4.9459,0.3232
2020,TAIWÁN,640221.94,126783.0,112,False,5.0497,0.3134
2020,ISRAEL,586019.06,80916.0,126,False,7.2423,0.2868
2020,HUNGRÍA,523629.22,102116.0,68,True,5.1278,0.2563
2020,SUECIA,399814.57,64693.02,117,True,6.1802,0.1957
2020,AUSTRIA,332995.8,55731.0,46,True,5.9751,0.163
2020,BIELORRUSIA (BELARÚS),270552.72,66329.1,165,False,4.0789,0.1324
2020,FRANCIA,265646.42,60530.5,119,True,4.3886,0.13
2020,ISLAS VÍRGENES BRITÁNICAS,255806.52,55359.0,64,False,4.6209,0.1252
2020,EMIRATOS ÁRABES UNIDOS,252689.58,44866.8,120,False,5.632,0.1237
2020,ECUADOR,206075.59,44868.0,74,False,4.5929,0.1009
2020,PUERTO RICO,195959.54,29745.74,274,False,6.5878,0.0959
2020,CHINA,182592.88,31811.82,257,False,5.7398,0.0894
2020,KAZAJSTÁN,168479.8,30334.83,170,False,5.554,0.0825
2020,SUIZA,135339.75,31754.97,56,False,4.262,0.0662
2020,KUWAIT,94820.39,15911.07,75,False,5.9594,0.0464
2020,LETONIA,87469.31,14126.5,65,True,6.1919,0.0428
2020,IRLANDA,85818.12,35233.6,34,True,2.4357,0.042
2020,CURAZAO,81826.73,17277.55,124,False,4.736,0.0401
2020,BULGARIA,75816.0,12847.49,8,True,5.9012,0.0371
2020,HONG KONG,70625.06,12110.0,72,False,5.832,0.0346
2020,REPÚBLICA DOMINICANA,65353.66,10081.25,85,False,6.4827,0.032
2020,JAMAICA,59130.48,11634.46,104,False,5.0824,0.0289
2020,TRINIDAD Y TOBAGO,51834.72,6803.81,134,False,7.6185,0.0254
2020,URUGUAY,43821.5,5958.0,27,False,7.3551,0.0214
2020,ARGENTINA,42222.2,7532.85,14,False,5.6051,0.0207
2020,ESLOVAQUIA,42008.05,6243.0,25,True,6.7288,0.0206
2020,RUMANIA,41103.78,8661.5,31,True,4.7456,0.0201
2020,GUADALUPE,36665.79,4380.95,49,False,8.3694,0.0179
2020,SINGAPUR,34797.66,6186.5,31,False,5.6248,0.017
2020,ARUBA,31583.96,4077.51,46,False,7.7459,0.0155
2020,BAHRÉIN,23491.29,5755.7,24,False,4.0814,0.0115
2020,MARTINICA,22806.47,2791.06,50,False,8.1713,0.0112
2020,CROACIA,21217.5,4229.0,15,True,5.0171,0.0104
2020,CHILE,21163.44,2388.0,75,False,8.8624,0.0104
2020,FILIPINAS,18918.5,3259.0,6,False,5.805,0.0093
2020,ISLAS VÍRGENES (EE.UU.),15980.37,1426.77,13,False,11.2004,0.0078
2020,COSTA RICA,10530.0,1750.0,16,False,6.0171,0.0052
2020,ARABIA SAUDITA,7081.53,1373.98,22,False,5.154,0.0035
2020,VIETNAM,5723.0,1086.0,14,False,5.2698,0.0028
2020,MALASIA,4164.3,424.0,13,False,9.8215,0.002
2020,GUAM,4008.54,1021.0,33,False,3.9261,0.002
2020,INDONESIA,3856.6,711.0,16,False,5.4242,0.0019
2020,ESTONIA,2160.0,171.0,2,True,12.6316,0.0011
2020,MONTENEGRO,1547.5,311.0,8,False,4.9759,0.0008
2020,COREA DEL NORTE,1377.0,227.0,1,False,6.0661,0.0007
2020,GUYANA,955.25,91.45,5,False,10.4456,0.0005
2020,KIRGUISTÁN,740.5,160.0,4,False,4.6281,0.0004
2020,GRANADA,493.35,28.66,2,False,17.2139,0.0002
2020,ANTIGUA Y BARBUDA,337.6,46.06,5,False,7.3296,0.0002
2020,HONDURAS,280.0,49.0,1,False,5.7143,0.0001
2020,SAN CRISTÓBAL Y NIEVES,263.21,67.0,5,False,3.9285,0.0001
2020,BAHAMAS,244.4,33.84,3,False,7.2222,0.0001
2020,ESLOVENIA,238.06,12.0,1,True,19.8383,0.0001
2020,SERBIA,180.0,27.0,1,False,6.6667,0.0001
2020,TAILANDIA,171.8,51.0,4,False,3.3686,0.0001
2020,MOLDAVIA,156.0,27.0,3,False,5.7778,0.0001
