"Go to...","","Value (USD Thousands)","","",""
"Sub-products Exporting economies","Importer","2016","2017","2018","2019","2020","2021","2022","2023","2024","2025"
"NTL","World","212,187","224,997","226,134","235,904","204,308","255,933","274,958","284,878","323,947","337,430"
"NTL","United States of America","93,135","99,356","97,246","99,539","84,100","102,960","111,609","115,097","133,636","137,682"
"NTL","Japan","38,444","43,738","41,926","43,494","41,319","43,756","47,178","42,707","41,974","43,038"
"NTL","Netherlands","15,955","16,684","18,494","22,244","20,594","28,002","29,909","33,146","38,969","41,415"
"NTL","Spain","9,510","9,971","10,635","11,590","9,103","11,117","13,906","14,512","17,738","22,736"
"NTL","Poland","6,849","7,851","9,929","11,213","9,000","14,646","15,138","15,251","18,218","20,277"
"NTL","Canada","8,534","8,533","8,309","8,238","7,413","11,639","11,165","10,807","12,514","12,426"
"NTL","Korea, Republic of","410","1,177","1,845","3,028","3,360","4,615","7,539","9,756","10,336","10,413"
"NTL","United Kingdom","14,061","10,823","9,848","9,804","7,280","8,945","9,077","8,518","10,120","9,607"
"NTL","Kazakhstan","8","66","94","222","168","303","2,179","7,171","8,892","8,026"
"NTL","United Arab Emirates","3","1","263","383","253","1,072","1,561","3,616","4,720","5,592"
"NTL","Russian Federation","8,390","9,052","8,212","10,011","7,578","11,333","7,317","4,541","4,339","3,320"
"NTL","Italy","789","884","902","1,004","961","1,603","1,336","1,702","2,208","2,385"
"NTL","Czech Republic","2,161","2,144","1,476","1,845","1,541","1,825","2,103","2,492","2,188","1,901"
"NTL","Finland","1,511","1,019","1,236","1,168","1,016","1,314","1,140","1,366","1,762","1,617"
"NTL","Israel","228","326","462","585","586","776","650","954","1,631","1,551"
"NTL","Hungary","198","128","57","234","524","977","999","997","1,250","1,520"
"NTL","Panama","2,646","3,099","3,233","856","850","637","572","658","1,119","1,355"
"NTL","Germany","2,316","2,067","1,997","1,839","1,216","1,362","1,522","1,487","1,373","1,250"
"NTL","Chinese Taipei","507","575","651","772","640","680","811","1,004","1,075","1,103"
"NTL","China","5","80","108","197","183","258","182","124","595","1,046"
"NTL","Australia","1,057","1,259","1,645","1,338","1,026","938","899","1,279","881","838"
"NTL","Estonia","5","75","44","0","2","57","100","220","506","724"
"NTL","France","385","407","347","482","325","549","563","485","538","709"
"NTL","Moldova, Republic of","0","0","0","2","0","3","20","503","652","708"
"NTL","Ecuador","219","228","255","214","206","597","609","547","850","570"
"NTL","Ukraine","977","1,046","1,114","939","1,194","1,306","1,402","668","654","570"
"NTL","Austria","476","408","569","536","333","475","345","408","458","460"
"NTL","Belarus","147","157","196","302","271","522","1,362","942","304","381"
"NTL","Hong Kong, China","5","6","42","171","71","34","83","240","264","353"
"NTL","Sweden","676","586","491","499","400","395","307","270","400","341"
"NTL","Kuwait","167","122","161","107","95","204","202","201","206","309"
"NTL","Uzbekistan","0","0","0","0","0","0","4","63","3","274"
"NTL","Norway","170","416","717","786","762","794","482","590","680","254"
"NTL","Bulgaria","0","0","0","0","76","212","0","0","87","244"
"NTL","Switzerland","521","427","600","412","135","219","221","238","255","212"
"NTL","Dominican Republic","75","65","96","88","65","134","141","173","177","210"
"NTL","Latvia","156","686","464","62","87","95","136","174","130","166"
"NTL","Türkiye","0","0","11","0","0","0","89","447","596","157"
"NTL","Kyrgyzstan","0","0","0","0","1","8","16","109","275","139"
"NTL","Argentina","114","113","358","156","42","9","18","3","6","119"
"NTL","Portugal","12","2","114","0","0","0","0","7","37","114"
"NTL","Ireland","4","149","109","118","86","130","568","159","63","105"
