"HS4","Code","Product label","Imported value in 2021","Imported value in 2022","Imported value in 2023","Imported value in 2024","Imported value in 2025"
"","TOTAL","All products","61,101,362","77,413,351","62,796,636","64,104,684","70,502,068"
"","84","Nuclear reactors, boilers, machinery and mechanical appliances; parts thereof","6,164,137","7,623,195","6,441,419","7,037,665","7,489,187"
"","85","Electrical machinery and equipment and parts thereof; sound recorders and reproducers, television . . .","6,401,405","7,930,057","6,044,009","6,195,673","7,010,859"
"","87","Vehicles other than railway or tramway rolling stock, and parts and accessories thereof","4,836,344","6,434,449","4,799,452","5,034,943","6,837,067"
"","27","Mineral fuels, mineral oils and products of their distillation; bituminous substances; mineral . . .","3,766,758","7,380,255","6,486,254","6,181,162","5,796,487"
"","30","Pharmaceutical products","3,914,477","3,510,865","3,659,664","3,855,610","4,300,135"
"","39","Plastics and articles thereof","3,226,017","3,875,596","2,650,131","2,974,816","3,156,900"
"","10","Cereals","2,569,703","3,323,972","2,729,143","2,413,650","2,512,142"
"","29","Organic chemicals","3,069,160","3,236,708","2,270,335","2,359,222","2,491,047"
"","90","Optical, photographic, cinematographic, measuring, checking, precision, medical or surgical . . .","1,676,046","1,886,628","1,879,319","1,903,022","2,036,662"
"","72","Iron and steel","2,679,323","2,495,925","1,712,331","1,954,222","1,814,604"
"","38","Miscellaneous chemical products","1,350,752","1,691,753","1,417,406","1,589,825","1,664,858"
"","23","Residues and waste from the food industries; prepared animal fodder","1,246,061","1,544,058","1,499,733","1,325,645","1,303,136"
"","31","Fertilisers","1,046,702","1,469,182","1,057,622","917,583","1,107,279"
"","73","Articles of iron or steel","1,004,222","1,466,993","1,147,465","1,060,885","1,092,917"
"","99","Commodities not elsewhere specified","635,562","787,291","606,714","756,582","1,078,916"
"","40","Rubber and articles thereof","1,023,260","1,250,373","922,879","987,465","1,072,277"
"","33","Essential oils and resinoids; perfumery, cosmetic or toilet preparations","647,918","772,376","793,932","906,484","1,029,102"
"","48","Paper and paperboard; articles of paper pulp, of paper or of paperboard","708,260","1,142,806","724,846","826,043","948,372"
"","15","Animal, vegetable or microbial fats and oils and their cleavage products; prepared edible fats; . . .","772,276","827,504","565,931","708,186","877,219"
"","22","Beverages, spirits and vinegar","444,910","513,031","599,983","676,276","803,631"
"","76","Aluminium and articles thereof","522,865","721,595","514,542","527,598","678,662"
"","02","Meat and edible meat offal","474,322","486,964","484,430","607,673","676,833"
"","64","Footwear, gaiters and the like; parts of such articles","380,756","524,598","459,536","503,615","618,182"
"","21","Miscellaneous edible preparations","409,224","487,073","463,457","498,403","542,374"
"","28","Inorganic chemicals; organic or inorganic compounds of precious metals, of rare-earth metals, . . .","457,438","649,716","486,888","486,466","536,089"
"","94","Furniture; bedding, mattresses, mattress supports, cushions and similar stuffed furnishings; . . .","436,860","473,965","386,211","449,165","511,554"
"","32","Tanning or dyeing extracts; tannins and their derivatives; dyes, pigments and other colouring . . .","491,121","592,877","421,935","478,320","493,787"
"","88","Aircraft, spacecraft, and parts thereof","1,369,784","2,498,052","2,363,809","1,043,868","486,936"
"","52","Cotton","535,022","597,208","339,859","446,866","473,803"
"","74","Copper and articles thereof","452,877","432,031","372,465","399,988","463,443"
"","95","Toys, games and sports requisites; parts and accessories thereof","295,703","354,165","295,468","374,304","449,539"
"","12","Oil seeds and oleaginous fruits; miscellaneous grains, seeds and fruit; industrial or medicinal . . .","352,725","442,662","395,626","340,256","397,664"
"","96","Miscellaneous manufactured articles","211,592","267,843","236,592","283,986","394,806"
"","09","Coffee, tea, maté and spices","230,638","517,295","281,875","148,027","393,683"
"","08","Edible fruit and nuts; peel of citrus fruit or melons","243,430","270,298","270,522","326,604","385,552"
"","60","Knitted or crocheted fabrics","239,615","284,674","208,888","272,415","382,709"
"","54","Man-made filaments; strip and the like of man-made textile materials","405,266","425,656","297,872","322,217","374,385"
"","34","Soap, organic surface-active agents, washing preparations, lubricating preparations, artificial . . .","282,246","351,122","297,819","325,721","373,500"
"","61","Articles of apparel and clothing accessories, knitted or crocheted","311,657","397,420","308,816","302,918","365,114"
"","70","Glass and glassware","288,651","424,736","279,661","291,312","359,399"
"","03","Fish and crustaceans, molluscs and other aquatic invertebrates","297,593","299,159","243,532","279,730","350,994"
"","55","Man-made staple fibres","372,618","463,523","281,416","311,378","336,535"
"","07","Edible vegetables and certain roots and tubers","203,603","280,027","280,259","324,242","330,658"
"","44","Wood and articles of wood; wood charcoal","298,353","379,995","252,801","304,957","324,685"
"","82","Tools, implements, cutlery, spoons and forks, of base metal; parts thereof of base metal","247,745","306,897","247,689","255,436","319,438"
"","62","Articles of apparel and clothing accessories, not knitted or crocheted","271,950","361,553","282,494","274,500","314,676"
"","83","Miscellaneous articles of base metal","273,831","346,808","267,391","285,445","308,570"
"","69","Ceramic products","273,456","301,938","182,005","227,094","279,538"
"","16","Preparations of meat, of fish, of crustaceans, molluscs or other aquatic invertebrates, or . . .","271,632","274,861","244,502","257,595","278,420"
"","04","Dairy produce; birds' eggs; natural honey; edible products of animal origin, not elsewhere . . .","187,946","287,756","247,893","212,073","278,409"
"","19","Preparations of cereals, flour, starch or milk; pastrycooks' products","221,101","278,282","235,158","230,405","248,595"
"","20","Preparations of vegetables, fruit, nuts or other parts of plants","191,344","259,771","233,185","239,618","245,545"
"","25","Salt; sulphur; earths and stone; plastering materials, lime and cement","188,072","241,811","187,396","202,876","237,617"
"","42","Articles of leather; saddlery and harness; travel goods, handbags and similar containers; articles . . .","128,973","220,877","184,549","201,796","226,914"
"","35","Albuminoidal substances; modified starches; glues; enzymes","163,347","228,317","180,693","203,772","222,549"
