reporterCd,reporterLabel,partnerCd,partnerLabel,productCd,productLabel,Value (kUSD),Balance (kUSD),Quantity,Quantity Unit,Unit Value,Unit Value Unit,Share World (%),Growth Value 5Y (%),Growth Value 2Y (%),Growth Quantity 5Y (%),Distance (km),Concentration
000,Mundo,000,Mundo,060312,"Claveles ""flores y capullos"", cortados para ramos o adornos, frescos",672354,-101507,0.000,No medida,,,100,4,10,,5155,0.0931
170,Colombia,000,Mundo,060312,"Claveles ""flores y capullos"", cortados para ramos o adornos, frescos",337430,337357,53065.000,Toneladas,6358.8052388580043343069820032,USD/Toneladas,50.18633,7,4,2,7894,0.2103
528,Países Bajos,000,Mundo,060312,"Claveles ""flores y capullos"", cortados para ramos o adornos, frescos",160785,45670,25686.000,Toneladas,6259.6355991590749824807288017,USD/Toneladas,23.91374,0,16,5,759,0.1037
792,Türkiye,000,Mundo,060312,"Claveles ""flores y capullos"", cortados para ramos o adornos, frescos",45812,45800,11609.000,Toneladas,3946.2486002239641657334826428,USD/Toneladas,6.813642,-3,5,-9,2392,0.4257
156,China,000,Mundo,060312,"Claveles ""flores y capullos"", cortados para ramos o adornos, frescos",42463,42455,15297.000,Toneladas,2775.9037719814342681571549977,USD/Toneladas,6.315602,10,20,33,2639,0.2188
218,Ecuador,000,Mundo,060312,"Claveles ""flores y capullos"", cortados para ramos o adornos, frescos",25427,25427,4572.000,Toneladas,5561.46106736657917760279965,USD/Toneladas,3.781771,3,32,0,10786,0.159
724,España,000,Mundo,060312,"Claveles ""flores y capullos"", cortados para ramos o adornos, frescos",15146,-15874,4491.000,Toneladas,3372.5228234246270318414606992,USD/Toneladas,2.252682,-1,39,-13,1090,0.2727
404,Kenya,000,Mundo,060312,"Claveles ""flores y capullos"", cortados para ramos o adornos, frescos",13648,13648,3976.000,Toneladas,3432.5955734406438631790744467,USD/Toneladas,2.029858,24,20,24,6685,0.2586
504,Marruecos,000,Mundo,060312,"Claveles ""flores y capullos"", cortados para ramos o adornos, frescos",9080,9063,1843.000,Toneladas,4926.7498643516006511123168747,USD/Toneladas,1.350447,4,6,7,2205,0.5
381,Italia,000,Mundo,060312,"Claveles ""flores y capullos"", cortados para ramos o adornos, frescos",8542,2164,1026.000,Toneladas,8325.536062378167641325536062,USD/Toneladas,1.270462,-3,20,-3,946,0.194
