reporterCd,reporterLabel,partnerCd,partnerLabel,productCd,productLabel,Value (kUSD),Balance (kUSD),Quantity,Quantity Unit,Unit Value,Unit Value Unit,Share World (%),Growth Value 5Y (%),Growth Value 2Y (%),Growth Quantity 5Y (%),Distance (km),Concentration
000,Mundo,000,Mundo,060312,"Claveles ""flores y capullos"", cortados para ramos o adornos, frescos",773861,-101507,0.000,No medida,,,100,3,11,,5693,0.3862
842,Estados Unidos de América,000,Mundo,060312,"Claveles ""flores y capullos"", cortados para ramos o adornos, frescos",204580,-203687,862525919.000,Unidad,0.2371870751863168067880404183,USD/Unidad,26.4363,8,6,6,4108,0.9721
528,Países Bajos,000,Mundo,060312,"Claveles ""flores y capullos"", cortados para ramos o adornos, frescos",115115,45670,17614.000,Toneladas,6535.4263653911661178607925514,USD/Toneladas,14.87541,-1,9,-9,6046,0.3176
392,Japón,000,Mundo,060312,"Claveles ""flores y capullos"", cortados para ramos o adornos, frescos",95688,-95675,11326.000,Toneladas,8448.525516510683383365707222,USD/Toneladas,12.36501,-2,1,1,11598,0.5433
616,Polonia,000,Mundo,060312,"Claveles ""flores y capullos"", cortados para ramos o adornos, frescos",62514,-59420,10773.000,Toneladas,5802.8404344193817878028404344,USD/Toneladas,8.078192,15,30,13,5443,0.4294
826,Reino Unido,000,Mundo,060312,"Claveles ""flores y capullos"", cortados para ramos o adornos, frescos",51502,-51373,7766.000,Toneladas,6631.7280453257790368271954674,USD/Toneladas,6.655182,-4,5,-11,4861,0.2677
276,Alemania,000,Mundo,060312,"Claveles ""flores y capullos"", cortados para ramos o adornos, frescos",41315,-40223,5039.000,Toneladas,8199.047430045643976979559436,USD/Toneladas,5.338812,-3,50,-10,1496,0.5686
724,España,000,Mundo,060312,"Claveles ""flores y capullos"", cortados para ramos o adornos, frescos",31020,-15874,4458.000,Toneladas,6958.2772543741588156123822342,USD/Toneladas,4.008471,17,34,18,7876,0.9179
410,"Corea, República de",000,Mundo,060312,"Claveles ""flores y capullos"", cortados para ramos o adornos, frescos",19316,-19316,2502.000,Toneladas,7720.2238209432454036770583533,USD/Toneladas,2.496002,15,6,18,12912,0.7684
124,Canadá,000,Mundo,060312,"Claveles ""flores y capullos"", cortados para ramos o adornos, frescos",19151,-19147,7508146.000,Docena,2.5506962704241499832315461101,USD/Docena,2.474724,4,10,-1,4733,0.9583
251,Francia,000,Mundo,060312,"Claveles ""flores y capullos"", cortados para ramos o adornos, frescos",14275,-14236,1536.000,Toneladas,9293.619791666666666666666667,USD/Toneladas,1.844624,2,6,-6,2092,0.3791
