"Go to...","","Value (USD Thousands)","","",""
"Sub-products Importing economies","Exporter","2016","2017","2018","2019","2020","2021","2022","2023","2024","2025"
"NTL","World","1,503","2,669","4,104","5,897","6,232","10,470","15,539","17,225","18,177","19,316"
"NTL","Colombia","788","1,900","3,174","4,877","5,652","8,974","13,942","15,314","16,032","16,738"
"NTL","China","673","738","923","1,017","575","1,481","1,596","1,785","2,077","2,556"
"NTL","Viet Nam","3","5","1","0","3","4","0","22","35","18"
"NTL","Ethiopia","2","1","0","0","0","0","0","101","34","4"
"NTL","Ecuador","1","0","0","0","1","0","0","3","0","0"
"NTL","Japan","≈ 0","0","≈ 0","0","0","2","0","0","0","0"
"NTL","Kenya","24","0","0","0","0","0","0","0","0","0"
"NTL","Netherlands","2","0","0","2","1","4","1","0","0","0"
"NTL","Türkiye","10","25","5","0","0","4","0","0","0","0"
