"HS4","Product code","Product label","exported value in 2021, US Dollar thousand","exported value in 2022, US Dollar thousand","exported value in 2023, US Dollar thousand","exported value in 2024, US Dollar thousand","exported value in 2025, US Dollar thousand"
"","TOTAL","All products","22,156,836,166","24,738,037,986","23,661,578,494","23,931,014,145","25,609,329,378"
"","85","Electrical machinery and equipment and parts thereof; sound recorders and reproducers, television . . .","3,400,866,553","3,590,630,064","3,456,150,033","3,595,708,195","4,091,147,407"
"","84","Nuclear reactors, boilers, machinery and mechanical appliances; parts thereof","2,494,219,058","2,539,088,511","2,579,423,964","2,805,218,520","3,279,075,214"
"","27","Mineral fuels, mineral oils and products of their distillation; bituminous substances; mineral . . .","2,552,201,379","4,137,329,054","3,351,758,920","2,949,726,673","2,727,104,618"
"","87","Vehicles other than railway or tramway rolling stock, and parts and accessories thereof","1,512,114,413","1,625,041,747","1,897,499,072","1,862,982,055","1,885,486,614"
"","71","Natural or cultured pearls, precious or semi-precious stones, precious metals, metals clad . . .","849,990,015","914,760,458","923,883,028","1,020,055,969","1,377,814,671"
"","30","Pharmaceutical products","827,115,155","844,980,109","830,907,068","897,059,848","974,356,634"
"","39","Plastics and articles thereof","808,180,006","823,832,266","728,901,446","747,054,923","745,211,989"
"","90","Optical, photographic, cinematographic, measuring, checking, precision, medical or surgical . . .","682,100,573","652,001,082","675,794,333","697,512,295","737,648,838"
"","29","Organic chemicals","486,269,261","541,476,063","495,918,493","485,926,400","519,006,178"
"","99","Commodities not elsewhere specified","424,388,480","391,463,176","422,767,237","446,701,041","463,960,319"
"","72","Iron and steel","559,226,817","570,699,295","485,968,789","449,176,886","430,464,157"
"","73","Articles of iron or steel","362,860,912","399,647,616","386,138,223","382,363,574","387,452,187"
"","26","Ores, slag and ash","379,919,304","330,144,150","338,078,562","344,109,037","375,187,980"
"","88","Aircraft, spacecraft, and parts thereof","230,438,593","256,427,622","306,049,426","332,024,532","373,956,122"
"","94","Furniture; bedding, mattresses, mattress supports, cushions and similar stuffed furnishings; . . .","325,063,339","316,880,439","302,406,093","308,356,126","310,965,995"
"","61","Articles of apparel and clothing accessories, knitted or crocheted","272,903,489","292,732,867","267,735,597","277,273,322","289,068,016"
"","38","Miscellaneous chemical products","283,732,536","330,313,841","285,619,345","274,110,830","284,702,275"
"","76","Aluminium and articles thereof","239,532,882","279,128,432","241,418,738","248,192,660","265,403,134"
"","74","Copper and articles thereof","219,637,400","209,810,913","206,434,118","231,806,045","262,487,525"
"","62","Articles of apparel and clothing accessories, not knitted or crocheted","233,767,470","259,611,767","247,278,563","247,490,043","257,748,034"
"","40","Rubber and articles thereof","226,598,046","220,442,443","217,205,933","226,780,327","234,266,446"
"","33","Essential oils and resinoids; perfumery, cosmetic or toilet preparations","167,715,727","170,171,828","182,363,703","194,633,994","198,059,179"
"","02","Meat and edible meat offal","153,579,399","165,078,612","161,769,924","170,821,560","193,004,434"
"","48","Paper and paperboard; articles of paper pulp, of paper or of paperboard","187,316,994","212,596,085","188,969,134","190,413,810","189,919,990"
"","28","Inorganic chemicals; organic or inorganic compounds of precious metals, of rare-earth metals, . . .","161,608,327","227,964,873","197,626,947","182,744,853","184,562,102"
"","89","Ships, boats and floating structures","127,194,925","122,951,518","136,710,153","155,958,013","183,693,913"
"","64","Footwear, gaiters and the like; parts of such articles","153,611,944","180,209,985","167,966,463","168,709,868","181,719,461"
"","08","Edible fruit and nuts; peel of citrus fruit or melons","146,651,333","139,171,320","146,271,770","162,779,690","180,022,292"
"","15","Animal, vegetable or microbial fats and oils and their cleavage products; prepared edible fats; . . .","150,361,692","176,506,337","148,701,168","150,411,959","171,163,056"
"","95","Toys, games and sports requisites; parts and accessories thereof","174,655,158","173,253,356","158,809,006","150,265,605","163,169,280"
"","44","Wood and articles of wood; wood charcoal","185,318,337","184,907,216","150,477,432","151,032,036","155,963,377"
"","22","Beverages, spirits and vinegar","141,190,782","148,757,567","150,666,820","151,705,459","152,276,854"
"","03","Fish and crustaceans, molluscs and other aquatic invertebrates","133,799,219","148,418,463","139,401,884","139,251,729","150,941,114"
"","10","Cereals","153,400,530","180,512,667","167,791,765","155,001,087","145,143,695"
"","04","Dairy produce; birds' eggs; natural honey; edible products of animal origin, not elsewhere . . .","102,669,093","114,165,039","111,661,606","116,379,003","130,350,919"
"","12","Oil seeds and oleaginous fruits; miscellaneous grains, seeds and fruit; industrial or medicinal . . .","130,811,590","152,753,084","149,648,444","134,212,319","130,251,977"
"","21","Miscellaneous edible preparations","95,498,232","99,461,152","106,001,185","113,700,449","123,202,848"
"","18","Cocoa and cocoa preparations","56,181,808","54,918,366","61,587,067","89,286,229","120,769,365"
"","19","Preparations of cereals, flour, starch or milk; pastrycooks' products","88,668,771","97,597,073","107,805,311","112,907,916","119,793,246"
"","23","Residues and waste from the food industries; prepared animal fodder","100,397,144","108,577,065","110,440,502","107,795,907","107,473,577"
"","31","Fertilisers","84,474,638","134,569,156","91,699,635","84,204,448","102,539,189"
"","42","Articles of leather; saddlery and harness; travel goods, handbags and similar containers; articles . . .","89,134,599","101,703,325","103,518,404","100,785,973","98,398,544"
"","07","Edible vegetables and certain roots and tubers","83,599,909","85,710,204","95,851,640","100,512,223","95,967,837"
"","09","Coffee, tea, maté and spices","59,283,773","67,750,809","64,606,336","75,935,294","95,683,780"
"","20","Preparations of vegetables, fruit, nuts or other parts of plants","71,639,928","78,438,329","85,366,718","90,928,609","93,493,667"
"","70","Glass and glassware","89,809,592","93,674,079","91,854,249","89,704,840","90,115,107"
"","32","Tanning or dyeing extracts; tannins and their derivatives; dyes, pigments and other colouring . . .","95,272,641","92,800,418","86,698,039","90,733,065","89,709,462"
"","83","Miscellaneous articles of base metal","84,084,746","86,785,524","83,831,757","86,670,468","87,091,622"
"","34","Soap, organic surface-active agents, washing preparations, lubricating preparations, artificial . . .","75,822,849","79,730,352","78,798,873","82,093,950","85,656,716"
"","63","Other made-up textile articles; sets; worn clothing and worn textile articles; rags","91,549,024","85,266,371","77,115,340","79,173,344","80,104,199"
"","82","Tools, implements, cutlery, spoons and forks, of base metal; parts thereof of base metal","76,799,713","76,017,727","74,762,750","75,598,633","76,513,345"
"","16","Preparations of meat, of fish, of crustaceans, molluscs or other aquatic invertebrates, or . . .","58,862,887","62,143,120","61,554,232","64,647,192","67,736,189"
"","96","Miscellaneous manufactured articles","60,350,085","64,727,977","65,562,863","66,892,150","66,174,336"
"","24","Tobacco and manufactured tobacco substitutes; products, whether or not containing nicotine, . . .","44,148,701","53,094,330","62,482,620","68,893,622","65,752,377"
"","17","Sugars and sugar confectionery","49,321,211","59,010,112","68,961,898","70,695,678","62,973,567"
"","25","Salt; sulphur; earths and stone; plastering materials, lime and cement","52,518,662","66,479,294","67,240,169","54,566,768","62,782,039"
"","91","Clocks and watches and parts thereof","55,295,700","56,694,864","61,319,896","60,453,042","62,280,511"
"","69","Ceramic products","72,658,165","76,141,397","67,367,154","61,415,806","62,246,464"
"","68","Articles of stone, plaster, cement, asbestos, mica or similar materials","62,981,420","65,333,196","62,041,952","60,261,644","59,467,059"
"","54","Man-made filaments; strip and the like of man-made textile materials","54,816,173","59,121,793","54,722,541","54,904,149","53,250,996"
"","47","Pulp of wood or of other fibrous cellulosic material; recovered (waste and scrap) paper or . . .","52,227,738","58,316,904","51,288,450","54,825,625","52,630,167"
"","86","Railway or tramway locomotives, rolling stock and parts thereof; railway or tramway track fixtures . . .","55,291,129","52,496,208","46,809,646","56,495,037","51,902,436"
"","52","Cotton","62,917,433","63,963,795","53,340,247","52,653,091","48,331,178"
"","35","Albuminoidal substances; modified starches; glues; enzymes","39,051,019","43,076,272","41,417,996","41,695,017","45,127,338"
"","75","Nickel and articles thereof","29,890,907","43,766,232","41,760,361","39,925,464","43,416,823"
"","93","Arms and ammunition; parts and accessories thereof","19,102,918","21,715,237","27,167,355","31,788,165","42,234,233"
"","60","Knitted or crocheted fabrics","42,822,622","42,797,814","37,719,672","39,794,102","40,141,183"
"","49","Printed books, newspapers, pictures and other products of the printing industry; manuscripts, . . .","38,002,975","39,431,180","37,460,428","38,281,457","35,355,502"
"","55","Man-made staple fibres","37,132,006","39,267,087","35,629,931","36,579,177","35,341,525"
"","97","Works of art, collectors' pieces and antiques","27,980,765","34,020,138","36,226,779","31,547,010","33,169,645"
"","56","Wadding, felt and nonwovens; special yarns; twine, cordage, ropes and cables and articles thereof","32,700,651","31,606,249","30,358,483","30,925,317","31,727,976"
"","01","Live animals","24,268,855","23,806,542","27,289,902","30,121,019","31,507,476"
"","06","Live trees and other plants; bulbs, roots and the like; cut flowers and ornamental foliage","27,996,385","25,505,991","25,739,536","26,871,031","28,577,482"
"","59","Impregnated, coated, covered or laminated textile fabrics; textile articles of a kind suitable . . .","28,323,375","29,267,317","27,632,669","28,492,187","28,562,612"
"","11","Products of the milling industry; malt; starches; inulin; wheat gluten","23,870,835","28,221,896","29,318,531","27,502,114","25,520,932"
"","81","Other base metals; cermets; articles thereof","18,713,488","23,788,648","21,734,907","22,793,133","24,990,811"
"","79","Zinc and articles thereof","19,945,915","22,567,935","19,134,613","18,004,301","18,639,891"
"","57","Carpets and other textile floor coverings","18,523,746","17,460,407","17,359,413","17,872,477","17,805,623"
"","37","Photographic or cinematographic goods","15,688,691","15,257,701","14,312,413","15,717,568","16,569,154"
"","65","Headgear and parts thereof","12,825,045","15,534,589","14,491,070","14,558,668","15,462,209"
"","41","Raw hides and skins (other than furskins) and leather","18,849,588","17,942,350","16,189,029","15,856,054","15,119,814"
"","67","Prepared feathers and down and articles made of feathers or of down; artificial flowers; articles . . .","16,012,231","15,414,496","13,425,397","13,315,882","12,933,340"
"","58","Special woven fabrics; tufted textile fabrics; lace; tapestries; trimmings; embroidery","12,766,597","13,003,815","12,222,600","12,588,459","12,684,053"
"","05","Products of animal origin, not elsewhere specified or included","11,508,334","11,919,932","11,451,500","11,387,068","11,812,281"
"","51","Wool, fine or coarse animal hair; horsehair yarn and woven fabric","11,270,973","11,884,270","11,301,571","10,060,934","10,287,962"
"","78","Lead and articles thereof","8,856,385","8,413,563","9,230,510","9,564,500","9,887,983"
"","13","Lac; gums, resins and other vegetable saps and extracts","9,313,013","11,063,597","9,586,022","9,627,298","9,821,632"
"","80","Tin and articles thereof","8,748,451","8,599,518","6,740,858","7,269,424","9,562,496"
"","92","Musical instruments; parts and accessories of such articles","8,380,783","8,419,013","8,122,065","8,087,901","7,829,130"
"","36","Explosives; pyrotechnic products; matches; pyrophoric alloys; certain combustible preparations","4,501,756","5,384,234","6,034,068","6,793,789","7,504,359"
"","53","Other vegetable textile fibres; paper yarn and woven fabrics of paper yarn","5,912,393","6,240,286","6,434,157","7,104,475","7,117,318"
"","66","Umbrellas, sun umbrellas, walking sticks, seat-sticks, whips, riding-crops and parts thereof","4,028,952","4,650,911","4,234,626","4,333,235","4,104,820"
"","43","Furskins and artificial fur; manufactures thereof","6,259,512","4,355,139","4,109,086","3,467,573","3,101,849"
"","46","Manufactures of straw, of esparto or of other plaiting materials; basketware and wickerwork","3,729,777","3,438,226","2,996,106","2,847,123","2,700,919"
"","45","Cork and articles of cork","2,265,021","2,228,509","2,269,658","2,045,523","2,065,778"
"","14","Vegetable plaiting materials; vegetable products not elsewhere specified or included","1,453,231","1,692,141","1,843,084","1,819,469","2,060,685"
"","50","Silk","1,520,167","1,912,541","1,829,874","1,689,742","1,785,653"
