"HS4","Product code","Product label","imported value in 2021, US Dollar thousand","imported value in 2022, US Dollar thousand","imported value in 2023, US Dollar thousand","imported value in 2024, US Dollar thousand","imported value in 2025, US Dollar thousand"
"","TOTAL","All products","22,462,053,502","25,397,511,622","23,980,025,769","24,276,285,274","25,788,655,612"
"","85","Electrical machinery and equipment and parts thereof; sound recorders and reproducers, television . . .","3,625,422,453","3,821,650,385","3,675,267,031","3,813,306,044","4,261,754,942"
"","84","Nuclear reactors, boilers, machinery and mechanical appliances; parts thereof","2,562,542,181","2,647,875,839","2,664,345,714","2,908,234,164","3,370,779,464"
"","27","Mineral fuels, mineral oils and products of their distillation; bituminous substances; mineral . . .","2,664,396,898","4,279,305,798","3,403,300,285","3,138,835,720","2,810,932,075"
"","87","Vehicles other than railway or tramway rolling stock, and parts and accessories thereof","1,517,239,698","1,628,257,735","1,919,954,943","1,884,281,062","1,883,073,390"
"","71","Natural or cultured pearls, precious or semi-precious stones, precious metals, metals clad . . .","880,323,295","933,547,656","953,302,776","1,058,931,910","1,374,633,117"
"","30","Pharmaceutical products","860,017,130","893,321,238","884,414,571","951,295,634","1,025,245,398"
"","90","Optical, photographic, cinematographic, measuring, checking, precision, medical or surgical . . .","689,487,513","671,554,190","686,511,330","704,547,898","750,231,002"
"","39","Plastics and articles thereof","803,197,992","833,126,537","721,441,885","738,372,626","743,827,307"
"","29","Organic chemicals","531,577,201","618,743,785","544,028,456","518,593,086","557,258,395"
"","72","Iron and steel","555,151,401","592,515,358","496,113,008","469,574,364","450,343,911"
"","99","Commodities not elsewhere specified","399,967,266","440,252,056","444,904,946","382,361,177","412,074,429"
"","26","Ores, slag and ash","436,991,159","374,450,026","373,369,598","388,237,421","409,042,584"
"","73","Articles of iron or steel","344,411,365","382,318,889","367,913,531","367,259,264","376,541,984"
"","38","Miscellaneous chemical products","303,159,256","345,230,295","302,804,264","286,138,064","295,263,252"
"","94","Furniture; bedding, mattresses, mattress supports, cushions and similar stuffed furnishings; . . .","289,298,689","292,909,376","261,156,155","271,128,373","280,336,215"
"","88","Aircraft, spacecraft, and parts thereof","163,306,976","180,220,226","220,771,704","235,633,252","271,319,571"
"","74","Copper and articles thereof","229,338,526","233,001,802","214,989,189","244,271,509","268,606,269"
"","76","Aluminium and articles thereof","233,088,073","277,956,119","235,382,116","243,303,071","259,760,693"
"","61","Articles of apparel and clothing accessories, knitted or crocheted","233,143,686","263,358,804","232,193,120","240,749,950","253,997,571"
"","40","Rubber and articles thereof","240,384,335","238,053,007","222,850,291","231,995,761","243,178,899"
"","62","Articles of apparel and clothing accessories, not knitted or crocheted","201,867,149","231,265,972","217,870,314","220,293,351","230,526,650"
"","33","Essential oils and resinoids; perfumery, cosmetic or toilet preparations","169,675,180","174,507,086","182,937,737","193,225,912","201,931,935"
"","48","Paper and paperboard; articles of paper pulp, of paper or of paperboard","184,328,461","214,361,503","189,765,129","191,349,601","193,025,308"
"","08","Edible fruit and nuts; peel of citrus fruit or melons","158,559,801","154,628,391","160,013,784","174,089,376","192,678,773"
"","28","Inorganic chemicals; organic or inorganic compounds of precious metals, of rare-earth metals, . . .","157,810,913","229,140,188","201,025,994","180,086,394","191,397,706"
"","02","Meat and edible meat offal","152,329,894","165,933,224","161,911,200","170,006,421","189,626,342"
"","15","Animal, vegetable or microbial fats and oils and their cleavage products; prepared edible fats; . . .","153,462,285","185,488,531","158,004,189","156,920,297","174,034,549"
"","64","Footwear, gaiters and the like; parts of such articles","145,267,804","173,716,080","160,769,255","161,276,460","168,646,363"
"","44","Wood and articles of wood; wood charcoal","191,623,976","196,710,564","156,071,055","156,270,031","159,564,683"
"","10","Cereals","172,112,279","204,278,895","186,585,327","168,104,150","153,462,170"
"","95","Toys, games and sports requisites; parts and accessories thereof","160,767,550","162,275,849","146,171,905","142,298,470","153,244,575"
"","22","Beverages, spirits and vinegar","141,738,083","152,150,074","153,770,200","153,567,111","153,149,560"
"","03","Fish and crustaceans, molluscs and other aquatic invertebrates","135,491,571","149,531,460","141,540,417","139,566,514","151,623,946"
"","12","Oil seeds and oleaginous fruits; miscellaneous grains, seeds and fruit; industrial or medicinal . . .","148,010,276","167,169,506","160,506,953","144,087,909","140,357,550"
"","04","Dairy produce; birds' eggs; natural honey; edible products of animal origin, not elsewhere . . .","102,948,596","116,468,766","114,002,791","117,066,726","129,974,983"
"","21","Miscellaneous edible preparations","96,442,990","103,048,582","108,985,868","115,938,238","125,926,564"
"","18","Cocoa and cocoa preparations","56,404,103","55,523,099","62,879,953","92,002,968","124,844,152"
"","19","Preparations of cereals, flour, starch or milk; pastrycooks' products","88,743,374","98,097,493","107,636,497","112,883,459","120,973,970"
"","23","Residues and waste from the food industries; prepared animal fodder","107,154,800","120,047,423","118,345,742","115,475,935","113,093,775"
"","31","Fertilisers","98,086,625","153,310,041","103,240,727","95,974,546","112,940,395"
"","89","Ships, boats and floating structures","75,961,140","79,118,660","73,769,336","70,603,239","100,994,730"
"","07","Edible vegetables and certain roots and tubers","84,217,957","89,281,699","97,287,353","101,664,106","99,355,191"
"","09","Coffee, tea, maté and spices","57,712,861","70,360,562","65,739,047","74,929,708","95,709,496"
"","20","Preparations of vegetables, fruit, nuts or other parts of plants","68,417,522","77,261,166","82,964,196","89,881,967","94,147,611"
"","42","Articles of leather; saddlery and harness; travel goods, handbags and similar containers; articles . . .","81,230,433","92,927,853","93,343,509","91,903,227","92,348,464"
"","32","Tanning or dyeing extracts; tannins and their derivatives; dyes, pigments and other colouring . . .","96,428,220","97,143,923","89,510,762","90,907,814","91,167,585"
"","70","Glass and glassware","87,891,901","90,717,046","87,082,674","86,827,994","89,011,202"
